core_row,year,car_number,driver_name,delta_four_lap_average_speed_mph,residual_loyo_centered,before_attempt_id,after_attempt_id,section_name,before_mean_section_speed_mph,after_mean_section_speed_mph,delta_section_speed_mph
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,FS to SF,232.61325,232.96525,0.35200000000000387
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,SS1 to T2,226.41325,226.95025,0.5370000000000061
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,SS2 to T4,226.07375000000002,226.6045,0.5307499999999834
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,T/SSF to T1,235.32075,234.60825,-0.7125000000000057
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,T1 to SS1,230.63125,230.649,0.017750000000006594
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,T2 to BS,229.484,230.24375,0.7597499999999968
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,T3 to SS2,228.86775,229.05925,0.19149999999999068
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,T4 to FS,229.49375,229.8325,0.33875000000000455
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,BS to T3,228.94050000000001,229.648,0.7074999999999818
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,FS to SF,229.23649999999998,229.739,0.5025000000000261
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,SS1 to T2,221.62875,224.77325,3.1444999999999936
