core_row,year,car_number,driver_name,delta_speed_final_core_mph,residual_loyo_centered,linkage_status,before_attempt_id,after_attempt_id,anchor_delta_difference_mph,before_section_rows,before_valid_section_speed_rows,before_valid_section_time_rows,before_unique_section_names,before_section_names,before_covered_laps,before_n_covered_laps,before_full_lap_coverage_rows,after_section_rows,after_valid_section_speed_rows,after_valid_section_time_rows,after_unique_section_names,after_section_names,after_covered_laps,after_n_covered_laps,after_full_lap_coverage_rows,both_attempts_in_section_table,both_have_section_speed,both_cover_four_laps
10,2020,9,Scott Dixon,0.102,-0.1684248066023559,matched_explicit_anchor,33a57398-b346-53e3-b5e5-369a3ca71efc,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,3.802513859341161e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
11,2021,12,Will Power,0.176,0.0433431033147126,matched_explicit_anchor,6992580a-0371-5eda-b01d-2adaca099ff4,5aa71106-e201-5143-bb9a-21ccf4063a9e,1.609823385706477e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
12,2021,16,Simona De Silvestro,0.222,0.2918458210302016,matched_explicit_anchor,8f660bff-74bd-551e-9007-95b730f87e7d,adc26df0-920d-5dc7-a952-03b3fb57700a,8.409939411535561e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
13,2021,18,Ed Jones,0.798,0.5261636980322767,matched_explicit_anchor,4e9e7c88-ddeb-5840-93be-4f539f6eaf04,4085390f-e83a-5315-8def-464aeb920059,1.7763568394002505e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
14,2021,2,Josef Newgarden,0.022,-0.3896564665988397,matched_explicit_anchor,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2493785c-dc47-5ba6-8d28-5398e7a11983,8.69790350854771e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
15,2021,21,Rinus VeeKay,0.642,0.2778380364767758,matched_explicit_anchor,407a503c-1695-5af6-9b88-28e9d802c8d1,c10dbae2-ca30-5e09-88ab-298fcf7fa163,4.107825191113079e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
16,2021,25,Stefan Wilson,-0.02,-0.3697023639815072,matched_explicit_anchor,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,09935cc4-f542-569f-b50c-7460e0663860,1.0200174038743626e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
17,2021,25,Stefan Wilson,-0.062,0.0,matched_explicit_anchor,09935cc4-f542-569f-b50c-7460e0663860,8ac7badc-828c-5c70-bbf4-d92f136c2564,1.659783421814609e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
18,2021,26,Colton Herta,-1.419,-1.2722536368737916,matched_explicit_anchor,e9da8645-6367-51bf-8601-3670e9e76c5e,90108456-7f40-5313-a9ff-43273b65d2f0,1.7319479184152442e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
19,2021,4,Dalton Kellett,-0.927,-0.954360860724224,matched_explicit_anchor,099ab32a-d351-5011-931c-148b9f3d7921,a5d8e516-48e0-58b8-ac13-213c753fc12d,7.66053886991358e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
