core_row,year,car_number,driver_name,delta_four_lap_average_speed_mph,residual_loyo_centered,abs_residual_loyo_centered,n_common_complete_sections,mean_delta_section_speed_mph,median_delta_section_speed_mph,sd_delta_section_speed_mph,min_delta_section_speed_mph,max_delta_section_speed_mph,positive_section_fraction,negative_section_fraction,direction_coherence,max_abs_section_change_share,abs_delta_speed_mph,coherence_bin
0,2020,20,Ed Carpenter,0.4,-0.1074453865663387,0.1074453865663387,9,0.335111111111107,0.3847499999999968,0.5565743030908937,-0.646000000000015,1.1324999999999932,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2469203096042719,0.4,7-8/9
1,2020,3,Helio Castroneves,0.258,-0.0710123398286028,0.0710123398286028,9,0.2174166666666697,0.3192499999999825,0.6846253309292609,-0.931749999999994,0.9730000000000132,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1711596816042951,0.258,5-6/9
2,2020,47,Conor Daly,0.071,-0.3726799398275063,0.3726799398275063,9,-0.0474166666666664,0.0832499999999925,0.8578807828014409,-1.4562500000000114,0.9879999999999995,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.2312517368692683,0.071,5-6/9
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,0.3474105928198861,9,0.2624444444444407,0.34699999999998,0.4229507909057241,-0.7125000000000057,0.7597499999999968,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.2006205439662005,0.311,7-8/9
4,2020,59,Max Chilton,1.484,1.1702080190504822,1.1702080190504822,9,1.3964444444444395,1.1487499999999784,1.0151321710264012,0.5025000000000261,3.1444999999999936,1.0,0.0,1.0,0.2501989178866967,1.484,9/9
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,0.4768859238856346,9,-0.0922777777777747,-0.0602499999999963,0.3006225427249943,-0.657999999999987,0.3707499999999868,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3107438016528938,0.104,5-6/9
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,0.2598912928073732,9,0.0518055555555526,-0.031499999999994,0.5820446151522913,-0.5925000000000011,0.79849999999999,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.1891843866611369,0.094,<=4/9
7,2020,81,Ben Hanley,1.971,1.57945494014952,1.57945494014952,9,1.8393888888888972,2.0054999999999836,1.127358105754832,-0.4702499999999929,3.2175000000000296,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1839096884824246,1.971,7-8/9
8,2020,88,Colton Herta,0.215,-0.1927643794706103,0.1927643794706103,9,0.1534722222222247,0.2982499999999959,0.5588201360406067,-0.6644999999999754,0.9932499999999892,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.2278226962555157,0.215,5-6/9
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,0.5253020699355216,9,-0.0060555555555481,0.1985000000000241,0.4212831177222483,-0.703249999999997,0.3997500000000116,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2189105058365745,0.041,<=4/9
