attempt_id,section_rows,valid_section_speed_rows,valid_section_time_rows,unique_section_names,section_names,covered_laps,n_covered_laps,full_lap_coverage_rows
1a120ea2-c723-5585-8ec6-30169bb44ca7,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
1af8c8bf-f788-56f3-81be-80e9e6e4c1af,68,68,68,17,Back Stretch 1|Back Stretch 2|Back Stretch 3|Back Stretch 4|Front Stretch 1|Front Stretch 2|Front Stretch 3|Front Stretch 4|Front Stretch 5|Turn 1 Entry|Turn 1 Exit|Turn 2 Entry|Turn 2 Exit|Turn 3 Entry|Turn 3 Exit|Turn 4 Entry|Turn 4 Exit,1|2|3|4,4,0
1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
1e794f15-e9b3-55c1-91a6-85cadd3ab366,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
20b68ba3-153d-53cd-9ef8-e81c295271bf,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
20ffbd55-492b-5cbf-989b-b42c4b8bd2c7,68,68,68,17,Back Stretch 1|Back Stretch 2|Back Stretch 3|Back Stretch 4|Front Stretch 1|Front Stretch 2|Front Stretch 3|Front Stretch 4|Front Stretch 5|Turn 1 Entry|Turn 1 Exit|Turn 2 Entry|Turn 2 Exit|Turn 3 Entry|Turn 3 Exit|Turn 4 Entry|Turn 4 Exit,1|2|3|4,4,68
21e8c99e-b04c-516d-85a8-ccfbaed7ff46,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
2493785c-dc47-5ba6-8d28-5398e7a11983,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
258b87c8-7f46-5d1a-b0b9-73c0b2a871dc,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
25c1b067-a56b-5a78-83c8-504169b5fe90,68,68,68,17,Back Stretch 1|Back Stretch 2|Back Stretch 3|Back Stretch 4|Front Stretch 1|Front Stretch 2|Front Stretch 3|Front Stretch 4|Front Stretch 5|Turn 1 Entry|Turn 1 Exit|Turn 2 Entry|Turn 2 Exit|Turn 3 Entry|Turn 3 Exit|Turn 4 Entry|Turn 4 Exit,1|2|3|4,4,34
25ddda12-052a-5d71-ac52-6e96cf8edab9,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
25f997a4-1a33-565b-b2b0-1c30d3a0f19c,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
29072f66-113f-50fd-9d79-f9256821f878,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
2b14c17d-769c-504e-819b-55270bb93b13,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
2c453335-3a19-5653-8d5c-79d94db93028,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
2d3ae29a-bc6b-5723-9247-439f79da15a6,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
2fb75f25-92ad-5b41-90a1-3a1457ae8012,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
317f7650-a81e-56a5-b488-2767d7046566,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
31b7c177-37e7-5f95-82da-58b902d61269,68,68,68,17,Back Stretch 1|Back Stretch 2|Back Stretch 3|Back Stretch 4|Front Stretch 1|Front Stretch 2|Front Stretch 3|Front Stretch 4|Front Stretch 5|Turn 1 Entry|Turn 1 Exit|Turn 2 Entry|Turn 2 Exit|Turn 3 Entry|Turn 3 Exit|Turn 4 Entry|Turn 4 Exit,1|2|3|4,4,68
333cf68d-54d9-5559-ac70-c73c27086892,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
33a57398-b346-53e3-b5e5-369a3ca71efc,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
368dae23-2a23-508f-9f4a-968aafca6e0d,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
3982bfeb-b062-5d85-ac65-0ba52f189ec5,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
39b9e374-3daa-551c-8478-eb7d1f44f74e,23,23,23,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3,3,18
3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
3cd6d98a-da75-5822-8dae-05e83ad8457c,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
3e1d9fad-3db2-5b32-b9c1-8802e1467bbe,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
3f221659-74ff-5901-97dc-08071a734690,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
407a503c-1695-5af6-9b88-28e9d802c8d1,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
4085390f-e83a-5315-8def-464aeb920059,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
411accca-4d36-5e24-a0fe-6db5a36714c5,68,68,68,17,Back Stretch 1|Back Stretch 2|Back Stretch 3|Back Stretch 4|Front Stretch 1|Front Stretch 2|Front Stretch 3|Front Stretch 4|Front Stretch 5|Turn 1 Entry|Turn 1 Exit|Turn 2 Entry|Turn 2 Exit|Turn 3 Entry|Turn 3 Exit|Turn 4 Entry|Turn 4 Exit,1|2|3|4,4,68
42d64630-9541-5086-8ac4-faa32bc37e7e,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
43d9c081-67f5-5d6f-8b48-9db0ac683a6c,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
4440ce15-ba43-554c-842f-0116f2faf94b,68,68,68,17,Back Stretch 1|Back Stretch 2|Back Stretch 3|Back Stretch 4|Front Stretch 1|Front Stretch 2|Front Stretch 3|Front Stretch 4|Front Stretch 5|Turn 1 Entry|Turn 1 Exit|Turn 2 Entry|Turn 2 Exit|Turn 3 Entry|Turn 3 Exit|Turn 4 Entry|Turn 4 Exit,1|2|3|4,4,68
449bb30a-dc85-5fd4-bc68-156753bda025,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
45b8b79d-e1a3-5be5-b9f2-04f6fe36320c,5,5,5,5,BS to T3|SS1 to T2|T/SSF to T1|T1 to SS1|T2 to BS,1,1,0
488dda2c-a88d-5f03-95ca-3decb53cd2c9,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
49123354-e908-58a8-a865-3e57e6184f5c,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
49fbc16c-9d6c-5076-a96b-2b64ebe2bbac,23,23,23,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3,3,18
4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
4e8f59ee-2017-5f6b-870a-8398a96b4eb9,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
4e9e7c88-ddeb-5840-93be-4f539f6eaf04,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
