catalogue_index,id,series,description,startTime,start_utc,start_indianapolis,filename,analysisFilename,indy_keyword,qual_keyword,500_keyword,inferred_year
5343,58d9ba477dc9492ba52d2784795567b2,IndyCar,102nd Indianapolis 500 - Practice 5,1526655308,2018-05-18T14:55:08+00:00,2018-05-18T10:55:08-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/58d9ba477dc9492ba52d2784795567b2.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/58d9ba477dc9492ba52d2784795567b2.json,True,False,True,2018
5372,5974f4a368c74e23b95319bc6da2f30a,IndyCar,104th Indianapolis 500 - Final Practice,1598021715,2020-08-21T14:55:15+00:00,2020-08-21T10:55:15-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/5974f4a368c74e23b95319bc6da2f30a.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/5974f4a368c74e23b95319bc6da2f30a.json,True,False,True,2020
5400,59d903093fbc4717832e528ef0ac53a3,IndyCar,105th Running of the Indianapolis 500 - Qualifying,1621796096,2021-05-23T18:54:56+00:00,2021-05-23T14:54:56-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/59d903093fbc4717832e528ef0ac53a3.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/59d903093fbc4717832e528ef0ac53a3.json,True,True,True,2021
5936,636153469c914790a89e6c482811cab4,IndyCar,102nd Indianapolis 500 - Practice 4,1526568908,2018-05-17T14:55:08+00:00,2018-05-17T10:55:08-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/636153469c914790a89e6c482811cab4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/636153469c914790a89e6c482811cab4.json,True,False,True,2018
5984,643eb1ac-badd-45b6-b498-b5deea2755d4,IndyCar,110th Running of the Indianapolis 500 - Practice 1,1778615824,2026-05-12T19:57:04+00:00,2026-05-12T15:57:04-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-12 19-57 IndyCar - 110th Running of the Indianapolis 500 - Practice 1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-12 19-57 IndyCar - 110th Running of the Indianapolis 500 - Practice 1.json,True,False,True,2026
6009,64ee56ca-719a-4d02-9bf0-0c74be0c07b2,IndyCar,109th Running of the Indianapolis 500 - Practice 8,1747673868,2025-05-19T16:57:48+00:00,2025-05-19T12:57:48-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-19 16-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 8.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-19 16-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 8.json,True,False,True,2025
6388,6c0805e08fdf4223b5d0bf825c7ef6e0,IndyCar,104th Indianapolis 500 - Practice 2,1597330689,2020-08-13T14:58:09+00:00,2020-08-13T10:58:09-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/6c0805e08fdf4223b5d0bf825c7ef6e0.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/6c0805e08fdf4223b5d0bf825c7ef6e0.json,True,False,True,2020
6411,6c4f0bd7fb1a43c1923254077583c1bf,IndyCar,105th Running of the Indianapolis 500 - Practice 4,1621526166,2021-05-20T15:56:06+00:00,2021-05-20T11:56:06-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/6c4f0bd7fb1a43c1923254077583c1bf.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/6c4f0bd7fb1a43c1923254077583c1bf.json,True,False,True,2021
6490,6dabcb62-cba2-4117-85a0-a5a73ef4d995,IndyCar,INDIANAPOLIS 500 OPEN TEST - Practice 3,1745423872,2025-04-23T15:57:52+00:00,2025-04-23T11:57:52-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-04-23 15-57 IndyCar - INDIANAPOLIS 500 OPEN TEST - Practice 3.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-04-23 15-57 IndyCar - INDIANAPOLIS 500 OPEN TEST - Practice 3.json,True,False,True,2025
6647,703bc0ed-ee89-43cc-aa04-295be2cadfb2,IndyCar,110th Running of the Indianapolis 500 - Practice 4,1778934475,2026-05-16T12:27:55+00:00,2026-05-16T08:27:55-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-16 12-27 IndyCar - 110th Running of the Indianapolis 500 - Practice 4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-16 12-27 IndyCar - 110th Running of the Indianapolis 500 - Practice 4.json,True,False,True,2026
6736,71e307c4-daf1-48fe-ac20-3f0193c1bfc5,IndyCar,110th Running of the Indianapolis 500 - Race,1779640951,2026-05-24T16:42:31+00:00,2026-05-24T12:42:31-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-24 16-42 IndyCar - 110th Running of the Indianapolis 500 - Race.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-24 16-42 IndyCar - 110th Running of the Indianapolis 500 - Race.json,True,False,True,2026
6856,73de22c0-a7b5-4162-9649-249e1d773647,IndyCar,Indianapolis 500 - Practice 1,1684256273,2023-05-16T16:57:53+00:00,2023-05-16T12:57:53-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-16 16-57 IndyCar - Indianapolis 500 - Practice 1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-16 16-57 IndyCar - Indianapolis 500 - Practice 1.json,True,False,True,2023
