year,car_number,candidate_start_index,lapnum1,lapnum2,lapnum3,lapnum4,lap1_s,lap2_s,lap3_s,lap4_s,derived_avg_speed_mph,first_lap_timestamp_ms,fourth_lap_timestamp_ms,attempt_anchor_timestamp_ms,attempt_anchor_utc,attempt_anchor_indianapolis,window_span_s,analysis_files
2025,06,0,1,2,3,4,41.5278,39.2006,39.0314,39.2578,226.39003481375644,1747505504024,1747505620828,1747505504024,2025-05-17T18:11:44.024000+00:00,2025-05-17T14:11:44.024000-04:00,116.804,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,06,1,2,3,4,5,39.2006,39.0314,39.2578,39.2812,229.63430736552039,1747505544046,1747505660900,1747505544046,2025-05-17T18:12:24.046000+00:00,2025-05-17T14:12:24.046000-04:00,116.854,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,06,5,6,7,8,9,41.4886,38.9097,38.9394,39.0034,227.35726858029915,1747511343727,1747511462260,1747511343727,2025-05-17T19:49:03.727000+00:00,2025-05-17T15:49:03.727000-04:00,118.533,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,06,6,7,8,9,10,38.9097,38.9394,39.0034,39.0067,230.97770295240835,1747511383787,1747511500644,1747511383787,2025-05-17T19:49:43.787000+00:00,2025-05-17T15:49:43.787000-04:00,116.857,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,10,0,1,2,3,4,40.8961,38.6133,38.6088,38.6325,229.66404615736965,1747501366569,1747501483213,1747501366569,2025-05-17T17:02:46.569000+00:00,2025-05-17T13:02:46.569000-04:00,116.644,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,10,1,2,3,4,5,38.6133,38.6088,38.6325,38.6235,233.04274198090215,1747501406578,1747501521536,1747501406578,2025-05-17T17:03:26.578000+00:00,2025-05-17T13:03:26.578000-04:00,114.958,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,12,0,1,2,3,4,41.1875,38.6933,38.7225,39.1554,228.19660658968414,1747499645512,1747499800464,1747499645512,2025-05-17T16:34:05.512000+00:00,2025-05-17T12:34:05.512000-04:00,154.952,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,12,4,5,6,7,8,41.4574,38.7638,38.7848,38.7879,228.14570144980254,1747508700823,1747508819201,1747508700823,2025-05-17T19:05:00.823000+00:00,2025-05-17T15:05:00.823000-04:00,118.378,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,12,5,6,7,8,9,38.7638,38.7848,38.7879,38.7395,232.1442389538033,1747508740844,1747508855921,1747508740844,2025-05-17T19:05:40.844000+00:00,2025-05-17T15:05:40.844000-04:00,115.077,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,12,9,10,11,12,13,41.3065,38.7421,38.7966,38.8589,228.27561236518267,1747516908143,1747517023238,1747516908143,2025-05-17T21:21:48.143000+00:00,2025-05-17T17:21:48.143000-04:00,115.095,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,12,10,11,12,13,14,38.7421,38.7966,38.8589,39.0297,231.61954174073668,1747516944844,1747517063247,1747516944844,2025-05-17T21:22:24.844000+00:00,2025-05-17T17:22:24.844000-04:00,118.403,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,14,0,1,2,3,4,41.5096,38.8551,39.1399,38.9947,227.13034063872837,1747499380558,1747499497188,1747499380558,2025-05-17T16:29:40.558000+00:00,2025-05-17T12:29:40.558000-04:00,116.63,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,14,1,2,3,4,5,38.8551,39.1399,38.9947,38.9647,230.83670611409488,1747499420544,1747499535536,1747499420544,2025-05-17T16:30:20.544000+00:00,2025-05-17T12:30:20.544000-04:00,114.992,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,14,5,6,7,8,9,40.8214,38.8371,38.8373,38.8351,228.8170982305447,1747509853554,1747509970298,1747509853554,2025-05-17T19:24:13.554000+00:00,2025-05-17T15:24:13.554000-04:00,116.744,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,14,6,7,8,9,10,38.8371,38.8373,38.8351,38.9358,231.5927210407777,1747509891900,1747510008659,1747509891900,2025-05-17T19:24:51.900000+00:00,2025-05-17T15:24:51.900000-04:00,116.759,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,15,0,1,2,3,4,41.465,39.1342,39.1119,39.5575,226.03325451470033,1747496577528,1747496694467,1747496577528,2025-05-17T15:42:57.528000+00:00,2025-05-17T11:42:57.528000-04:00,116.939,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,15,1,2,3,4,5,39.1342,39.1119,39.5575,39.6174,228.68613463260937,1747496616044,1747496734438,1747496616044,2025-05-17T15:43:36.044000+00:00,2025-05-17T11:43:36.044000-04:00,118.394,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,15,5,6,7,8,9,41.2517,39.1385,39.2382,39.2083,226.64787168204828,1747510123742,1747510280605,1747510123742,2025-05-17T19:28:43.742000+00:00,2025-05-17T15:28:43.742000-04:00,156.863,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,17,0,1,2,3,4,41.9277,39.0386,39.0349,39.1709,226.17028989376905,1747499927108,1747500045409,1747499927108,2025-05-17T16:38:47.108000+00:00,2025-05-17T12:38:47.108000-04:00,118.301,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
