year,analysis_file,car_number,stint_index,lap_index,lap_number,laptime_s,timestamp_ms,timestamp_utc,timestamp_indianapolis,flag
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,24,0,1,2,38.9101,1747496041442,2025-05-17T15:34:01.442000+00:00,2025-05-17T11:34:01.442000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,24,0,2,3,39.0487,1747496079818,2025-05-17T15:34:39.818000+00:00,2025-05-17T11:34:39.818000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,24,0,3,4,39.2036,1747496119737,2025-05-17T15:35:19.737000+00:00,2025-05-17T11:35:19.737000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,24,0,4,5,39.1229,1747496158117,2025-05-17T15:35:58.117000+00:00,2025-05-17T11:35:58.117000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,7,0,0,1,41.5517,1747496311698,2025-05-17T15:38:31.698000+00:00,2025-05-17T11:38:31.698000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,7,0,1,2,39.389,1747496350104,2025-05-17T15:39:10.104000+00:00,2025-05-17T11:39:10.104000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,7,0,2,3,39.0007,1747496388488,2025-05-17T15:39:48.488000+00:00,2025-05-17T11:39:48.488000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,7,0,3,4,39.0994,1747496428467,2025-05-17T15:40:28.467000+00:00,2025-05-17T11:40:28.467000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,7,0,4,5,38.8263,1747496466873,2025-05-17T15:41:06.873000+00:00,2025-05-17T11:41:06.873000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,15,0,0,1,41.465,1747496577528,2025-05-17T15:42:57.528000+00:00,2025-05-17T11:42:57.528000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,15,0,1,2,39.1342,1747496616044,2025-05-17T15:43:36.044000+00:00,2025-05-17T11:43:36.044000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,15,0,2,3,39.1119,1747496656044,2025-05-17T15:44:16.044000+00:00,2025-05-17T11:44:16.044000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,15,0,3,4,39.5575,1747496694467,2025-05-17T15:44:54.467000+00:00,2025-05-17T11:44:54.467000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,15,0,4,5,39.6174,1747496734438,2025-05-17T15:45:34.438000+00:00,2025-05-17T11:45:34.438000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,6,0,0,1,41.8953,1747496842004,2025-05-17T15:47:22.004000+00:00,2025-05-17T11:47:22.004000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,6,0,1,2,38.9652,1747496881961,2025-05-17T15:48:01.961000+00:00,2025-05-17T11:48:01.961000-04:00,green
