year,source_rank,car_number,driver_name,official_status,official_speed_mph,official_lap1_s,official_lap2_s,official_lap3_s,official_lap4_s,timing_lap1_s,timing_lap2_s,timing_lap3_s,timing_lap4_s,lap_match_abs_sum_s,lap_match_abs_max_s,match_quality,attempt_timestamp_ms,attempt_timestamp_utc,attempt_timestamp_indianapolis,timing_derived_avg_speed_mph,timing_analysis_files,timestamp_usage_count
2025,1,10,"Palou, Alex",VALID_OR_UNLABELED,233.043,38.6133,38.6088,38.6325,38.6235,38.6133,38.6088,38.6325,38.6235,0.0,0.0,EXACT_OR_NEAR_EXACT,1747501406578,2025-05-17T17:03:26.578000+00:00,2025-05-17T13:03:26.578000-04:00,233.04274198090215,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,2,3,"McLaughlin, Scott",VALID_OR_UNLABELED,233.013,38.6043,38.7107,38.5799,38.603,38.6043,38.7107,38.5799,38.603,0.0,0.0,EXACT_OR_NEAR_EXACT,1747501974935,2025-05-17T17:12:54.935000+00:00,2025-05-17T13:12:54.935000-04:00,233.01287590316758,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,3,2,"Newgarden, Josef",VALID_OR_UNLABELED,233.004,38.6151,38.6252,38.6271,38.6362,38.6151,38.6252,38.6271,38.6362,0.0,0.0,EXACT_OR_NEAR_EXACT,1747505258737,2025-05-17T18:07:38.737000+00:00,2025-05-17T14:07:38.737000-04:00,233.0042795119337,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,4,5,"O'Ward, Pato",VALID_OR_UNLABELED,232.82,38.6512,38.6486,38.6614,38.6645,38.6512,38.6486,38.6614,38.6645,0.0,0.0,EXACT_OR_NEAR_EXACT,1747494670831,2025-05-17T15:11:10.831000+00:00,2025-05-17T11:11:10.831000-04:00,232.82028795989282,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,5,9,"Dixon, Scott",VALID_OR_UNLABELED,232.659,38.6892,38.6806,38.6962,38.6667,41.1864,38.6806,38.6962,38.6667,2.4971999999999994,2.4971999999999994,WEAK,1747497674759,2025-05-17T16:01:14.759000+00:00,2025-05-17T12:01:14.759000-04:00,228.96408380339872,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,6,83,"Shwartzman, Robert",VALID_OR_UNLABELED,232.584,38.5885,38.6101,38.7885,38.7957,38.5885,38.6101,38.7885,38.7957,0.0,0.0,EXACT_OR_NEAR_EXACT,1747495218430,2025-05-17T15:20:18.430000+00:00,2025-05-17T11:20:18.430000-04:00,232.58398219957255,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,7,4,"Malukas, David",VALID_OR_UNLABELED,232.546,38.6251,38.6378,38.7685,38.7766,38.6251,38.6378,38.7685,38.7766,0.0,0.0,EXACT_OR_NEAR_EXACT,1747516687503,2025-05-17T21:18:07.503000+00:00,2025-05-17T17:18:07.503000-04:00,232.5461216474601,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,8,60,"Rosenqvist, Felix",VALID_OR_UNLABELED,232.449,38.5713,38.5816,38.9564,38.7633,38.5713,38.5816,38.9564,38.7633,0.0,0.0,EXACT_OR_NEAR_EXACT,1747497448885,2025-05-17T15:57:28.885000+00:00,2025-05-17T11:57:28.885000-04:00,232.44912269826943,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,9,75,"Sato, Takuma",VALID_OR_UNLABELED,232.415,38.6448,38.6533,38.8416,38.7554,38.6448,38.6533,38.8416,38.7554,0.0,0.0,EXACT_OR_NEAR_EXACT,1747515647031,2025-05-17T21:00:47.031000+00:00,2025-05-17T17:00:47.031000-04:00,232.415357232088,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
2025,10,12,"Power, Will",VALID_OR_UNLABELED,232.144,38.7638,38.7848,38.7879,38.7395,38.7638,38.7848,38.7879,38.7395,0.0,0.0,EXACT_OR_NEAR_EXACT,1747508740844,2025-05-17T19:05:40.844000+00:00,2025-05-17T15:05:40.844000-04:00,232.1442389538033,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,1
