year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count,record_repr
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,13,0,1526754424.0,1526754669.0,2018-05-19T18:27:04+00:00,2018-05-19T18:31:09+00:00,5,"[1, 1526754424, 4.0, 1526754669, False, 0, 39.4684, 0, 39.521566666666665, [[40.416, 1], [39.4684, 1], [39.5436, 1], [39.5527, 1], [39.6007, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,15,0,1526744399.0,1526744544.0,2018-05-19T15:39:59+00:00,2018-05-19T15:42:24+00:00,3,"[1, 1526744399, 4.0, 1526744544, False, 0, 39.9082, 0, 39.9339, [[39.9292, 1], [39.9339, 1], [39.9082, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,17,0,1526755824.0,1526756074.0,2018-05-19T18:50:24+00:00,2018-05-19T18:54:34+00:00,5,"[1, 1526755824, 4.0, 1526756074, False, 0, 40.0243, 0, 40.35143333333334, [[40.9112, 1], [40.0243, 1], [40.5358, 1], [40.4942, 1], [40.6099, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,19,0,1526742159.0,1526754104.0,2018-05-19T15:02:39+00:00,2018-05-19T18:21:44+00:00,3,"[1, 1526742159, 4.0, 1526754104, False, 0, 39.88, 0, 39.8841, [[39.88, 1], [39.8841, 1], [39.9149, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,18,0,1526754134.0,1526754394.0,2018-05-19T18:22:14+00:00,2018-05-19T18:26:34+00:00,5,"[1, 1526754134, 4.0, 1526754394, False, 0, 39.4156, 0, 39.44603333333333, [[41.3373, 0], [39.4156, 1], [39.4224, 1], [39.5001, 1], [39.4941, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,33,0,1526753959.0,1526754109.0,2018-05-19T18:19:19+00:00,2018-05-19T18:21:49+00:00,3,"[1, 1526753959, 4.0, 1526754109, False, 0, 39.9934, 0, 40.0588, [[39.9934, 1], [40.0588, 1], [40.1884, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,32,0,1526754689.0,1526754934.0,2018-05-19T18:31:29+00:00,2018-05-19T18:35:34+00:00,5,"[1, 1526754689, 4.0, 1526754934, False, 0, 39.745, 0, 39.80553333333334, [[39.8453, 1], [39.745, 1], [39.8074, 1], [39.8642, 1], [39.9222, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,77,0,1558199513.870232,1558199723.87043,2019-05-18T17:11:53.870232+00:00,2019-05-18T17:15:23.870430+00:00,6,"[1, 1558199513.870232, 5.0, 1558199723.87043, True, 0, 39.3764, 1, 39.63096, [[46.1755, 0], [40.2539, 9], [39.3764, 1], [39.4116, 1], [39.5047, 1], [39.6082, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,10,0,1558208258.954807,1558208503.960087,2019-05-18T19:37:38.954807+00:00,2019-05-18T19:41:43.960087+00:00,7,"[1, 1558208258.954807, 0.0, 1558208503.960087, True, 0, 39.4707, 3, 39.657183333333336, [[5062.1552, 9], [39.7456, 9], [39.7456, 9], [39.4707, 1], [39.6126, 1], [39.6845, 1], [39.6841, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,28,0,1558202578.860761,1558202793.853216,2019-05-18T18:02:58.860761+00:00,2019-05-18T18:06:33.853216+00:00,4,"[1, 1558202578.860761, 5.0, 1558202793.853216, True, 0, 39.3605, 0, 39.53979999999999, [[39.3605, 1], [39.4598, 1], [39.5725, 1], [39.5871, 1]]]"
