year,source_rank,car_number,driver_name,official_status,official_speed_mph,official_lap1_s,official_lap2_s,official_lap3_s,official_lap4_s,timing_lap1_s,timing_lap2_s,timing_lap3_s,timing_lap4_s,lap_match_abs_sum_s,lap_match_abs_max_s,match_quality,timestamp_quality,attempt_start_utc,attempt_mid_utc,attempt_end_utc,attempt_mid_indianapolis,attempt_mid_ts,timing_root,timing_analysis_file,candidate_id
2018,5,18,"Bourdais, Sebastien",VALID_OR_UNLABELED,228.09,39.4156,39.4224,39.5001,39.4941,39.4156,39.4224,39.5001,39.4941,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T18:23:56.167800+00:00,2018-05-19T18:25:15.083900+00:00,2018-05-19T18:26:34+00:00,2018-05-19T14:25:15.083900-04:00,1526754315.0839,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_18_84
2018,9,13,"Patrick, Danica",VALID_OR_UNLABELED,227.61,39.4684,39.5436,39.5527,39.6007,39.4684,39.5436,39.5527,39.6007,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T18:28:30.834600+00:00,2018-05-19T18:29:49.917300+00:00,2018-05-19T18:31:09+00:00,2018-05-19T14:29:49.917300-04:00,1526754589.9173,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_13_81
2018,12,4,"Leist, Matheus",VALID_OR_UNLABELED,227.441,39.512,39.6111,39.5717,39.5878,39.512,39.6111,39.5717,39.5878,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T18:47:25.717400+00:00,2018-05-19T18:48:44.858700+00:00,2018-05-19T18:50:04+00:00,2018-05-19T14:48:44.858700-04:00,1526755724.8587,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_4_72
2018,16,66,"Hildebrand, JR",VALID_OR_UNLABELED,226.499,39.6965,39.6848,39.7542,39.8054,39.6965,39.6848,39.7542,39.8054,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T19:01:00.059100+00:00,2018-05-19T19:02:19.529550+00:00,2018-05-19T19:03:39+00:00,2018-05-19T15:02:19.529550-04:00,1526756539.5295498,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_66_65
2018,17,98,"Andretti, Marco",VALID_OR_UNLABELED,226.154,39.7218,39.8197,39.7832,39.859,39.7218,39.8197,39.7832,39.859,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T19:05:49.816300+00:00,2018-05-19T19:07:09.408150+00:00,2018-05-19T19:08:29+00:00,2018-05-19T15:07:09.408150-04:00,1526756829.40815,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_98_77
2018,21,32,"Kaiser, Kyle",VALID_OR_UNLABELED,225.934,39.745,39.8074,39.8642,39.9222,39.745,39.8074,39.8642,39.9222,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T18:32:54.661200+00:00,2018-05-19T18:34:14.330600+00:00,2018-05-19T18:35:34+00:00,2018-05-19T14:34:14.330600-04:00,1526754854.3306,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_32_86
2018,22,25,"Wilson, Stefan",VALID_OR_UNLABELED,225.909,39.7846,39.8047,39.8599,39.9069,39.7846,39.8047,39.8599,39.9069,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T18:42:34.643900+00:00,2018-05-19T18:43:54.321950+00:00,2018-05-19T18:45:14+00:00,2018-05-19T14:43:54.321950-04:00,1526755434.32195,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_25_67
2018,24,26,"Veach, Zach",VALID_OR_UNLABELED,225.805,39.7337,39.818,39.9202,39.9579,39.7337,39.818,39.9202,39.9579,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T19:10:04.570200+00:00,2018-05-19T19:11:24.285100+00:00,2018-05-19T19:12:44+00:00,2018-05-19T15:11:24.285100-04:00,1526757084.2851,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_26_69
2018,28,59,"Chilton, Max",VALID_OR_UNLABELED,225.666,39.8661,39.8524,39.8671,39.9419,39.8661,39.8524,39.8671,39.9419,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T18:38:09.472500+00:00,2018-05-19T18:39:29.236250+00:00,2018-05-19T18:40:49+00:00,2018-05-19T14:39:29.236250-04:00,1526755169.2362502,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_59_79
2018,37,27,"Rossi, Alexander",Retired,226.212,39.6725,39.5854,39.7919,40.0933,39.6725,39.5854,39.7919,40.0933,0.0,0.0,EXACT_OR_NEAR_EXACT,PARENT_END_DIRECT,2018-05-19T18:56:24.856900+00:00,2018-05-19T18:57:44.428450+00:00,2018-05-19T18:59:04+00:00,2018-05-19T14:57:44.428450-04:00,1526756264.4284499,stint,2018_74622252638746b2821d6822ae31527a_analysis.json,LEGACY_2018_27_70
