official_index,candidate_index,year,car_number,source_rank,driver_name,official_speed_mph,lap_match_abs_sum_s,lap_match_abs_max_s,candidate_timestamp_resolved,candidate_flag1_count,candidate_end_ts,timestamp_penalty
84,55,2019,25,37,"Daly, Conor",227.921,0.0,0.0,True,4,1558191873.736616,0
84,130,2019,25,37,"Daly, Conor",227.921,0.0,0.0,True,4,1558207003.749112,0
85,63,2019,9,38,"Dixon, Scott",227.886,0.0,0.0,True,4,1558200013.847971,0
85,158,2019,9,38,"Dixon, Scott",227.886,0.0,0.0,True,4,1558200053.848145,0
86,5,2019,15,39,"Rahal, Graham",227.394,0.0,0.0,True,4,1558209683.955886,0
86,90,2019,15,39,"Rahal, Graham",227.394,0.0,0.0,True,4,1558212573.956534,0
89,1,2019,10,42,"Rosenqvist, Felix",227.198,0.0,0.0,True,4,1558208503.960087,0
89,87,2019,10,42,"Rosenqvist, Felix",227.198,0.0,0.0,True,4,1558212573.956534,0
90,30,2019,48,43,"Hildebrand, JR",227.183,0.0,0.0,True,4,1558204933.953739,0
90,156,2019,48,43,"Hildebrand, JR",227.183,0.0,0.0,True,4,1558207003.749112,0
92,47,2019,15,45,"Rahal, Graham",227.095,0.0,0.0,True,4,1558201888.851524,0
92,118,2019,15,45,"Rahal, Graham",227.095,0.0,0.0,True,4,1558201928.852922,0
97,52,2019,59,50,"Chilton, Max",226.934,0.0,0.0,True,4,1558194793.844168,0
97,124,2019,59,50,"Chilton, Max",226.934,0.0,0.0,True,4,1558194843.844834,0
100,154,2019,48,53,"Hildebrand, JR",226.832,0.0,0.0,True,4,1558202518.855358,0
102,61,2019,4,55,"Leist, Matheus",226.727,0.0,0.0,True,4,1558202203.845971,0
102,150,2019,4,55,"Leist, Matheus",226.727,0.0,0.0,True,4,1558202258.852235,0
103,127,2019,81,56,"Hanley, Ben",226.692,0.0,0.0,True,4,1558206963.8635118,0
110,126,2019,81,63,"Hanley, Ben",225.95,0.0,0.0,True,4,1558205208.96189,0
111,53,2019,32,64,"Kaiser, Kyle",225.918,0.0,0.0,True,4,1558204043.954727,0
111,128,2019,32,64,"Kaiser, Kyle",225.918,0.0,0.0,True,4,1558204078.959292,0
115,59,2019,31,68,"O'Ward, Patricio",225.727,0.0,0.0,True,4,1558201598.852298,0
115,144,2019,31,68,"O'Ward, Patricio",225.727,0.0,0.0,True,4,1558205928.960134,0
116,50,2019,66,69,"Alonso, Fernando",225.113,0.0,0.0,True,4,1558197383.847257,0
116,122,2019,66,69,"Alonso, Fernando",225.113,0.0,0.0,True,4,1558203408.9512,0
104,306,2019,42,57,"King, Jordan",226.662,0.0,0.0,False,4,,1
113,292,2019,24,66,"Karam, Sage",225.865,0.0,0.0,False,4,,1
76,32,2019,10,29,"Rosenqvist, Felix",227.297,7.105427357601002e-15,7.105427357601002e-15,True,4,1558214874.645812,0
76,95,2019,10,29,"Rosenqvist, Felix",227.297,7.105427357601002e-15,7.105427357601002e-15,True,4,1558214919.313235,0
96,41,2019,24,49,"Karam, Sage",226.951,0.008600000000001273,0.008600000000001273,True,4,1558215651.800902,0
96,105,2019,24,49,"Karam, Sage",226.951,0.008600000000001273,0.008600000000001273,True,4,1558215690.146442,0
88,277,2019,26,41,"Veach, Zach",227.202,0.012000000000000455,0.012000000000000455,False,4,,1
17,75,2018,7,18,"Howard, Jay",226.098,0.02790000000000248,0.02790000000000248,True,4,1526744014.0,0
107,37,2019,59,60,"Chilton, Max",226.321,0.06969999999999743,0.06969999999999743,True,4,1558213999.186133,0
107,100,2019,59,60,"Chilton, Max",226.321,0.06969999999999743,0.06969999999999743,True,4,1558214039.164639,0
17,74,2018,7,18,"Howard, Jay",226.098,0.08389999999999986,0.06459999999999866,True,4,1526743974.1291,0
82,298,2019,3,35,"Castroneves, Helio",228.16,0.09860000000000468,0.042499999999996874,False,4,,1
21,66,2018,25,22,"Wilson, Stefan",225.909,0.12230000000000274,0.055200000000006355,True,4,1526755474.0931,0
117,9,2019,66,70,"Alonso, Fernando",224.414,0.12439999999999429,0.062199999999997146,True,4,1558212218.951426,0
117,93,2019,66,70,"Alonso, Fernando",224.414,0.12439999999999429,0.062199999999997146,True,4,1558212573.956534,0
91,230,2019,42,44,"King, Jordan",227.105,0.14180000000000348,0.14180000000000348,True,2,1558206568.962846,0
106,37,2019,59,59,"Chilton, Max",226.354,0.14409999999999457,0.06550000000000011,True,4,1558213999.186133,0
106,100,2019,59,59,"Chilton, Max",226.354,0.14409999999999457,0.06550000000000011,True,4,1558214039.164639,0
99,41,2019,24,52,"Karam, Sage",226.871,0.15820000000000078,0.05870000000000175,True,4,1558215651.800902,0
99,105,2019,24,52,"Karam, Sage",226.871,0.15820000000000078,0.05870000000000175,True,4,1558215690.146442,0
17,73,2018,7,18,"Howard, Jay",226.098,0.15900000000000603,0.08389999999999986,True,4,1526743934.3228,0
107,38,2019,59,60,"Chilton, Max",226.321,0.16460000000000008,0.12650000000000006,True,4,1558214039.115833,0
107,101,2019,59,60,"Chilton, Max",226.321,0.16460000000000008,0.12650000000000006,True,4,1558214079.0943391,0
82,297,2019,3,35,"Castroneves, Helio",228.16,0.1751999999999967,0.11529999999999774,False,4,,1
75,277,2019,26,28,"Veach, Zach",227.341,0.17540000000000333,0.07200000000000273,False,4,,1
65,63,2019,9,18,"Dixon, Scott",228.1,0.17890000000000583,0.06810000000000116,True,4,1558200013.847971,0
65,158,2019,9,18,"Dixon, Scott",228.1,0.17890000000000583,0.06810000000000116,True,4,1558200053.848145,0
98,107,2019,31,51,"O'Ward, Patricio",226.897,0.18260000000000076,0.07499999999999574,True,4,1558213709.2324,0
89,32,2019,10,42,"Rosenqvist, Felix",227.198,0.1834999999999951,0.0694999999999979,True,4,1558214874.645812,0
89,95,2019,10,42,"Rosenqvist, Felix",227.198,0.1834999999999951,0.0694999999999979,True,4,1558214919.313235,0
76,1,2019,10,29,"Rosenqvist, Felix",227.297,0.18350000000000222,0.0694999999999979,True,4,1558208503.960087,0
76,87,2019,10,29,"Rosenqvist, Felix",227.297,0.18350000000000222,0.0694999999999979,True,4,1558212573.956534,0
106,38,2019,59,59,"Chilton, Max",226.354,0.19539999999999935,0.06969999999999743,True,4,1558214039.115833,0
106,101,2019,59,59,"Chilton, Max",226.354,0.19539999999999935,0.06969999999999743,True,4,1558214079.0943391,0
59,297,2019,3,12,"Castroneves, Helio",228.523,0.19709999999999894,0.1255999999999986,False,4,,1
82,319,2019,3,35,"Castroneves, Helio",228.16,0.21010000000001128,0.15400000000000347,False,3,,1
88,278,2019,26,41,"Veach, Zach",227.202,0.2166999999999959,0.16519999999999868,False,4,,1
88,309,2019,26,41,"Veach, Zach",227.202,0.23219999999999175,0.16219999999999857,False,3,,1
64,4,2019,15,17,"Rahal, Graham",228.104,0.24349999999999739,0.17799999999999727,True,4,1558209644.2028859,0
64,89,2019,15,17,"Rahal, Graham",228.104,0.24349999999999739,0.17799999999999727,True,4,1558212534.203534,0
82,60,2019,3,35,"Castroneves, Helio",228.16,0.25029999999999575,0.1255999999999986,True,4,1558199128.848658,0
82,272,2019,3,35,"Castroneves, Helio",228.16,0.25260000000000815,0.15400000000000347,True,0,1558212494.9382339,0
82,274,2019,3,35,"Castroneves, Helio",228.16,0.25260000000000815,0.15400000000000347,True,0,1558212573.956534,0
82,299,2019,3,35,"Castroneves, Helio",228.16,0.25260000000000815,0.15400000000000347,False,4,,1
88,188,2019,26,41,"Veach, Zach",227.202,0.25669999999998794,0.18669999999999476,True,3,1558212454.933034,0
88,259,2019,26,41,"Veach, Zach",227.202,0.25669999999998794,0.18669999999999476,True,1,1558212534.2860339,0
88,279,2019,26,41,"Veach, Zach",227.202,0.25669999999998794,0.18669999999999476,False,4,,1
88,239,2019,26,41,"Veach, Zach",227.202,0.25669999999998794,0.1986999999999952,True,2,1558212494.603534,0
88,269,2019,26,41,"Veach, Zach",227.202,0.25669999999998794,0.1986999999999952,True,0,1558212573.956534,0
88,280,2019,26,41,"Veach, Zach",227.202,0.25669999999998794,0.1986999999999952,False,4,,1
59,298,2019,3,12,"Castroneves, Helio",228.523,0.2639000000000067,0.1255999999999986,False,4,,1
98,108,2019,31,51,"O'Ward, Patricio",226.897,0.2663999999999973,0.11439999999999628,True,4,1558213748.9603,0
88,328,2019,26,41,"Veach, Zach",227.202,0.2686999999999884,0.1986999999999952,False,2,,1
96,42,2019,24,49,"Karam, Sage",226.951,0.2686999999999955,0.15859999999999985,True,4,1558215691.564602,0
96,106,2019,24,49,"Karam, Sage",226.951,0.2686999999999955,0.15859999999999985,True,4,1558215729.910142,0
110,209,2019,81,63,"Hanley, Ben",225.95,0.27179999999999893,0.14260000000000161,True,3,1558207003.749112,0
94,8,2019,66,47,"Alonso, Fernando",227.0,0.2722000000000051,0.12169999999999703,True,4,1558212177.5698261,0
94,92,2019,66,47,"Alonso, Fernando",227.0,0.2722000000000051,0.12169999999999703,True,4,1558212532.574934,0
20,85,2018,32,21,"Kaiser, Kyle",225.934,0.2775000000000034,0.10030000000000427,True,4,1526754894.0778,0
99,42,2019,24,52,"Karam, Sage",226.871,0.2799000000000049,0.20570000000000022,True,4,1558215691.564602,0
99,106,2019,24,52,"Karam, Sage",226.871,0.2799000000000049,0.20570000000000022,True,4,1558215729.910142,0
95,111,2019,5T,48,"Hinchcliffe, James",226.956,0.2838999999999885,0.2786999999999935,True,4,1558215369.503024,0
82,335,2019,3,35,"Castroneves, Helio",228.16,0.295100000000005,0.15400000000000347,False,2,,1
93,107,2019,31,46,"O'Ward, Patricio",227.065,0.29939999999999856,0.14289999999999736,True,4,1558213709.2324,0
94,313,2019,66,47,"Alonso, Fernando",227.0,0.3009000000000057,0.21759999999999735,False,3,,1
52,48,2019,88,5,"Herta, Colton",229.478,0.3049000000000106,0.17510000000000048,True,4,1558203508.857725,0
52,120,2019,88,5,"Herta, Colton",229.478,0.3049000000000106,0.17510000000000048,True,4,1558207003.749112,0
75,278,2019,26,28,"Veach, Zach",227.341,0.307699999999997,0.2353999999999985,False,4,,1
55,57,2019,27,8,"Rossi, Alexander",229.268,0.30989999999999185,0.1280000000000001,True,4,1558192498.733716,0
55,134,2019,27,8,"Rossi, Alexander",229.268,0.30989999999999185,0.1280000000000001,True,4,1558192528.736719,0
101,1,2019,10,54,"Rosenqvist, Felix",226.739,0.3211999999999975,0.12919999999999732,True,4,1558208503.960087,0
101,87,2019,10,54,"Rosenqvist, Felix",226.739,0.3211999999999975,0.12919999999999732,True,4,1558212573.956534,0
76,161,2019,10,29,"Rosenqvist, Felix",227.297,0.3246000000000038,0.2272999999999996,True,3,1558208464.2759871,0
76,187,2019,10,29,"Rosenqvist, Felix",227.297,0.3246000000000038,0.2272999999999996,True,3,1558212534.272434,0
103,209,2019,81,56,"Hanley, Ben",226.692,0.328799999999994,0.15969999999999374,True,3,1558207003.749112,0
68,29,2019,48,21,"Hildebrand, JR",227.908,0.33509999999999707,0.18249999999999744,True,4,1558204894.178639,0
68,155,2019,48,21,"Hildebrand, JR",227.908,0.33509999999999707,0.18249999999999744,True,4,1558206963.974012,0
82,264,2019,3,35,"Castroneves, Helio",228.16,0.3376000000000019,0.19650000000000034,True,1,1558212455.4078338,0
82,273,2019,3,35,"Castroneves, Helio",228.16,0.3376000000000019,0.19650000000000034,True,0,1558212534.4261339,0
82,300,2019,3,35,"Castroneves, Helio",228.16,0.3376000000000019,0.19650000000000034,False,4,,1
106,39,2019,59,59,"Chilton, Max",226.354,0.34029999999999916,0.13069999999999737,True,4,1558214078.975833,0
106,102,2019,59,59,"Chilton, Max",226.354,0.34029999999999916,0.13069999999999737,True,4,1558214118.954339,0
87,8,2019,66,40,"Alonso, Fernando",227.224,0.3458000000000041,0.14530000000000598,True,4,1558212177.5698261,0
87,92,2019,66,40,"Alonso, Fernando",227.224,0.3458000000000041,0.14530000000000598,True,4,1558212532.574934,0
75,309,2019,26,28,"Veach, Zach",227.341,0.35319999999999396,0.23239999999999839,False,3,,1
111,316,2019,32,64,"Kaiser, Kyle",225.918,0.36479999999999535,0.1238000000000028,False,3,,1
75,188,2019,26,28,"Veach, Zach",227.341,0.37109999999999843,0.2568999999999946,True,3,1558212454.933034,0
75,259,2019,26,28,"Veach, Zach",227.341,0.37109999999999843,0.2568999999999946,True,1,1558212534.2860339,0
75,279,2019,26,28,"Veach, Zach",227.341,0.37109999999999843,0.2568999999999946,False,4,,1
75,239,2019,26,28,"Veach, Zach",227.341,0.37769999999999015,0.26889999999999503,True,2,1558212494.603534,0
75,269,2019,26,28,"Veach, Zach",227.341,0.37769999999999015,0.26889999999999503,True,0,1558212573.956534,0
75,280,2019,26,28,"Veach, Zach",227.341,0.37769999999999015,0.26889999999999503,False,4,,1
64,3,2019,15,17,"Rahal, Graham",228.104,0.3791000000000011,0.284399999999998,True,4,1558209604.627786,0
64,88,2019,15,17,"Rahal, Graham",228.104,0.3791000000000011,0.284399999999998,True,4,1558212494.628434,0
75,328,2019,26,28,"Veach, Zach",227.341,0.3830999999999989,0.26889999999999503,False,2,,1
97,37,2019,59,50,"Chilton, Max",226.934,0.3873000000000033,0.15279999999999916,True,4,1558213999.186133,0
97,100,2019,59,50,"Chilton, Max",226.934,0.3873000000000033,0.15279999999999916,True,4,1558214039.164639,0
101,32,2019,10,54,"Rosenqvist, Felix",226.739,0.3896999999999977,0.1856999999999971,True,4,1558214874.645812,0
101,95,2019,10,54,"Rosenqvist, Felix",226.739,0.3896999999999977,0.1856999999999971,True,4,1558214919.313235,0
87,313,2019,66,40,"Alonso, Fernando",227.224,0.38990000000000435,0.1700000000000017,False,3,,1
88,276,2019,26,41,"Veach, Zach",227.202,0.3913999999999902,0.1986999999999952,False,4,,1
86,47,2019,15,39,"Rahal, Graham",227.394,0.3937000000000097,0.23680000000000234,True,4,1558201888.851524,0
86,118,2019,15,39,"Rahal, Graham",227.394,0.3937000000000097,0.23680000000000234,True,4,1558201928.852922,0
92,5,2019,15,45,"Rahal, Graham",227.095,0.3937000000000097,0.23680000000000234,True,4,1558209683.955886,0
92,90,2019,15,45,"Rahal, Graham",227.095,0.3937000000000097,0.23680000000000234,True,4,1558212573.956534,0
107,36,2019,59,60,"Chilton, Max",226.321,0.3988999999999976,0.1961999999999975,True,4,1558213959.326133,0
107,99,2019,59,60,"Chilton, Max",226.321,0.3988999999999976,0.1961999999999975,True,4,1558213999.304639,0
106,52,2019,59,59,"Chilton, Max",226.354,0.4065999999999903,0.14399999999999835,True,4,1558194793.844168,0
106,124,2019,59,59,"Chilton, Max",226.354,0.4065999999999903,0.14399999999999835,True,4,1558194843.844834,0
104,230,2019,42,57,"King, Jordan",226.662,0.4093000000000018,0.183400000000006,True,2,1558206568.962846,0
88,308,2019,26,41,"Veach, Zach",227.202,0.4158999999999864,0.1986999999999952,False,3,,1
73,230,2019,42,26,"King, Jordan",227.502,0.4188000000000045,0.1747000000000014,True,2,1558206568.962846,0
75,276,2019,26,28,"Veach, Zach",227.341,0.4287999999999883,0.26889999999999503,False,4,,1
86,4,2019,15,39,"Rahal, Graham",227.394,0.43909999999999627,0.22849999999999682,True,4,1558209644.2028859,0
86,89,2019,15,39,"Rahal, Graham",227.394,0.43909999999999627,0.22849999999999682,True,4,1558212534.203534,0
97,36,2019,59,50,"Chilton, Max",226.934,0.4392999999999958,0.31739999999999924,True,4,1558213959.326133,0
97,99,2019,59,50,"Chilton, Max",226.934,0.4392999999999958,0.31739999999999924,True,4,1558213999.304639,0
93,108,2019,31,46,"O'Ward, Patricio",227.065,0.4443999999999946,0.1484000000000023,True,4,1558213748.9603,0
82,296,2019,3,35,"Castroneves, Helio",228.16,0.44839999999999947,0.15400000000000347,False,4,,1
59,296,2019,3,12,"Castroneves, Helio",228.523,0.4493000000000009,0.27960000000000207,False,4,,1
88,327,2019,26,41,"Veach, Zach",227.202,0.45539999999998315,0.1986999999999952,False,2,,1
107,39,2019,59,60,"Chilton, Max",226.321,0.45649999999999125,0.1961999999999975,True,4,1558214078.975833,0
107,102,2019,59,60,"Chilton, Max",226.321,0.45649999999999125,0.1961999999999975,True,4,1558214118.954339,0
107,52,2019,59,60,"Chilton, Max",226.321,0.45700000000000074,0.21369999999999578,True,4,1558194793.844168,0
107,124,2019,59,60,"Chilton, Max",226.321,0.45700000000000074,0.21369999999999578,True,4,1558194843.844834,0
59,319,2019,3,12,"Castroneves, Helio",228.523,0.460400000000007,0.27960000000000207,False,3,,1
59,335,2019,3,12,"Castroneves, Helio",228.523,0.460400000000007,0.27960000000000207,False,2,,1
58,166,2019,25,11,"Daly, Conor",228.617,0.46359999999999957,0.3119000000000014,True,3,1558209379.54588,0
106,36,2019,59,59,"Chilton, Max",226.354,0.4732999999999947,0.21340000000000003,True,4,1558213959.326133,0
106,99,2019,59,59,"Chilton, Max",226.354,0.4732999999999947,0.21340000000000003,True,4,1558213999.304639,0
58,55,2019,25,11,"Daly, Conor",228.617,0.4805999999999955,0.16020000000000323,True,4,1558191873.736616,0
58,130,2019,25,11,"Daly, Conor",228.617,0.4805999999999955,0.16020000000000323,True,4,1558207003.749112,0
84,10,2019,25,37,"Daly, Conor",227.921,0.4805999999999955,0.16020000000000323,True,4,1558209418.96018,0
89,161,2019,10,42,"Rosenqvist, Felix",227.198,0.48910000000000053,0.27490000000000236,True,3,1558208464.2759871,0
89,187,2019,10,42,"Rosenqvist, Felix",227.198,0.48910000000000053,0.27490000000000236,True,3,1558212534.272434,0
105,110,2019,5T,58,"Hinchcliffe, James",226.53,0.4895999999999958,0.37169999999999703,True,4,1558215329.8092241,0
90,29,2019,48,43,"Hildebrand, JR",227.183,0.4919000000000011,0.3305000000000007,True,4,1558204894.178639,0
90,155,2019,48,43,"Hildebrand, JR",227.183,0.4919000000000011,0.3305000000000007,True,4,1558206963.974012,0
64,5,2019,15,17,"Rahal, Graham",228.104,0.49259999999999593,0.191599999999994,True,4,1558209683.955886,0
64,90,2019,15,17,"Rahal, Graham",228.104,0.49259999999999593,0.191599999999994,True,4,1558212573.956534,0
86,35,2019,15,39,"Rahal, Graham",227.394,0.49259999999999593,0.191599999999994,True,4,1558216224.158177,0
86,98,2019,15,39,"Rahal, Graham",227.394,0.49259999999999593,0.191599999999994,True,4,1558216261.439311,0
