official_index,candidate_index,year,car_number,source_rank,driver_name,official_speed_mph,lap_match_abs_sum_s,lap_match_abs_max_s,candidate_timestamp_resolved,candidate_flag1_count,candidate_end_ts,timestamp_penalty
4,84,2018,18,5,"Bourdais, Sebastien",228.09,0.0,0.0,True,4,1526754394.0,0
8,81,2018,13,9,"Patrick, Danica",227.61,0.0,0.0,True,4,1526754669.0,0
11,72,2018,4,12,"Leist, Matheus",227.441,0.0,0.0,True,4,1526755804.0,0
15,65,2018,66,16,"Hildebrand, JR",226.499,0.0,0.0,True,4,1526756619.0,0
16,77,2018,98,17,"Andretti, Marco",226.154,0.0,0.0,True,4,1526756909.0,0
20,86,2018,32,21,"Kaiser, Kyle",225.934,0.0,0.0,True,4,1526754934.0,0
21,67,2018,25,22,"Wilson, Stefan",225.909,0.0,0.0,True,4,1526755514.0,0
23,69,2018,26,24,"Veach, Zach",225.805,0.0,0.0,True,4,1526757164.0,0
27,79,2018,59,28,"Chilton, Max",225.666,0.0,0.0,True,4,1526755249.0,0
36,70,2018,27,37,"Rossi, Alexander",226.212,0.0,0.0,True,4,1526756344.0,0
44,83,2018,17,45,"Daly, Conor",222.684,0.0,0.0,True,4,1526756074.0,0
48,15,2019,21,1,"Pigot, Spencer",230.083,0.0,0.0,True,4,1558192183.733642,0
48,137,2019,21,1,"Pigot, Spencer",230.083,0.0,0.0,True,4,1558192218.735167,0
49,31,2019,12,2,"Power, Will",230.081,0.0,0.0,True,4,1558194218.739481,0
49,159,2019,12,2,"Power, Will",230.081,0.0,0.0,True,4,1558207003.749112,0
50,16,2019,22,3,"Pagenaud, Simon",229.854,0.0,0.0,True,4,1558196808.847107,0
50,138,2019,22,3,"Pagenaud, Simon",229.854,0.0,0.0,True,4,1558196843.846038,0
51,25,2019,2,4,"Newgarden, Josef",229.749,0.0,0.0,True,4,1558199423.853516,0
51,149,2019,2,4,"Newgarden, Josef",229.749,0.0,0.0,True,4,1558199453.850182,0
53,7,2019,63,6,"Jones, Ed",229.44,0.0,0.0,True,4,1558196233.841428,0
54,14,2019,20,7,"Carpenter, Ed",229.349,0.0,0.0,True,4,1558192768.73441,0
54,136,2019,20,7,"Carpenter, Ed",229.349,0.0,0.0,True,4,1558192808.735021,0
56,20,2019,18,9,"Bourdais, Sebastien",228.8,0.0,0.0,True,4,1558193078.751766,0
56,142,2019,18,9,"Bourdais, Sebastien",228.8,0.0,0.0,True,4,1558193113.728138,0
58,10,2019,25,11,"Daly, Conor",228.617,0.0,0.0,True,4,1558209418.96018,0
59,60,2019,3,12,"Castroneves, Helio",228.523,0.0,0.0,True,4,1558199128.848658,0
60,28,2019,7,13,"Ericsson, Marcus",228.511,0.0,0.0,True,4,1558195688.846524,0
60,152,2019,7,13,"Ericsson, Marcus",228.511,0.0,0.0,True,4,1558207003.749112,0
61,22,2019,30,14,"Sato, Takuma",228.3,0.0,0.0,True,4,1558196503.865886,0
62,23,2019,33,15,"Davison, James",228.273,0.0,0.0,True,4,1558195958.845046,0
62,147,2019,33,15,"Davison, James",228.273,0.0,0.0,True,4,1558195993.845865,0
63,54,2019,14,16,"Kanaan, Tony",228.12,0.0,0.0,True,4,1558193393.732326,0
63,129,2019,14,16,"Kanaan, Tony",228.12,0.0,0.0,True,4,1558193428.747589,0
64,35,2019,15,17,"Rahal, Graham",228.104,0.0,0.0,True,4,1558216224.158177,0
64,98,2019,15,17,"Rahal, Graham",228.104,0.0,0.0,True,4,1558216261.439311,0
66,0,2019,77,19,"Servia, Oriol",227.991,0.0,0.0,True,4,1558199723.87043,0
66,113,2019,77,19,"Servia, Oriol",227.991,0.0,0.0,True,4,1558207003.749112,0
67,17,2019,23,20,"Kimball, Charlie",227.915,0.0,0.0,True,4,1558193933.736843,0
67,139,2019,23,20,"Kimball, Charlie",227.915,0.0,0.0,True,4,1558193968.73434,0
68,43,2019,48,21,"Hildebrand, JR",227.908,0.0,0.0,True,4,1558215955.174418,0
68,112,2019,48,21,"Hildebrand, JR",227.908,0.0,0.0,True,4,1558215989.897992,0
69,2,2019,28,22,"Hunter-Reay, Ryan",227.877,0.0,0.0,True,4,1558202793.853216,0
69,115,2019,28,22,"Hunter-Reay, Ryan",227.877,0.0,0.0,True,4,1558202828.855847,0
70,18,2019,19,23,"Ferrucci, Santino",227.731,0.0,0.0,True,4,1558195373.84536,0
70,140,2019,19,23,"Ferrucci, Santino",227.731,0.0,0.0,True,4,1558195428.840331,0
71,26,2019,4,24,"Leist, Matheus",227.717,0.0,0.0,True,4,1558207348.963186,0
71,94,2019,4,24,"Leist, Matheus",227.717,0.0,0.0,True,4,1558212573.956534,0
72,6,2019,60,25,"Harvey, Jack",227.695,0.0,0.0,True,4,1558195078.84023,0
72,119,2019,60,25,"Harvey, Jack",227.695,0.0,0.0,True,4,1558207003.749112,0
77,12,2019,39,30,"Mann, Pippa",227.244,0.0,0.0,True,4,1558197078.848207,0
77,132,2019,39,30,"Mann, Pippa",227.244,0.0,0.0,True,4,1558207003.749112,0
78,48,2019,88,31,"Herta, Colton",229.033,0.0,0.0,True,4,1558203508.857725,0
78,120,2019,88,31,"Herta, Colton",229.033,0.0,0.0,True,4,1558207003.749112,0
79,57,2019,27,32,"Rossi, Alexander",228.816,0.0,0.0,True,4,1558192498.733716,0
79,134,2019,27,32,"Rossi, Alexander",228.816,0.0,0.0,True,4,1558192528.736719,0
