year,official_complete_attempts,assigned_matches,strong_matches,strong_or_plausible_matches,timestamp_resolved_matches,strong_coverage,acceptable_coverage,timestamp_coverage
2018,44,12,12,12,12,0.2727272727272727,0.2727272727272727,0.2727272727272727
2019,65,60,43,50,55,0.6615384615384615,0.7692307692307693,0.8461538461538461
