year,evidence_layer,physical_variable,rows,non_null_rows,missing_rows,coverage_pct
2021,DAY1_FIRST_RUN,wind_direction,35,33,2,94.28571429
2021,DAY1_FIRST_RUN,wind_speed,35,33,2,94.28571429
2022,DAY1_FIRST_RUN,air_density,32,0,32,0
2022,DAY1_FIRST_RUN,air_temperature,32,0,32,0
2022,DAY1_FIRST_RUN,cloud_cover,32,0,32,0
2022,DAY1_FIRST_RUN,dew_point,32,0,32,0
2022,DAY1_FIRST_RUN,gust,32,0,32,0
2022,DAY1_FIRST_RUN,humidity,32,0,32,0
2022,DAY1_FIRST_RUN,pressure,32,0,32,0
2022,DAY1_FIRST_RUN,shortwave_radiation,32,0,32,0
2022,DAY1_FIRST_RUN,solar_geometry,32,0,32,0
2022,DAY1_FIRST_RUN,track_temperature,32,0,32,0
2022,DAY1_FIRST_RUN,wind_direction,32,0,32,0
2022,DAY1_FIRST_RUN,wind_speed,32,0,32,0
2023,DAY1_FIRST_RUN,air_density,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,air_temperature,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,cloud_cover,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,dew_point,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,gust,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,humidity,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,pressure,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,shortwave_radiation,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,solar_geometry,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,track_temperature,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,wind_direction,34,16,18,47.05882353
2023,DAY1_FIRST_RUN,wind_speed,34,16,18,47.05882353
2024,DAY1_FIRST_RUN,air_density,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,air_temperature,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,cloud_cover,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,dew_point,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,gust,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,humidity,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,pressure,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,shortwave_radiation,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,solar_geometry,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,track_temperature,34,5,29,14.70588235
2024,DAY1_FIRST_RUN,wind_direction,34,6,28,17.64705882
2024,DAY1_FIRST_RUN,wind_speed,34,6,28,17.64705882
2020,DAY1_REPEAT_PAIRS,air_temperature,13,11,2,84.61538462
2020,DAY1_REPEAT_PAIRS,cloud_cover,13,11,2,84.61538462
2020,DAY1_REPEAT_PAIRS,gust,13,11,2,84.61538462
2020,DAY1_REPEAT_PAIRS,humidity,13,11,2,84.61538462
2020,DAY1_REPEAT_PAIRS,pressure,13,11,2,84.61538462
2020,DAY1_REPEAT_PAIRS,shortwave_radiation,13,11,2,84.61538462
2020,DAY1_REPEAT_PAIRS,track_temperature,13,11,2,84.61538462
2020,DAY1_REPEAT_PAIRS,wind_speed,13,11,2,84.61538462
2021,DAY1_REPEAT_PAIRS,air_temperature,16,16,0,100
2021,DAY1_REPEAT_PAIRS,cloud_cover,16,16,0,100
2021,DAY1_REPEAT_PAIRS,gust,16,16,0,100
2021,DAY1_REPEAT_PAIRS,humidity,16,16,0,100
2021,DAY1_REPEAT_PAIRS,pressure,16,16,0,100
2021,DAY1_REPEAT_PAIRS,shortwave_radiation,16,16,0,100
2021,DAY1_REPEAT_PAIRS,track_temperature,16,16,0,100
2021,DAY1_REPEAT_PAIRS,wind_speed,16,16,0,100
2022,DAY1_REPEAT_PAIRS,air_temperature,8,0,8,0
2022,DAY1_REPEAT_PAIRS,cloud_cover,8,0,8,0
2022,DAY1_REPEAT_PAIRS,gust,8,0,8,0
2022,DAY1_REPEAT_PAIRS,humidity,8,0,8,0
2022,DAY1_REPEAT_PAIRS,pressure,8,0,8,0
2022,DAY1_REPEAT_PAIRS,shortwave_radiation,8,0,8,0
2022,DAY1_REPEAT_PAIRS,track_temperature,8,0,8,0
