year,car_number,driver_name,team_name,source_path,source_type,qualifying_simulation_indicator,four_lap_average_mph,lap1,lap2,lap3,lap4,single_lap_speed_if_present,no_tow_indicator_if_present,timestamp_or_order,weather_linkage_if_present,existing_baseline_reference,reference_speed_mph,reference_type,baseline_quality,ambiguity_reason,source_quality,source_url,provenance_note
2020,1,Josef Newgarden,Team Penske,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,230.583,False,17,UNAVAILABLE,True,230.583,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,10,Felix Rosenqvist,Chip Ganassi Racing,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,230.432,False,20,UNAVAILABLE,True,230.432,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,12,Will Power,Team Penske,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,231.605,False,11,UNAVAILABLE,True,231.605,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,MULTIPLE_CANDIDATE_EVIDENCE_ROWS,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,12,"Power, Will",,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,231.605,False,11,UNAVAILABLE,True,231.605,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,MULTIPLE_CANDIDATE_EVIDENCE_ROWS,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,14,Tony Kanaan,A.J. Foyt Enterprises,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,229.946,False,24,UNAVAILABLE,True,229.946,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,15,Graham Rahal,Rahal Letterman Lanigan Racing,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,231.239,False,14,UNAVAILABLE,True,231.239,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,18,Santino Ferrucci,Dale Coyne Racing with Vasser-Sullivan,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,230.154,False,23,UNAVAILABLE,True,230.154,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,20,Ed Carpenter,ECR,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,229.563,False,27,UNAVAILABLE,True,229.563,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,21,Rinus VeeKay,ECR,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,230.331,False,21,UNAVAILABLE,True,230.331,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
2020,22,Simon Pagenaud,Team Penske,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,OFFICIAL_RESULTS_PDF,False,,,,,,230.189,False,22,UNAVAILABLE,True,230.189,GENERAL_FAST_FRIDAY_BEST_SPEED,VERY_HIGH_GENERAL_FAST_FRIDAY_BEST_SPEED,REFERENCE_IS_SINGLE_LAP_NOT_FOUR_LAP_AVERAGE,VERY_HIGH,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.
