year,day1_entrants,fast_friday_reference_available,four_lap_fast_friday_average_available,ambiguous_baseline,missing_baseline
2020,33,33,0,33,0
2021,35,35,0,35,0
2022,33,33,5,33,0
2023,34,34,4,30,0
2024,34,34,6,28,0
