year,team_name,team_year_id,car_number,driver_name,teammate_cars,teammate_drivers,nearest_teammate_car,nearest_teammate_timing_separation_min,nearest_teammate_track_temp_difference_c,nearest_teammate_air_temp_difference_c,similar_physical_conditions,own_fast_friday_reference_available,teammate_fast_friday_references_available,own_day1_first_run_speed_mph,teammate_day1_first_run_speeds_mph,teammates_are_identical_assumption
2020,A.J. Foyt Enterprises,2020|A.J. Foyt Enterprises,41,Dalton Kellett,14|4,Tony Kanaan|Charlie Kimball,14,127.5,12.22222223,3.473959605,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,228.88,229.154|227.758,False
2020,A.J. Foyt Enterprises,2020|A.J. Foyt Enterprises,14,Tony Kanaan,41|4,Dalton Kellett|Charlie Kimball,41,127.5,-12.22222223,-3.473959605,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.154,228.88|227.758,False
2020,A.J. Foyt Enterprises,2020|A.J. Foyt Enterprises,4,Charlie Kimball,41|14,Dalton Kellett|Tony Kanaan,,,,,UNAVAILABLE,True,2,227.758,228.88|229.154,False
2020,Andretti Autosport,2020|Andretti Autosport,27,Alexander Rossi,28|29|26,Ryan Hunter-Reay|James Hinchcliffe|Zach Veach,28,10,1.66666666,0.2595153809,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,231.268,231.33|231.195|229.961,False
2020,Andretti Autosport,2020|Andretti Autosport,28,Ryan Hunter-Reay,27|29|26,Alexander Rossi|James Hinchcliffe|Zach Veach,27,10,-1.66666666,-0.2595153809,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,231.33,231.268|231.195|229.961,False
2020,Andretti Autosport,2020|Andretti Autosport,29,James Hinchcliffe,27|28|26,Alexander Rossi|Ryan Hunter-Reay|Zach Veach,28,28.33333333,-4.44444445,-0.9130830977,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,231.195,231.268|231.33|229.961,False
2020,Andretti Autosport,2020|Andretti Autosport,26,Zach Veach,27|28|29,Alexander Rossi|Ryan Hunter-Reay|James Hinchcliffe,,,,,UNAVAILABLE,True,3,229.961,231.268|231.33|231.195,False
2020,Andretti Herta w/ Marco & Curb-Agajanian,2020|Andretti Herta w/ Marco & Curb-Agajanian,98,Marco Andretti,,,,,,,UNAVAILABLE,True,0,231.351,,False
2020,Andretti Steinbrenner Autosport,2020|Andretti Steinbrenner Autosport,88,Colton Herta,,,,,,,UNAVAILABLE,True,0,230.56,,False
2020,Arrow McLaren,2020|Arrow McLaren,5,Pato O'Ward,66|7,Fernando Alonso|Oliver Askew,66,24.16666667,1.11111111,0.6348715888,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.902,228.768|229.76,False
2020,Arrow McLaren,2020|Arrow McLaren,66,Fernando Alonso,5|7,Pato O'Ward|Oliver Askew,7,19.16666667,5,0.4892610338,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,228.768,229.902|229.76,False
2020,Arrow McLaren,2020|Arrow McLaren,7,Oliver Askew,5|66,Pato O'Ward|Fernando Alonso,66,19.16666667,-5,-0.4892610338,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.76,229.902|228.768,False
2020,Carlin,2020|Carlin,59,Max Chilton,,,,,,,UNAVAILABLE,True,0,225.819,,False
2020,Chip Ganassi Racing,2020|Chip Ganassi Racing,9,Scott Dixon,8|10,Marcus Ericsson|Felix Rosenqvist,8,47.5,3.88888889,1.377419408,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,231.094,230.472|230.254,False
2020,Chip Ganassi Racing,2020|Chip Ganassi Racing,8,Marcus Ericsson,9|10,Scott Dixon|Felix Rosenqvist,10,9.166666667,3.33333334,0.2336519029,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.472,231.094|230.254,False
2020,Chip Ganassi Racing,2020|Chip Ganassi Racing,10,Felix Rosenqvist,9|8,Scott Dixon|Marcus Ericsson,8,9.166666667,-3.33333334,-0.2336519029,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.254,231.094|230.472,False
2020,Dale Coyne Racing with RWR,2020|Dale Coyne Racing with RWR,55,Alex Palou,,,,,,,UNAVAILABLE,True,0,231.034,,False
