wait_minutes,target_time_utc,forecast_ambient_c,delta_ambient_c,expected_delta_track_c,track_uncertainty_sd_c,expected_physical_delta_speed_mph,median_total_delta_speed_mph,q10_delta_speed_mph,q90_delta_speed_mph,q05_delta_speed_mph,q95_delta_speed_mph,p_improve,expected_future_speed_mph,median_future_speed_mph
0.0,2025-05-17 16:31:18.040000+00:00,20.555555555555557,0.0,0.0,0.0,0.0,0.0,-0.7199597912553156,0.7248392871580811,-1.1702080190504822,1.2722536368737916,0.4898,230.837,230.837
1.0,2025-05-17 16:32:18.040000+00:00,20.555555555555557,0.0,0.010332791111111114,0.09709999999999999,-0.0003431751686970369,0.00015307600260193696,-0.7216345537507788,0.7427939859300754,-1.1735256213070648,1.2652087230584024,0.5019,230.8366568248313,230.83715307600258
2.0,2025-05-17 16:33:18.040000+00:00,20.555555555555557,0.0,0.02066558222222223,0.19419999999999998,-0.0006741407213213074,0.00021700126541158331,-0.723132932665777,0.7463502677071575,-1.1768187222075779,1.2611105468390809,0.5013,230.83632585927867,230.8372170012654
3.0,2025-05-17 16:34:18.040000+00:00,20.555555555555557,0.0,0.030998373333333346,0.2913,-0.0013043041085649388,-2.061396309242822e-14,-0.7241151835006303,0.7453439169182959,-1.1784397888103348,1.2522841239676952,0.49965,230.83569569589142,230.83699999999996
4.0,2025-05-17 16:35:18.040000+00:00,20.555555555555557,0.0,0.04133116444444446,0.38839999999999997,-0.0014373721861173153,0.00024006991034276946,-0.7264623055504313,0.7442857063346268,-1.181322126123044,1.2468738494952194,0.50115,230.83556262781389,230.83724006991034
5.0,2025-05-17 16:36:18.040000+00:00,20.555555555555557,0.0,0.05166395555555557,0.48549999999999993,-0.001710042817143214,-8.090838404674207e-13,-0.726069950900176,0.7398149908007756,-1.1848649809063192,1.2407143716620583,0.4996,230.83528995718285,230.8369999999992
6.0,2025-05-17 16:37:18.040000+00:00,20.555555555555557,0.0,0.06199674666666669,0.5826,-0.0023402738563569835,-0.0004610787455294825,-0.7286453602160157,0.7419543613472644,-1.1883265108520809,1.2370172172999614,0.4984,230.83465972614363,230.83653892125446
7.0,2025-05-17 16:38:18.040000+00:00,20.555555555555557,0.0,0.07232953777777781,0.6797,-0.0029147851390241507,-3.1460590919912434e-16,-0.7266670933890536,0.7415783206276936,-1.1872899801307875,1.2411656253261314,0.4999,230.83408521486098,230.837
8.0,2025-05-17 16:39:18.040000+00:00,20.555555555555557,0.0,0.08266232888888891,0.7767999999999999,-0.0029194615559521462,-3.362406697387584e-11,-0.7306219960926137,0.7416910594694988,-1.1879009138246073,1.2376084673085883,0.49935,230.83408053844403,230.83699999996637
9.0,2025-05-17 16:40:18.040000+00:00,20.555555555555557,0.0,0.09299512000000004,0.8738999999999999,-0.0035069547726103677,1.1117354188155795e-13,-0.7268789527624644,0.7427705815712925,-1.1946748526024873,1.2336364384160396,0.5003,230.83349304522739,230.8370000000001
