candidate_id,source_id,driver_name,car_number,speed_mph,official_result_row,official_result_status,official_result_source_file,official_result_source_line,match_semantic,chronology_promoted
R1G4-C0047,INDYCAR_2022_QUALS_CHANGE,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0051,INDYCAR_2022_QUALS_CHANGE,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0051,INDYCAR_2022_QUALS_CHANGE,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0051,INDYCAR_2022_QUALS_CHANGE,Alex Palou,10,232.774,4,,2022_6033_01_Results.txt,11,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0052,INDYCAR_2022_QUALFORMAT,Pato O'Ward,5,233.037,2,,2022_6033_01_Results.txt,9,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0052,INDYCAR_2022_QUALFORMAT,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0052,INDYCAR_2022_QUALFORMAT,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0060,INDYCAR_2022_QUALFORMAT,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0060,INDYCAR_2022_QUALFORMAT,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0060,INDYCAR_2022_QUALFORMAT,Alex Palou,10,232.774,4,,2022_6033_01_Results.txt,11,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0061,INDYCAR_2022_MORNING_PRACTICE,Pato O'Ward,5,233.037,2,,2022_6033_01_Results.txt,9,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0061,INDYCAR_2022_MORNING_PRACTICE,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0061,INDYCAR_2022_MORNING_PRACTICE,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0062,INDYCAR_2022_MORNING_PRACTICE,Scott Dixon,9,232.151,10,,2022_6033_01_Results.txt,17,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0064,INDYCAR_2022_MORNING_PRACTICE,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0064,INDYCAR_2022_MORNING_PRACTICE,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0064,INDYCAR_2022_MORNING_PRACTICE,Alex Palou,10,232.774,4,,2022_6033_01_Results.txt,11,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
