driver_name,total_leaderboard_units,high_value_candidates,final_result_only_units,classes,promotion_ready
Alexander Rossi,143,0,0,LEADERBOARD_REVIEW|LOW_VALUE|NON_SOURCE_NATIVE,False
Callum Ilott,90,0,0,LEADERBOARD_REVIEW|LOW_VALUE|NON_SOURCE_NATIVE,False
David Malukas,79,2,0,CUTOFF_SPEED_CANDIDATE|LEADERBOARD_REVIEW|LOW_VALUE|NON_SOURCE_NATIVE,False
Helio Castroneves,133,0,2,LIKELY_FINAL_RESULT_ONLY|LOW_VALUE|NON_SOURCE_NATIVE,False
Marco Andretti,192,0,0,LEADERBOARD_REVIEW|LOW_VALUE|NON_SOURCE_NATIVE,False
Sage Karam,69,2,0,LOW_VALUE|NON_SOURCE_NATIVE|TEMPORAL_RANK_CANDIDATE,False
Scott McLaughlin,124,2,0,LOW_VALUE|NON_SOURCE_NATIVE|TEMPORAL_RANK_CANDIDATE,False
Takuma Sato,146,2,2,CUTOFF_SPEED_CANDIDATE|LEADERBOARD_REVIEW|LIKELY_FINAL_RESULT_ONLY|LOW_VALUE|NON_SOURCE_NATIVE,False
