metric,value,status
canonical_attempt_count,44,PASS
duplicate_attempt_rows,0,PASS
covered_plus_uncovered_equals_total,44,PASS
result_row_order_used_as_chronology,0,PASS
queue_wait_inferred,0,PASS
canonical_data_mutated,0,PASS
