fold_id,test_year,model_name,feature_name,standardized_coefficient,model_policy_hash
DELTA_LOYO_2021,2021,RIDGE,baseline_speed_mph,-0.6140811793371662,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,seconds_since_baseline_attempt,-0.017477069813708456,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,prior_supported_attempt_count,0.011422940918325481,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_temp_c,-0.12445777829935714,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_relative_humidity_pct,0.04984351142927095,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_wind_speed_10m_ms,0.0772899328944593,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_pressure_hpa,-0.0008229634332805756,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_cloud_cover_pct,0.2352554986540536,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_shortwave_radiation_wm2,0.07674521989717538,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_forecast_wind_direction_sin,-0.02041181303544988,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,RIDGE,delta_forecast_wind_direction_cos,-0.00043515039270688874,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
