date,cycle_time_utc,forecast_hour,valid_time_utc,ims_lat,ims_lon,TMP_2m,DPT_2m,UGRD_10m,VGRD_10m,GUST_surface,PRES_surface,TCDC_atmosphere,DSWRF_surface,temp_c,dewpoint_c,relative_humidity_pct,wind_speed_10m_ms,wind_direction_deg,pressure_hpa,gust_ms,cloud_cover_pct,shortwave_radiation_wm2,forecast_lead_hours
20220521,2022-05-21 11:00:00+00:00,0,2022-05-21 11:00:00+00:00,39.795,-86.234,296.52268981933594,291.5622863769531,0.3796768188476562,2.8655338287353516,6.411942925304174,98470.0,100.0,21.3,23.37268981933596,18.412286376953148,73.70836707593634,2.8905775565441862,187.54759975045005,984.7,6.411942925304174,100.0,21.3,0.0
20220521,2022-05-21 11:00:00+00:00,1,2022-05-21 12:00:00+00:00,39.795,-86.234,296.8839111328125,291.5879211425781,1.1791038513183594,2.7245330810546875,8.351582035422325,98400.0,100.0,60.900000000000006,23.733911132812523,18.437921142578148,72.23692736684295,2.9687314465871,203.4016491175267,984.0,8.351582035422325,100.0,60.900000000000006,1.0
20220521,2022-05-21 11:00:00+00:00,2,2022-05-21 13:00:00+00:00,39.795,-86.234,297.0629119873047,291.9028625488281,1.165571212768555,3.697305679321289,9.172353807836773,98640.0,100.0,58.5,23.91291198730471,18.752862548828148,72.88571732448983,3.876677125887094,197.49739527994174,986.4,9.172353807836773,100.0,58.5,2.0
20220521,2022-05-21 11:00:00+00:00,3,2022-05-21 14:00:00+00:00,39.795,-86.234,297.0903015136719,292.1846008300781,2.109170913696289,3.947610855102539,9.626747779548168,98730.0,93.0,87.4,23.940301513671898,19.034600830078148,74.05711993209619,4.4757383085370215,208.11516599946,987.3,9.626747779548168,93.0,87.4,3.0
20220521,2022-05-21 12:00:00+00:00,0,2022-05-21 12:00:00+00:00,39.795,-86.234,297.2075500488281,290.9997863769531,1.2085800170898438,1.1962566375732422,9.308694001287222,98620.0,100.0,2.4000000000000004,24.057550048828148,17.849786376953148,68.27640805592716,1.7004986329447391,225.29360474605352,986.2,9.308694001287222,100.0,2.4000000000000004,0.0
20220521,2022-05-21 12:00:00+00:00,1,2022-05-21 13:00:00+00:00,39.795,-86.234,296.3082733154297,291.7674865722656,2.4393043518066406,0.0946407318115234,4.976187936961651,98690.0,100.0,72.7,23.15827331542971,18.617486572265648,75.63476760347304,2.4411396086378665,267.7781386281521,986.9,4.976187936961651,100.0,72.7,1.0
20220521,2022-05-21 12:00:00+00:00,2,2022-05-21 14:00:00+00:00,39.795,-86.234,297.8637237548828,292.0753936767578,0.8596096038818359,2.86324691772461,4.506579235196114,98640.0,99.0,425.7000000000001,24.713723754882835,18.925393676757835,70.22309598508494,2.989500222937835,196.71091087599385,986.4,4.506579235196114,99.0,425.7000000000001,2.0
20220521,2022-05-21 12:00:00+00:00,3,2022-05-21 15:00:00+00:00,39.795,-86.234,297.2799072265625,292.51666259765625,-0.2976303100585937,3.5778751373291016,7.53576135635376,98660.0,100.0,36.8,24.129907226562523,19.366662597656273,74.74884381345943,3.5902331818119158,175.24472286398048,986.6,7.53576135635376,100.0,36.8,3.0
20220521,2022-05-21 13:00:00+00:00,0,2022-05-21 13:00:00+00:00,39.795,-86.234,296.8793029785156,292.23992919921875,1.2701702117919922,2.408966064453125,7.546354182064533,98640.0,89.0,127.8,23.729302978515648,19.089929199218773,75.26211752995839,2.7233159689265753,207.80123741038662,986.4,7.546354182064533,89.0,127.8,0.0
20220521,2022-05-21 13:00:00+00:00,1,2022-05-21 14:00:00+00:00,39.795,-86.234,298.1768341064453,292.58412170410156,1.8253936767578125,5.888986587524414,10.675839010626078,98680.0,100.0,354.20000000000005,25.026834106445335,19.434121704101585,71.1424189043846,6.1654055100366145,197.2217304581984,986.8,10.675839010626078,100.0,354.20000000000005,1.0
20220521,2022-05-21 13:00:00+00:00,2,2022-05-21 15:00:00+00:00,39.795,-86.234,297.0260314941406,292.9067077636719,3.927522659301758,3.2969207763671875,7.445476062595844,98730.0,100.0,227.3,23.876031494140648,19.756707763671898,77.75883141363182,5.127876835979036,229.98854796582856,987.3,7.445476062595844,100.0,227.3,2.0
20220521,2022-05-21 13:00:00+00:00,3,2022-05-21 16:00:00+00:00,39.795,-86.234,298.40374755859375,292.46083068847656,1.599323272705078,2.5179214477539062,4.086696445941925,98670.0,100.0,562.0,25.253747558593773,19.310830688476585,69.65115664539687,2.9829118906992895,212.42273308838438,986.7,4.086696445941925,100.0,562.0,3.0
20220521,2022-05-21 14:00:00+00:00,0,2022-05-21 14:00:00+00:00,39.795,-86.234,298.13145446777344,292.5129089355469,2.6459884643554688,2.4590015411376953,10.615130424499512,98780.0,99.0,78.10000000000001,24.98145446777346,19.362908935546898,71.01991111782769,3.6121937285837498,227.09770717575847,987.8,10.615130424499512,99.0,78.10000000000001,0.0
20220521,2022-05-21 14:00:00+00:00,1,2022-05-21 15:00:00+00:00,39.795,-86.234,297.7305603027344,290.63311767578125,4.630117416381836,0.3567447662353515,6.665757216513157,98780.0,100.0,694.8000000000001,24.580560302734398,17.483117675781273,64.65810205331914,4.643840449209978,265.594136447532,987.8,6.665757216513157,100.0,694.8000000000001,1.0
20220521,2022-05-21 14:00:00+00:00,2,2022-05-21 16:00:00+00:00,39.795,-86.234,299.4598083496094,289.98081970214844,1.8259410858154297,2.582345962524414,4.729342184960842,98770.0,100.0,817.0,26.309808349609398,16.83081970214846,55.98484870163979,3.1626842268925572,215.26360193549132,987.7,4.729342184960842,100.0,817.0,2.0
20220521,2022-05-21 14:00:00+00:00,3,2022-05-21 17:00:00+00:00,39.795,-86.234,300.7806701660156,290.7884521484375,0.8297824859619141,5.357311248779297,7.40458856523037,98750.0,100.0,923.0,27.630670166015648,17.638452148437523,54.51861411045131,5.421192008249323,188.80445859125865,987.5,7.40458856523037,100.0,923.0,3.0
