phase,qa_file,file_exists,all_hard_checks_pass,global_policy_hash
PHASE_5B5A,weather/output/repeat_performance_uncertainty_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_6A,weather/output/queue_wait_uncertainty_design_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_6B,weather/output/queue_wait_sensitivity_scenarios_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_6C,weather/output/retain_withdraw_monte_carlo_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_6D,weather/output/retain_withdraw_decision_semantics_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_6E,weather/output/retain_withdraw_target_aware_profiles_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_7A,weather/output/target_aware_cross_year_robustness_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_7B,weather/output/decision_robustness_envelope_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
PHASE_8A,weather/output/final_integrated_decision_output_v1_qa.csv,True,True,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
