date,cycle_time_utc,forecast_hour,valid_time_utc,ims_lat,ims_lon,TMP_2m,DPT_2m,UGRD_10m,VGRD_10m,GUST_surface,PRES_surface,TCDC_atmosphere,DSWRF_surface
20210522,2021-05-22T11:00:00+00:00,0,2021-05-22T11:00:00+00:00,39.795,-86.234,288.78614807128906,287.8122863769531,-0.059055328369140625,-0.5636091232299805,0.6097642853856087,100240.0,99.0,13.8
20210522,2021-05-22T11:00:00+00:00,1,2021-05-22T12:00:00+00:00,39.795,-86.234,290.5616760253906,288.1247863769531,0.04661750793457031,1.2855949401855469,2.975309871137142,100160.0,100.0,154.3
20210522,2021-05-22T11:00:00+00:00,2,2021-05-22T13:00:00+00:00,39.795,-86.234,292.91819763183594,288.2497863769531,0.2774839401245117,1.3101377487182617,5.239510145038366,100340.0,100.0,288.6
20210522,2021-05-22T11:00:00+00:00,3,2021-05-22T14:00:00+00:00,39.795,-86.234,295.03773498535156,288.6247863769531,0.5274200439453125,1.5318517684936523,5.0883694514632225,100280.0,100.0,575.0
20210522,2021-05-22T12:00:00+00:00,0,2021-05-22T12:00:00+00:00,39.795,-86.234,290.42120361328125,287.8747863769531,0.237030029296875,0.34636497497558594,2.4536401499062777,100310.0,72.0,179.5
20210522,2021-05-22T12:00:00+00:00,1,2021-05-22T13:00:00+00:00,39.795,-86.234,293.102783203125,288.1872863769531,1.029998779296875,0.9637126922607422,5.083449602127075,100240.0,92.0,420.90000000000003
20210522,2021-05-22T12:00:00+00:00,2,2021-05-22T14:00:00+00:00,39.795,-86.234,295.50489807128906,288.6872863769531,0.6118450164794922,1.6178770065307617,5.00932003557682,100240.0,100.0,551.0
20210522,2021-05-22T12:00:00+00:00,3,2021-05-22T15:00:00+00:00,39.795,-86.234,297.7062072753906,287.4997863769531,0.7158422470092773,1.5932502746582031,4.619186460971832,100160.0,100.0,708.3000000000001
20210522,2021-05-22T13:00:00+00:00,0,2021-05-22T13:00:00+00:00,39.795,-86.234,292.59129333496094,288.4997863769531,0.5327339172363281,-0.1434335708618164,2.059329580515623,100350.0,24.0,421.40000000000003
20210522,2021-05-22T13:00:00+00:00,1,2021-05-22T14:00:00+00:00,39.795,-86.234,295.13946533203125,288.1247863769531,0.4941873550415039,1.4467926025390625,4.734258279204369,100260.0,70.0,586.5
20210522,2021-05-22T13:00:00+00:00,2,2021-05-22T15:00:00+00:00,39.795,-86.234,296.9532165527344,287.4372863769531,0.19655323028564453,1.7172040939331055,4.214465007185936,100180.0,100.0,586.2
20210522,2021-05-22T13:00:00+00:00,3,2021-05-22T16:00:00+00:00,39.795,-86.234,298.8730773925781,285.91021728515625,1.4603452682495117,1.949955940246582,5.549854040145874,100140.0,100.0,781.0
