feature,rows,pearson_corr,spearman_corr,feature_role,causal_interpretation
delta_forecast_temp_c,35,0.1998381177,0.1165347716,FORWARD_CANDIDATE,NOT_ALLOWED
delta_forecast_dewpoint_c,35,0.0007108562,0.1284403673,FORWARD_CANDIDATE,NOT_ALLOWED
delta_forecast_relative_humidity_pct,35,-0.1354940838,-0.0444008685,FORWARD_CANDIDATE,NOT_ALLOWED
delta_forecast_wind_speed_10m_ms,35,0.2200815031,0.1330625397,FORWARD_CANDIDATE,NOT_ALLOWED
delta_forecast_gust_ms,35,0.2858272324,0.2864346250,FORWARD_CANDIDATE,NOT_ALLOWED
delta_forecast_pressure_hpa,35,0.1646016954,0.1102318092,FORWARD_CANDIDATE,NOT_ALLOWED
delta_forecast_cloud_cover_pct,35,0.1801539944,0.2135612506,FORWARD_CANDIDATE,NOT_ALLOWED
delta_forecast_shortwave_radiation_wm2,35,0.1853864447,0.0219903355,FORWARD_CANDIDATE,NOT_ALLOWED
delta_ptsc_track_c,34,-0.2465672928,-0.2631217060,DIAGNOSTIC_ONLY,NOT_ALLOWED
