metric,value,status
queue_policy_phase6a_compatible,1,PASS
2024_exact_cutoff_confirmed,1,PASS
wait_scenario_count_equal_4,1,PASS
all_wait_scenarios_marked_assumptions,1,PASS
no_wait_scenario_marked_historically_observed,1,PASS
median_run_duration_positive,1,PASS
q95_run_duration_ge_median,1,PASS
cutoff_grid_rows_match_expected,1,PASS
latest_withdraw_rows_match_expected,1,PASS
all_infeasible_rows_have_failure_state,1,PASS
all_feasible_rows_have_no_failure_state,1,PASS
all_policy_hashes_present,1,PASS
median_run_duration_seconds,155.77885,INFO
q95_run_duration_seconds,158.1034,INFO
wait_scenarios_minutes,"5,15,30,45",INFO
time_remaining_grid_minutes,"5,10,15,20,30,45,60,90,120",INFO
cutoff_grid_rows,144,INFO
latest_withdraw_rows,16,INFO
policy_hash,683a5d2e8477187f1d4c453eeb4e6c4859e87100725ed7459bf30a9c758e6efb,INFO
