csv_row,attempt_id,official_result_row,v2_car_number,canonical_car_number,official_raw_car_number,canonical_driver,v2_driver,official_pdf_driver,canonical_speed_mph,v2_official_speed_mph,speed_matches,driver_identity_verified,official_literal_matches_canonical,classification
32,b1fff6ff-974e-5d54-b847-db825d74fd15,31,30,30,30,Christian Lundgaard,"Lundgaard, Christian","Lundgaard, Christian",227.053,227.053,True,True,True,NO_LITERAL_REPAIR_REQUIRED
33,488dda2c-a88d-5f03-95ca-3decb53cd2c9,32,45,45,45,Jack Harvey,"Harvey, Jack","Harvey, Jack",226.851,226.851,True,True,True,NO_LITERAL_REPAIR_REQUIRED
34,3f221659-74ff-5901-97dc-08071a734690,33,51,51,51,Takuma Sato,"Sato, Takuma","Sato, Takuma",232.196,232.196,True,True,True,NO_LITERAL_REPAIR_REQUIRED
35,d2ae8749-6312-5afd-b193-dd23dc071124,34,3,3,3,Scott McLaughlin,"McLaughlin, Scott","McLaughlin, Scott",231.543,231.543,True,True,True,NO_LITERAL_REPAIR_REQUIRED
36,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,35,27,27,27,Alexander Rossi,"Rossi, Alexander","Rossi, Alexander",231.341,231.341,True,True,True,NO_LITERAL_REPAIR_REQUIRED
37,619575d3-e7eb-5cce-886f-0a8485b98eba,36,18,18,18,David Malukas,"Malukas, David","Malukas, David",231.233,231.233,True,True,True,NO_LITERAL_REPAIR_REQUIRED
38,3cd6d98a-da75-5822-8dae-05e83ad8457c,37,77,77,77,Callum Ilott,"Ilott, Callum","Ilott, Callum",230.212,230.212,True,True,True,NO_LITERAL_REPAIR_REQUIRED
39,8e0c8731-4ddc-515a-949e-7902dd01eaeb,38,24,24,24,Sage Karam,"Karam, Sage","Karam, Sage",229.905,229.905,True,True,True,NO_LITERAL_REPAIR_REQUIRED
40,c044edbc-0f6c-5aab-bdef-9c4156b50617,39,98,98,98,Marco Andretti,"Andretti, Marco","Andretti, Marco",226.108,226.108,True,True,True,NO_LITERAL_REPAIR_REQUIRED
41,01896a4f-c482-5093-a806-89bc4273641d,40,6,06,06,Helio Castroneves,"Castroneves, Helio","Castroneves, Helio",225.482,225.482,True,True,True,LITERAL_CAR_NUMBER_REPAIRED
42,88fe3936-d77d-5a12-bdd7-0104979729da,41,26,26,26,Colton Herta,"Herta, Colton","Herta, Colton",,,True,True,True,NO_LITERAL_REPAIR_REQUIRED
43,a395f440-40c9-5b57-82bb-b5353a862b0f,42,2,2,2,Josef Newgarden,"Newgarden, Josef","Newgarden, Josef",,,True,True,True,NO_LITERAL_REPAIR_REQUIRED
44,f2811627-1280-5eea-845c-6057e526aaea,43,25,25,25,Stefan Wilson,"Wilson, Stefan","Wilson, Stefan",,,True,True,True,NO_LITERAL_REPAIR_REQUIRED
45,4778bf12-3fb5-5321-b4ae-9dc2f0880c25,44,24,24,24,Sage Karam,"Karam, Sage","Karam, Sage",,,True,True,True,NO_LITERAL_REPAIR_REQUIRED
