model_name,feature_name,pooled_corr_feature_vs_residual,abs_pooled_corr_feature_vs_residual,within_year_corr_feature_vs_residual,abs_within_year_corr_feature_vs_residual,pooled_corr_feature_vs_actual_target,within_year_corr_feature_vs_actual_target,diagnostic_policy_hash
MEAN_BASELINE,forecast_temp_c,0.7189804160600511,0.7189804160600511,0.2087460399762389,0.2087460399762389,-0.6125223956152573,-0.2087460399762389,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,forecast_relative_humidity_pct,-0.03291511416721752,0.03291511416721752,-0.19505759602346823,0.19505759602346823,0.053777955170585263,0.1950575960234683,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,forecast_wind_speed_10m_ms,-0.6280454305284449,0.6280454305284449,0.009373083015259654,0.009373083015259654,0.5226682273932136,-0.00937308301525964,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,forecast_wind_direction_sin,0.24101636794938774,0.24101636794938774,0.119371242686392,0.119371242686392,-0.214694168542542,-0.11937124268639203,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,forecast_wind_direction_cos,-0.24006884586001753,0.24006884586001753,0.061030049446405436,0.061030049446405436,0.1934452039478767,-0.06103004944640543,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,forecast_pressure_hpa,-0.06899723314577365,0.06899723314577365,-0.1305500942690671,0.1305500942690671,0.06210044516128595,0.13055009426906708,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,forecast_cloud_cover_pct,0.0939325550416037,0.0939325550416037,-0.11288508883109842,0.11288508883109842,-0.06520327631715309,0.11288508883109843,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,forecast_shortwave_radiation_wm2,-0.21381152881637858,0.21381152881637858,0.09267408793794644,0.09267408793794644,0.16052336083273994,-0.09267408793794642,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,prior_supported_attempt_count,-0.1126480158303986,0.1126480158303986,0.0033495033492361498,0.0033495033492361498,0.09302444007511618,-0.0033495033492361424,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,seconds_since_prior_supported_attempt,-0.03181179428611274,0.03181179428611274,0.03192886402422576,0.03192886402422576,0.019478149441960774,-0.03192886402422572,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
