script_path,risk_pattern,severity,line_number,context,explanation,referenced_csv_or_output_paths,action
weather/scripts/adjudicate_2022_castroneves_first_run_action_v1.py,INT_FLOAT_NORMALIZATION,HIGH,91,"ws(rows)   def txt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         retu",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_castroneves_first_run_action_v1.csv|chronology_rescue_2022_castroneves_first_run_action_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|unified_attempt_action_lane_ledger_v1.csv|unified_attempt_action_lane_ledger_v2.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_castroneves_first_run_action_v1.py,LEADING_ZERO_STRIP,HIGH,96,"txt(v)      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(             float(txt(a))             -             float(txt(b))         ) <",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_castroneves_first_run_action_v1.csv|chronology_rescue_2022_castroneves_first_run_action_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|unified_attempt_action_lane_ledger_v1.csv|unified_attempt_action_lane_ledger_v2.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_castroneves_first_run_action_v1.py,INT_DIRECT,MEDIUM,91,"ws(rows)   def txt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003)",Direct integer conversion requires context review.,chronology_rescue_2022_castroneves_first_run_action_v1.csv|chronology_rescue_2022_castroneves_first_run_action_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|unified_attempt_action_lane_ledger_v1.csv|unified_attempt_action_lane_ledger_v2.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/adjudicate_2022_karam_two_event_chronology_v1.py,INT_FLOAT_NORMALIZATION,HIGH,86,"riter.writerows(rows)   def txt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      try:         return str(int(float(value)))     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(             fl",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_karam_attempt_identity_audit_v1.csv|chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv|chronology_rescue_2022_karam_two_event_adjudication_v1.csv|chronology_rescue_2022_karam_two_event_adjudication_v1_qa.csv|chronology_rescue_2022_karam_two_event_ordering_edges_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_karam_two_event_chronology_v1.py,LEADING_ZERO_STRIP,HIGH,88,"e else str(v).strip()   def norm_car(v):     value = txt(v)      try:         return str(int(float(value)))     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(             float(txt(a)) - float(txt(b))         ) <= tol     except Excepti",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_karam_attempt_identity_audit_v1.csv|chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv|chronology_rescue_2022_karam_two_event_adjudication_v1.csv|chronology_rescue_2022_karam_two_event_adjudication_v1_qa.csv|chronology_rescue_2022_karam_two_event_ordering_edges_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_karam_two_event_chronology_v1.py,INT_DIRECT,MEDIUM,86,"riter.writerows(rows)   def txt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      try:         return str(int(float(value)))     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(",Direct integer conversion requires context review.,chronology_rescue_2022_karam_attempt_identity_audit_v1.csv|chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv|chronology_rescue_2022_karam_two_event_adjudication_v1.csv|chronology_rescue_2022_karam_two_event_adjudication_v1_qa.csv|chronology_rescue_2022_karam_two_event_ordering_edges_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/adjudicate_2022_secondary_chronology_evidence_v1.py,INT_FLOAT_NORMALIZATION,HIGH,95,"xt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(int(float(t)))     except Exception:         return t.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.002):     try:         return abs(             float(txt(",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_action_lane_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1_qa.csv|chronology_rescue_2022_secondary_editorial_candidates_v1.csv|chronology_rescue_2022_secondary_ordering_edges_v1.csv|chronology_rescue_2022_secondary_rejected_candidates_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_secondary_chronology_evidence_v1.py,LEADING_ZERO_STRIP,HIGH,97,"def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(int(float(t)))     except Exception:         return t.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.002):     try:         return abs(             float(txt(a))             -             float(txt(b))         ) <",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_action_lane_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1_qa.csv|chronology_rescue_2022_secondary_editorial_candidates_v1.csv|chronology_rescue_2022_secondary_ordering_edges_v1.csv|chronology_rescue_2022_secondary_rejected_candidates_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_secondary_chronology_evidence_v1.py,INT_DIRECT,MEDIUM,95,"xt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(int(float(t)))     except Exception:         return t.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.002):     try:         return abs(             floa",Direct integer conversion requires context review.,chronology_rescue_2022_action_lane_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1_qa.csv|chronology_rescue_2022_secondary_editorial_candidates_v1.csv|chronology_rescue_2022_secondary_ordering_edges_v1.csv|chronology_rescue_2022_secondary_rejected_candidates_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/adjudicate_2022_weather_interruption_windows_v1.py,INT_FLOAT_NORMALIZATION,HIGH,123,"turn """" if v is None else str(v).strip()   def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(             int(float(t))         )     except Exception:         return (             t.lstrip(""0"")             or ""0""         )   def stable_id(*parts):     payload = ""|""",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_adjudicated_evidence_v3.csv|chronology_rescue_2022_adjudicated_evidence_v4.csv|chronology_rescue_2022_weather_event_edges_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1_qa.csv|official_day1_results_attempt_rows_v1.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_weather_interruption_windows_v1.py,LEADING_ZERO_STRIP,HIGH,127,"if not t:         return """"      try:         return str(             int(float(t))         )     except Exception:         return (             t.lstrip(""0"")             or ""0""         )   def stable_id(*parts):     payload = ""|"".join(         txt(x)         for x in parts     )      digest = hashlib.sha25",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_adjudicated_evidence_v3.csv|chronology_rescue_2022_adjudicated_evidence_v4.csv|chronology_rescue_2022_weather_event_edges_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1_qa.csv|official_day1_results_attempt_rows_v1.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/adjudicate_2022_weather_interruption_windows_v1.py,INT_DIRECT,MEDIUM,123,"turn """" if v is None else str(v).strip()   def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(             int(float(t))         )     except Exception:         return (             t.lstrip(""0"")             or ""0""         )   def stable_id(*parts):     payload",Direct integer conversion requires context review.,chronology_rescue_2022_adjudicated_evidence_v3.csv|chronology_rescue_2022_adjudicated_evidence_v4.csv|chronology_rescue_2022_weather_event_edges_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1_qa.csv|official_day1_results_attempt_rows_v1.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/align_performance_grade_timing_to_ptsc.py,ASTYPE_INT,HIGH,296,"aise RuntimeError(             ""Could not infer year for some timing rows.""         )      timing[         ""year""     ] = timing[         ""year""     ].astype(int)      ptsc[""_utc""] = parse_utc(         ptsc[""utc_datetime""]     )      if ptsc[""_utc""].isna().any():         raise RuntimeError(             ""Unparse",Integer casting may destroy significant leading zeros.,indy500_day1_track_temp_2020_2024_time_normalized.csv|performance_grade_attempt_realized_environment.csv|performance_grade_attempt_realized_environment_qa.csv|weather/output/|weather/output/performance_grade_attempt_timing.csv,REVIEW_BEFORE_REUSE
