top_k,top_k_abs_error_share_pct,top_k_squared_error_share_pct,remaining_rows,remaining_zero_mae_mph,remaining_zero_rmse_mph,diagnostic_policy_hash
1,21.350613915415977,47.50461306919103,38,0.4551315789473711,0.8006385116366742,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
2,37.09413369713482,73.33427481854055,37,0.3738648648648679,0.5782871492840113,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
3,46.057298772168906,81.70644100445789,36,0.329500000000003,0.48558532835240403,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
4,52.80582082764869,86.45249192801788,35,0.29651428571428856,0.4238023798220785,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
5,59.25875397908105,90.79188891169917,34,0.26350000000000345,0.3544977806285815,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
10,76.10732150977681,96.84799717735459,29,0.18117241379310706,0.22457530800495137,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
