year,canonical_attempts,performance_grade_environment_rows,chronology_derived_environment_rows,cross_layer_overlap_attempts,combined_unique_environment_attempts,combined_unique_coverage_pct,realized_environment_status,note
2020,63,46,0,0,46,73.01587301587301,READY_WITH_SUPPORTED_SUBSET,Performance-grade recorder-capture timing aligned to PTSC within supported subset.
2021,60,53,0,0,53,88.33333333333333,READY_WITH_SUPPORTED_SUBSET,Performance-grade recorder-capture timing aligned to PTSC within supported subset.
2022,44,0,0,0,0,0.0,UNAVAILABLE_NO_TRUSTWORTHY_ATTEMPT_TIME_BRIDGE,"PTSC observations available, but no trustworthy attempt absolute-time bridge; realized attempt-level environment not joined."
2023,85,28,0,0,28,32.94117647058823,READY_WITH_SUPPORTED_SUBSET,Performance-grade recorder-capture timing aligned to PTSC within supported subset.
2024,77,7,4,1,10,12.987012987012985,READY_WITH_SUPPORTED_SUBSET,Performance-grade supported subset plus separate chronology-derived constrained environment; overlap audited by attempt_id.
