record_type,official_result_row,attempt_id,field_name,field_value,notes
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,attempt_key,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_6|1|1,Current contaminated V2 match row.
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,car_attempt_index,1,Current contaminated V2 match row.
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,canonical_speed_mph,228.622,Current contaminated V2 match row.
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,canonical_result_status,VALID_RETAINED,Current contaminated V2 match row.
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,match_score,30,Current contaminated V2 match row.
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,match_reasons,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",Current contaminated V2 match row.
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,match_status,UNIQUE_MATCH,Current contaminated V2 match row.
MATCH_V2_FIELD,30,bb599e9f-cbdc-5c79-9791-ce325ef01086,canonical_promoted,False,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,year,2022,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,official_result_row,40,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,car_number,6,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,driver_name,"Castroneves, Helio",Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,official_speed_mph,225.482,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,official_status,Withdrawn,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,attempt_id,01896a4f-c482-5093-a806-89bc4273641d,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,attempt_key,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_06|1|1,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,car_attempt_index,1,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,canonical_speed_mph,225.482,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,canonical_result_status,VALID_RETAINED,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,match_score,27,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,match_reasons,"[""CAR_MATCH"", ""SPEED_MATCH"", ""STATUS_DIFFER""]",Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,match_status,UNIQUE_MATCH,Current contaminated V2 match row.
MATCH_V2_FIELD,40,01896a4f-c482-5093-a806-89bc4273641d,canonical_promoted,False,Current contaminated V2 match row.
