year,official_result_row,car_number,driver_name,official_speed_mph,official_status,attempt_id,attempt_key,car_attempt_index,canonical_speed_mph,canonical_result_status,match_score,match_reasons,match_status,canonical_promoted
2022,1,21,"VeeKay, Rinus",233.655,,cef4544c-d721-54eb-bf70-ce8535756a5e,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_21|1|1,1,233.655,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,2,5,"O'Ward, Pato",233.037,,e2318f1b-020c-5e41-abb3-2159a17b3a27,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_5|1|1,1,233.037,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,3,7,"Rosenqvist, Felix",232.775,,8c6dd650-69c2-52af-8840-a92c88cb517e,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_7|1|1,1,232.775,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,4,10,"Palou, Alex",232.774,,e10faf3a-59f8-5528-9a9b-1ea63c1322c9,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_10|1|1,1,232.774,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,5,1,"Kanaan, Tony",232.625,,a21e6e46-405e-5d8b-933f-63c35adeec21,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_1|1|1,1,232.625,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,6,48,"Johnson, Jimmie",232.398,,98dc390f-b38c-5384-b51e-9f479c8859a6,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_48|1|1,1,232.398,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,7,33,"Carpenter, Ed",232.397,,db54aa3f-0c36-5472-94f1-5c4555dd1a53,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_33|1|1,1,232.397,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,8,8,"Ericsson, Marcus",232.275,,6bdde501-b1fc-5382-8f09-3918fb5aa07e,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_8|1|1,1,232.275,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,9,28,"Grosjean, Romain",232.201,,a49549a1-2253-5bd5-9923-b0b7fdbb20d7,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_28|1|1,1,232.201,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,10,9,"Dixon, Scott",232.151,,ed8e8f45-6cb1-51cb-a3a7-3aa60a373517,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_9|1|1,1,232.151,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,11,12,"Power, Will",231.842,,e614cc7e-1b9a-5642-8a8c-06eb73a962a5,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_12|1|1,1,231.842,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,12,51,"Sato, Takuma",231.708,,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_51|1|2,2,231.708,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,13,18,"Malukas, David",231.607,,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_18|1|2,2,231.607,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,14,2,"Newgarden, Josef",231.580,,83034975-303c-57b1-9190-95bc705d3941,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_2|1|1,1,231.58,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,15,23,"Ferrucci, Santino",231.508,,50c1a7df-b227-5216-ba4d-c391ee794a68,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_23|1|1,1,231.508,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,16,60,"Pagenaud, Simon",231.275,,782b5ff7-fb2c-5c01-9209-dfd3f4cb289b,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_60|1|1,1,231.275,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,17,11,"Hildebrand, JR",231.112,,0ac03a4b-263a-56b8-bf3f-4996c2968118,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_11|1|1,1,231.112,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,18,20,"Daly, Conor",230.999,,f63416c8-d69c-5ec9-b8bc-1a26aae11c44,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_20|1|1,1,230.999,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,19,77,"Ilott, Callum",230.961,,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_77|1|2,2,230.961,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,20,27,"Rossi, Alexander",230.812,,b3147013-0fda-5982-bea1-85788019ef89,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_27|1|2,2,230.812,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,21,15,"Rahal, Graham",230.766,,49123354-e908-58a8-a865-3e57e6184f5c,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_15|1|1,1,230.766,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,22,24,"Karam, Sage",230.464,,2c453335-3a19-5653-8d5c-79d94db93028,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_24|1|2,2,230.464,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,23,98,"Andretti, Marco",230.345,,63982b5e-7639-5140-a6a2-702a77c2fc85,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_98|1|2,2,230.345,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,24,29,"DeFrancesco, Devlin",230.326,,c8097625-d9cf-5926-bba2-649d12e5c0e0,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_29|1|1,1,230.326,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,25,26,"Herta, Colton",230.235,,784d352d-2b04-566e-8aef-19317c10d0fa,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_26|1|1,1,230.235,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,26,3,"McLaughlin, Scott",230.154,,43d9c081-67f5-5d6f-8b48-9db0ac683a6c,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_3|1|2,2,230.154,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,27,6,"Castroneves, Helio",229.630,,90eea27e-6e83-5e24-8428-811eae3ff157,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_06|1|2,2,229.63,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,28,14,"Kirkwood, Kyle",229.406,,ee83729a-9032-52de-886d-f56814a402d2,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_14|1|1,1,229.406,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
2022,29,4,"Kellett, Dalton",228.916,,ce3385d5-652c-5485-8ae9-aa95231574ad,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_4|1|1,1,228.916,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False
