match_version,match_file,attempt_id,canonical_car_number,canonical_driver,canonical_speed_mph,match_car_number,match_driver,match_speed_mph,match_status,official_result_row,raw_official_car_number,raw_official_driver,raw_official_speed_mph,raw_official_status,driver_matches_canonical,speed_matches_canonical,raw_driver_matches_canonical,raw_speed_matches_canonical,raw_matches_other_attempt_id,classification
V1,weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,90eea27e-6e83-5e24-8428-811eae3ff157,06,Helio Castroneves,229.63,6,"Castroneves, Helio",229.630,,27,06,,,,False,True,False,False,,AMBIGUOUS
V1,weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,bb599e9f-cbdc-5c79-9791-ce325ef01086,6,Juan Pablo Montoya,228.622,6,"Montoya, Juan Pablo",228.622,,30,6,,,,False,True,False,False,,AMBIGUOUS
V1,weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,01896a4f-c482-5093-a806-89bc4273641d,06,Helio Castroneves,225.482,6,"Castroneves, Helio",225.482,Withdrawn,40,06,,,Withdrawn,False,True,False,False,,AMBIGUOUS
V2,weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,90eea27e-6e83-5e24-8428-811eae3ff157,06,Helio Castroneves,229.63,6,"Castroneves, Helio",229.630,,27,06,,,,False,True,False,False,,AMBIGUOUS
V2,weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,bb599e9f-cbdc-5c79-9791-ce325ef01086,6,Juan Pablo Montoya,228.622,6,"Montoya, Juan Pablo",228.622,,30,6,,,,False,True,False,False,,AMBIGUOUS
V2,weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,01896a4f-c482-5093-a806-89bc4273641d,06,Helio Castroneves,225.482,6,"Castroneves, Helio",225.482,Withdrawn,40,06,,,Withdrawn,False,True,False,False,,AMBIGUOUS
