model_name,prediction_rows,pooled_mae_mph,pooled_rmse_mph,pooled_r2,pooled_mean_error_pred_minus_actual_mph,pooled_gain_loss_sign_accuracy,mean_fold_mae_mph,worst_fold_mae_mph,best_fold_mae_mph,mae_improvement_vs_zero_mph,mae_relative_improvement_vs_zero_pct,mae_rank,model_policy_hash
ZERO_DELTA_BASELINE,39,0.5638461538461562,1.0907755650606275,-0.13297772082330894,-0.3736923076923102,0.3076923076923077,0.5502070707070733,0.6595000000000013,0.4554545454545472,0.0,0.0,1,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
TRAIN_MEAN_DELTA,39,0.6034127013619771,1.0307830506497815,-0.011777707249127634,0.011801728866946255,0.6923076923076923,0.5767793050123973,0.8002065217391297,0.4317857142857132,-0.03956654751582089,-7.017259450281984,2,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
ELASTIC_NET,39,1.3768028001185406,1.8148885433653008,-2.1365375198017365,-0.8152597506193848,0.5128205128205128,1.307191481817861,1.8861129958828726,0.9080361243514065,-0.8129566462723844,-144.18057846577017,3,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
HUBER,39,1.5550208076835588,2.28914056694076,-3.9899419381486085,-1.2911259893049702,0.48717948717948717,1.3982930239477493,2.701137314774927,0.4972866215599019,-0.9911746538374026,-175.7881377883517,4,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
RIDGE,39,1.6888568525973828,2.134109536842674,-3.336945672236033,-0.9526396944216184,0.5128205128205128,1.6342073054907198,2.063135284037526,1.2185868825180988,-1.1250106987512267,-199.52440769121262,5,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
