year,candidate_type,priority_score,anchor_text,requested_url,ok,status_code,final_url,content_type,bytes,sha256,local_path,error
2020,PDF,12,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,True,200,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/2026-indycar-rulebook.pdf?sfvrsn=56785b60_57,application/pdf,5911024,7d0e61f8020d763b6dd76fd572fa585bc81064cac275bd67737797c3b67ead10,weather/evidence/rescue/official_reports/2020_001_2026-indycar-rulebook.pdf,
2020,PDF,12,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,True,200,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,application/pdf,343987,82d149c29caac0714b0f64a6424efff69e48a60dd034ff9586f694ffdeb6626a,weather/evidence/rescue/official_reports/2020_002_Current-Schedule.pdf,
2021,PDF,12,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,True,200,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/2026-indycar-rulebook.pdf?sfvrsn=56785b60_57,application/pdf,5911024,7d0e61f8020d763b6dd76fd572fa585bc81064cac275bd67737797c3b67ead10,weather/evidence/rescue/official_reports/2021_003_2026-indycar-rulebook.pdf,
2021,PDF,12,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,True,200,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,application/pdf,343987,82d149c29caac0714b0f64a6424efff69e48a60dd034ff9586f694ffdeb6626a,weather/evidence/rescue/official_reports/2021_004_Current-Schedule.pdf,
2022,PDF,12,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,True,200,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/2026-indycar-rulebook.pdf?sfvrsn=56785b60_57,application/pdf,5911024,7d0e61f8020d763b6dd76fd572fa585bc81064cac275bd67737797c3b67ead10,weather/evidence/rescue/official_reports/2022_005_2026-indycar-rulebook.pdf,
2022,PDF,12,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,True,200,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,application/pdf,343987,82d149c29caac0714b0f64a6424efff69e48a60dd034ff9586f694ffdeb6626a,weather/evidence/rescue/official_reports/2022_006_Current-Schedule.pdf,
2023,PDF,12,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,True,200,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/2026-indycar-rulebook.pdf?sfvrsn=56785b60_57,application/pdf,5911024,7d0e61f8020d763b6dd76fd572fa585bc81064cac275bd67737797c3b67ead10,weather/evidence/rescue/official_reports/2023_007_2026-indycar-rulebook.pdf,
2023,PDF,12,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,True,200,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,application/pdf,343987,82d149c29caac0714b0f64a6424efff69e48a60dd034ff9586f694ffdeb6626a,weather/evidence/rescue/official_reports/2023_008_Current-Schedule.pdf,
2024,PDF,12,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,True,200,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/2026-indycar-rulebook.pdf?sfvrsn=56785b60_57,application/pdf,5911024,7d0e61f8020d763b6dd76fd572fa585bc81064cac275bd67737797c3b67ead10,weather/evidence/rescue/official_reports/2024_009_2026-indycar-rulebook.pdf,
2024,PDF,12,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,True,200,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,application/pdf,343987,82d149c29caac0714b0f64a6424efff69e48a60dd034ff9586f694ffdeb6626a,weather/evidence/rescue/official_reports/2024_010_Current-Schedule.pdf,
