candidate_id,source_id,source_name,source_class,source_url,sentence_index,driver_name,detected_actions,candidate_score,candidate_priority,candidate_sentence,promotion_status,chronology_promoted,lane_promoted,queue_wait_inferred,canonical_mutated,notes
R1G18-C0024,NBC_2022_DAY1,NBC Sports,REPUTABLE_SECONDARY_EDITORIAL,https://www.nbcsports.com/motor-sports/news/indy-500-qualifying-opening-day-rinus-veekay-pato-oward-jimmie-johnson-chip-ganassi-racing-team-penske-andretti-autosport,41,Josef Newgarden,WEATHER_STOP,4,LOW,"After withdrawing the speeds of Josef Newgarden (14 th ) and Scott McLaughlin (15 th ) in an attempt to make the Fast 12, qualifying was delayed for 90 minutes by lightning and rain.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0027,NBC_2022_DAY1,NBC Sports,REPUTABLE_SECONDARY_EDITORIAL,https://www.nbcsports.com/motor-sports/news/indy-500-qualifying-opening-day-rinus-veekay-pato-oward-jimmie-johnson-chip-ganassi-racing-team-penske-andretti-autosport,49,Josef Newgarden,WEATHER_STOP,4,LOW,"#thirsty3s #indy500 pic.twitter.com/6a7l3W1GPU — Scott McLaughlin (@smclaughlin93) May 21, 2022 Newgarden was on pace for a similar drop but the two-time series champion caught a major break when qualifying was paused on his second lap for another rain delay.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0017,THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,23,Josef Newgarden,WEATHER_STOP,4,LOW,"— Scott McLaughlin (@smclaughlin93) May 21, 2022 It then came close enough to register a weather warning which brought out the caution just before Newgarden started his flying lap, likely saving his 14th place as IndyCar is able to give him that lap back as he didn’t complete a new lap after pulling his time.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0025,NBC_2022_DAY1,NBC Sports,REPUTABLE_SECONDARY_EDITORIAL,https://www.nbcsports.com/motor-sports/news/indy-500-qualifying-opening-day-rinus-veekay-pato-oward-jimmie-johnson-chip-ganassi-racing-team-penske-andretti-autosport,41,Scott McLaughlin,WEATHER_STOP,4,LOW,"After withdrawing the speeds of Josef Newgarden (14 th ) and Scott McLaughlin (15 th ) in an attempt to make the Fast 12, qualifying was delayed for 90 minutes by lightning and rain.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0026,NBC_2022_DAY1,NBC Sports,REPUTABLE_SECONDARY_EDITORIAL,https://www.nbcsports.com/motor-sports/news/indy-500-qualifying-opening-day-rinus-veekay-pato-oward-jimmie-johnson-chip-ganassi-racing-team-penske-andretti-autosport,42,Scott McLaughlin,FAILED_TO_IMPROVE,4,LOW,"Despite the track being cooler, McLaughlin went much slower (230.154 after a 231.543 earlier) dropped 11 spots to 26 th in the starting lineup.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0028,NBC_2022_DAY1,NBC Sports,REPUTABLE_SECONDARY_EDITORIAL,https://www.nbcsports.com/motor-sports/news/indy-500-qualifying-opening-day-rinus-veekay-pato-oward-jimmie-johnson-chip-ganassi-racing-team-penske-andretti-autosport,49,Scott McLaughlin,WEATHER_STOP,4,LOW,"#thirsty3s #indy500 pic.twitter.com/6a7l3W1GPU — Scott McLaughlin (@smclaughlin93) May 21, 2022 Newgarden was on pace for a similar drop but the two-time series champion caught a major break when qualifying was paused on his second lap for another rain delay.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0018,THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,23,Scott McLaughlin,WEATHER_STOP,4,LOW,"— Scott McLaughlin (@smclaughlin93) May 21, 2022 It then came close enough to register a weather warning which brought out the caution just before Newgarden started his flying lap, likely saving his 14th place as IndyCar is able to give him that lap back as he didn’t complete a new lap after pulling his time.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0001,THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,4,Colton Herta,ENGINE_CHANGE,3,LOW,"Immediately drama struck as Arrow McLaren SP’s Juan Pablo Montoya lost a favourable ninth-place qualifying draw by failing tech inspection for a broken diffuser strake, Colton Herta had to go back to the garage to change and a Honda engine on his Andretti car and Stefan Wilson had the same issue for Cusick Motorsport.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0021,THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,29,Colton Herta,ENGINE_CHANGE,3,LOW,"Marco Andretti in 23rd headed rookie Devlin DeFrancesco and Herta, the latter managed to get a late run in after his team changed his engine.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0002,THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,4,Marco Andretti,ENGINE_CHANGE,3,LOW,"Immediately drama struck as Arrow McLaren SP’s Juan Pablo Montoya lost a favourable ninth-place qualifying draw by failing tech inspection for a broken diffuser strake, Colton Herta had to go back to the garage to change and a Honda engine on his Andretti car and Stefan Wilson had the same issue for Cusick Motorsport.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0022,THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,29,Marco Andretti,ENGINE_CHANGE,3,LOW,"Marco Andretti in 23rd headed rookie Devlin DeFrancesco and Herta, the latter managed to get a late run in after his team changed his engine.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
R1G18-C0003,THE_RACE_2022_DAY1,The Race,REPUTABLE_SECONDARY_EDITORIAL,https://www.the-race.com/indycar/everything-that-happened-in-tense-first-indy-500-qualifying/,4,Stefan Wilson,ENGINE_CHANGE,3,LOW,"Immediately drama struck as Arrow McLaren SP’s Juan Pablo Montoya lost a favourable ninth-place qualifying draw by failing tech inspection for a broken diffuser strake, Colton Herta had to go back to the garage to change and a Honda engine on his Andretti car and Stefan Wilson had the same issue for Cusick Motorsport.",REVIEW_REQUIRED,False,False,False,False,Secondary editorial discovery candidate only.
