holdout_year,baseline_group,required_gain_mph,train_total_rows,train_normal_rows,train_recovery_rows,recovery_posterior_mean,normal_branch_target_rate,recovery_branch_target_rate,loyo_p_target_given_completed,full_data_p_target_given_completed,absolute_difference,signed_difference,relative_difference_pct,policy_hash
2020,LOW_BASELINE,0.1,28,26,2,0.2,0.46153846153846156,1.0,0.5692307692307692,0.5928571428571429,0.023626373626373653,-0.023626373626373653,-3.985171455050978,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2020,LOW_BASELINE,0.25,28,26,2,0.2,0.2692307692307692,1.0,0.4153846153846154,0.4642857142857143,0.048901098901098894,-0.048901098901098894,-10.532544378698223,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2020,LOW_BASELINE,0.5,28,26,2,0.2,0.15384615384615385,1.0,0.3230769230769231,0.33571428571428574,0.012637362637362648,-0.012637362637362648,-3.7643207855973837,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2020,LOW_BASELINE,1.0,28,26,2,0.2,0.0,1.0,0.2,0.25,0.04999999999999999,-0.04999999999999999,-19.999999999999996,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2020,AT_OR_ABOVE_BASELINE_MEDIAN,0.1,28,26,2,0.058823529411764705,0.46153846153846156,1.0,0.49321266968325794,0.4807453416149068,0.012467328068351158,0.012467328068351158,2.5933330994890653,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2020,AT_OR_ABOVE_BASELINE_MEDIAN,0.25,28,26,2,0.058823529411764705,0.2692307692307692,1.0,0.31221719457013575,0.31677018633540377,0.004552991765268022,-0.004552991765268022,-1.4373170082512774,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2020,AT_OR_ABOVE_BASELINE_MEDIAN,0.5,28,26,2,0.058823529411764705,0.15384615384615385,1.0,0.20361990950226244,0.15279503105590062,0.050824878446361826,0.050824878446361826,33.26343670676526,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2020,AT_OR_ABOVE_BASELINE_MEDIAN,1.0,28,26,2,0.058823529411764705,0.0,1.0,0.058823529411764705,0.043478260869565216,0.015345268542199489,0.015345268542199489,35.294117647058826,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,LOW_BASELINE,0.1,23,20,3,0.3333333333333333,0.5,1.0,0.6666666666666667,0.5928571428571429,0.07380952380952388,0.07380952380952388,12.449799196787161,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,LOW_BASELINE,0.25,23,20,3,0.3333333333333333,0.35,1.0,0.5666666666666667,0.4642857142857143,0.10238095238095235,0.10238095238095235,22.051282051282044,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,LOW_BASELINE,0.5,23,20,3,0.3333333333333333,0.05,1.0,0.36666666666666664,0.33571428571428574,0.030952380952380898,0.030952380952380898,9.219858156028351,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,LOW_BASELINE,1.0,23,20,3,0.3333333333333333,0.0,1.0,0.3333333333333333,0.25,0.08333333333333331,0.08333333333333331,33.33333333333333,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,AT_OR_ABOVE_BASELINE_MEDIAN,0.1,23,20,3,0.06666666666666667,0.5,1.0,0.5333333333333333,0.4807453416149068,0.05258799171842654,0.05258799171842654,10.938845822566762,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,AT_OR_ABOVE_BASELINE_MEDIAN,0.25,23,20,3,0.06666666666666667,0.35,1.0,0.3933333333333333,0.31677018633540377,0.07656314699792954,0.07656314699792954,24.169934640522854,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,AT_OR_ABOVE_BASELINE_MEDIAN,0.5,23,20,3,0.06666666666666667,0.05,1.0,0.11333333333333334,0.15279503105590062,0.039461697722567274,-0.039461697722567274,-25.82655826558265,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2021,AT_OR_ABOVE_BASELINE_MEDIAN,1.0,23,20,3,0.06666666666666667,0.0,1.0,0.06666666666666667,0.043478260869565216,0.02318840579710145,0.02318840579710145,53.333333333333336,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,LOW_BASELINE,0.1,27,24,3,0.26666666666666666,0.4166666666666667,1.0,0.5722222222222222,0.5928571428571429,0.020634920634920673,-0.020634920634920673,-3.480589022757704,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,LOW_BASELINE,0.25,27,24,3,0.26666666666666666,0.25,1.0,0.45,0.4642857142857143,0.01428571428571429,-0.01428571428571429,-3.076923076923078,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,LOW_BASELINE,0.5,27,24,3,0.26666666666666666,0.125,1.0,0.35833333333333334,0.33571428571428574,0.022619047619047594,0.022619047619047594,6.737588652482261,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,LOW_BASELINE,1.0,27,24,3,0.26666666666666666,0.0,1.0,0.26666666666666666,0.25,0.016666666666666663,0.016666666666666663,6.666666666666665,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,AT_OR_ABOVE_BASELINE_MEDIAN,0.1,27,24,3,0.0625,0.4166666666666667,1.0,0.453125,0.4807453416149068,0.027620341614906785,-0.027620341614906785,-5.745316537467691,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,AT_OR_ABOVE_BASELINE_MEDIAN,0.25,27,24,3,0.0625,0.25,1.0,0.296875,0.31677018633540377,0.01989518633540377,-0.01989518633540377,-6.280637254901973,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,AT_OR_ABOVE_BASELINE_MEDIAN,0.5,27,24,3,0.0625,0.125,1.0,0.1796875,0.15279503105590062,0.026892468944099385,0.026892468944099385,17.600355691056915,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
2023,AT_OR_ABOVE_BASELINE_MEDIAN,1.0,27,24,3,0.0625,0.0,1.0,0.0625,0.043478260869565216,0.019021739130434784,0.019021739130434784,43.75000000000001,540fe455f49d9f77e8ee762467f460dc9c7134929a88d1ddad761ddd869771a1
