current_retained_speed_mph,baseline_group,time_remaining_minutes,wait_scenario_id,p_completed_rerun,p_no_completed_rerun,p_improve_unconditional,p_improve_given_completed,p_slower_given_completed,expected_delta_given_completed_mph,delta_q05_mph,delta_q50_mph,delta_q95_mph,completion_state,opportunity_profile,downside_profile,recommendation_enabled,recommendation,policy_hash
229.0,LOW_BASELINE,10.0,WAIT_05MIN,1.0,0.0,0.743,0.743,0.257,0.7839686200000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,10.0,WAIT_15MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,10.0,WAIT_30MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,10.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,20.0,WAIT_05MIN,1.0,0.0,0.74107,0.74107,0.25893,0.784659190000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,20.0,WAIT_15MIN,1.0,0.0,0.74131,0.74131,0.25869,0.781189410000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,20.0,WAIT_30MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,20.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,30.0,WAIT_05MIN,1.0,0.0,0.74299,0.74299,0.25701,0.7903391800000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,30.0,WAIT_15MIN,1.0,0.0,0.74428,0.74428,0.25572,0.7901456000000019,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,30.0,WAIT_30MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,30.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,45.0,WAIT_05MIN,1.0,0.0,0.74325,0.74325,0.25675,0.7892876100000019,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,45.0,WAIT_15MIN,1.0,0.0,0.74102,0.74102,0.25898,0.7900189300000019,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,45.0,WAIT_30MIN,1.0,0.0,0.74173,0.74173,0.25827,0.7919065900000019,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,45.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,60.0,WAIT_05MIN,1.0,0.0,0.73988,0.73988,0.26012,0.7784324700000019,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,60.0,WAIT_15MIN,1.0,0.0,0.74535,0.74535,0.25465,0.7946143200000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,60.0,WAIT_30MIN,1.0,0.0,0.74427,0.74427,0.25573,0.793513210000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,LOW_BASELINE,60.0,WAIT_45MIN,1.0,0.0,0.74321,0.74321,0.25679,0.7864352700000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,HIGHER_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,LIMITED_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_05MIN,1.0,0.0,0.67224,0.67224,0.32776,0.2108818300000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_15MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_30MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,20.0,WAIT_05MIN,1.0,0.0,0.66999,0.66999,0.33001,0.2048404500000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,20.0,WAIT_15MIN,1.0,0.0,0.67352,0.67352,0.32648,0.2074229000000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,20.0,WAIT_30MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,20.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,30.0,WAIT_05MIN,1.0,0.0,0.67215,0.67215,0.32785,0.2070100800000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,30.0,WAIT_15MIN,1.0,0.0,0.67061,0.67061,0.32939,0.2047968800000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,30.0,WAIT_30MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,30.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,45.0,WAIT_05MIN,1.0,0.0,0.67229,0.67229,0.32771,0.2051525100000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,45.0,WAIT_15MIN,1.0,0.0,0.67084,0.67084,0.32916,0.2071896600000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,45.0,WAIT_30MIN,1.0,0.0,0.67442,0.67442,0.32558,0.2113023000000028,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,45.0,WAIT_45MIN,0.0,1.0,0.0,,,,,,,CUTOFF_BLOCKED,NOT_APPLICABLE_NO_COMPLETION,CUTOFF_FAILURE_PRESENT,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,60.0,WAIT_05MIN,1.0,0.0,0.67241,0.67241,0.32759,0.2080603700000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
229.0,AT_OR_ABOVE_BASELINE_MEDIAN,60.0,WAIT_15MIN,1.0,0.0,0.67038,0.67038,0.32962,0.2042394200000027,-0.9269999999999924,0.093999999999994,0.7980000000000018,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_EMPIRICAL_IMPROVEMENT_OPPORTUNITY,MATERIAL_COMPLETED_RUN_DOWNSIDE_TAIL,False,NOT_ISSUED,4c120fe7d799401d5a1774812db5cbc65ff60b6c9498b851f1953d4d50fbc31b
