year,event_id_expected,event_name_expected,session_id,session_name_expected,event_name_returned,session_name_returned,session_type,session_date,record_count,session_report_count,raw_json_path,session_call_ok
2020,5286,104th Running of the Indianapolis 500,5771,Qualifications (Day 1),104th Running of the Indianapolis 500,Qualifications (Day 1),Q,"Saturday, August 15, 2020",59,3,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,True
2021,5365,105th Running of the Indianapolis 500,5838,Qualifications - Day 1,105th Running of the Indianapolis 500,Qualifications - Day 1,Q,"Saturday, May 22, 2021",59,3,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,True
2022,5374,106th Running of the Indianapolis 500,6033,Qualifications - Day 1,106th Running of the Indianapolis 500,Qualifications - Day 1,Q,"Saturday, May 21, 2022",44,3,weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,True
2023,5431,107th Running of the Indianapolis 500,6202,Qualifications - Day 1,107th Running of the Indianapolis 500,Qualifications - Day 1,Q,"Saturday, May 20, 2023",34,5,weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,True
2024,5465,108th Running of the Indianapolis 500,6382,Qualifications - Day 1,108th Running of the Indianapolis 500,Qualifications - Day 1,Q,"Saturday, May 18, 2024",34,3,weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,True
