year,event_id,session_id,session_name,report_index,document_type,raw_url,full_url,downloaded,status_code,content_type,bytes,sha256,local_path,raw_report_object,error
2020,5286,5771,Qualifications (Day 1),1,Results,INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""4fbad798-3ee3-49d6-b070-fd02e6503037"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf"", ""modified_date"": ""/Date(1597525417973)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2020,5286,5771,Qualifications (Day 1),2,Section Results,INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""ce0534ee-9e62-43f1-9201-ce265d36fab3"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1597525434073)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2020,5286,5771,Qualifications (Day 1),3,Top Section Times,INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""a2487467-c790-4a6e-937b-9f6b58f5f4f8"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1597525452630)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2021,5365,5838,Qualifications - Day 1,1,Results,INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""d8245705-9ee9-4ba0-92d7-a954f8cc47f1"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf"", ""modified_date"": ""/Date(1621721058220)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2021,5365,5838,Qualifications - Day 1,2,Section Results,INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""e877fdac-3953-4257-a782-52e177f76210"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1621721072553)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2021,5365,5838,Qualifications - Day 1,3,Top Section Times,INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""5c21d5b6-d685-45b4-8398-b70d69d7c465"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1621721091217)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2022,5374,6033,Qualifications - Day 1,1,Results,INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf,False,,,0,,,"{""DocumentID"": ""c1826ed2-b1c2-42d4-8d35-3b68286ed2da"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf"", ""modified_date"": ""/Date(1653169717990)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2022,5374,6033,Qualifications - Day 1,2,Section Results,INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""c243cf3d-7da1-41fb-9d4e-c6f54f2e016c"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1653168353783)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2022,5374,6033,Qualifications - Day 1,3,Top Section Times,INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""fe3a8b0b-24ab-4784-abec-3b016a962e8b"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1653168359633)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2023,5431,6202,Qualifications - Day 1,1,Overall Results,INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf,https://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf,False,,,0,,,"{""DocumentID"": ""1be5c87d-287b-41fa-b1b7-fc5852d40392"", ""DocumentType"": ""Overall Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Overall Results"", ""SortOrder"": 6, ""Url"": ""INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf"", ""modified_date"": ""/Date(1684621911940)/""}","URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
