year,event_index,event_id,event_name,session_count,is_indianapolis_500,raw_api_path
2021,1,5396,VP Racing Fuels Championship Weekend Race 2,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,2,5397,VP Racing Fuels Championship Weekend Race 1,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,3,5390,Indy Lights Grand Prix of Monterey Race 2,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,4,5391,Indy Lights Grand Prix of Monterey Race 1,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,5,5392,Indy Lights Grand Prix of Portland Race 2,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,6,5393,Indy Lights Grand Prix of Portland Race 1,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,7,5394,Cooper Tires Indy Lights Oval Challenge Race 2,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,8,5395,Cooper Tires Indy Lights Oval Challenge Race 1,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,9,5398,Cooper Tires Indy Lights Grand Prix of Mid-Ohio Race 2,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,10,5399,Cooper Tires Indy Lights Grand Prix of Mid-Ohio Race 1,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,11,5400,Cooper Tires Grand Prix of Road America Race 2,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,12,5406,Cooper Tires Grand Prix of Road America Race 1,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
2021,13,5401,Indy Lights Grand Prix of Detroit Race 2,0,False,weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json
