attempt_id,driver_name,car_number,car_attempt_index,speed_mph,canonical_status,official_status
c044edbc-0f6c-5aab-bdef-9c4156b50617,Marco Andretti,98,1,226.108,VALID_RETAINED,Retired
63982b5e-7639-5140-a6a2-702a77c2fc85,Marco Andretti,98,2,230.345,VALID_RETAINED,
