source,source_row,score,reasons,row_text
R2A_ARCHIVE_TARGETS,13,5,YEAR_2022|DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2022_historical_live_page | http://racecontrol.indycar.com/ | HISTORICAL_LIVE_PAGE | Live timing page shell and embedded endpoint configuration | 2022 | 2022-05-21 | 6033 | Timing71 2020/2021 manifests name this upstream first-party URL; exact Day 1 date is known. | OFFICIAL_FIRST_PARTY | YES | HIGH | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
R2A_ARCHIVE_TARGETS,14,5,YEAR_2022|DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2022_live_leaderboard_page | https://leaderboard.indycar.com/ | LIVE_LEADERBOARD_PAGE | Frontend chunks/configuration and possible date-specific page revisions | 2022 | 2022-05-21 | 6033 | Current official wrapper embeds this first-party application. | OFFICIAL_FIRST_PARTY | YES | HIGH | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
R2A_ARCHIVE_TARGETS,15,5,YEAR_2022|DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2022_live_timing_json | https://indycar.blob.core.windows.net/racecontrol/timingscoring-ris.json | LIVE_TIMING_JSON | Contemporaneous timing/leaderboard snapshot | 2022 | 2022-05-21 | 6033 | Exact current official endpoint recovered; historical copies would directly expose contemporaneous ranks/state. | OFFICIAL_FIRST_PARTY | YES | HIGH | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
R2A_ARCHIVE_TARGETS,16,5,YEAR_2022|DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,"archive_2022_session_state_json | https://indycar.blob.core.windows.net/racecontrol/trackactivityleaderboardfeed.json | SESSION_STATE_JSON | Session status, session IDs and leaderboard/result entries | 2022 | 2022-05-21 | 6033 | Exact current official endpoint recovered; archived Day 1 snapshots could bind session state. | OFFICIAL_FIRST_PARTY | YES | HIGH | NO | Precise manifest target only; no broad archive crawl was performed in R2A."
R2A_ARCHIVE_TARGETS,17,5,YEAR_2022|DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2022_schedule_and_document_link_json | https://indycar.blob.core.windows.net/racecontrol/schedulefeed.json | SCHEDULE_AND_DOCUMENT_LINK_JSON | Session metadata and event-level qualification_order document links | 2022 | 2022-05-21 | 6033 | Exact current official endpoint includes qualification_order links; archived target-year copies could identify Day 1 event documents. | OFFICIAL_FIRST_PARTY | YES | MEDIUM | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
R2A_ARCHIVE_TARGETS,18,5,YEAR_2022|DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2022_live_config_json | https://indycar.blob.core.windows.net/racecontrol/tsconfig.json | LIVE_CONFIG_JSON | Historical live application configuration and any socket URI | 2022 | 2022-05-21 | 6033 | Exact current config endpoint; archived copies may identify then-active transport architecture. | OFFICIAL_FIRST_PARTY | YES | MEDIUM | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
R2A_ARCHIVE_TARGETS,1,3,DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2020_historical_live_page | http://racecontrol.indycar.com/ | HISTORICAL_LIVE_PAGE | Live timing page shell and embedded endpoint configuration | 2020 | 2020-08-15 | 5771 | Timing71 2020/2021 manifests name this upstream first-party URL; exact Day 1 date is known. | OFFICIAL_FIRST_PARTY | YES | HIGH | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
R2A_ARCHIVE_TARGETS,4,3,DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,"archive_2020_session_state_json | https://indycar.blob.core.windows.net/racecontrol/trackactivityleaderboardfeed.json | SESSION_STATE_JSON | Session status, session IDs and leaderboard/result entries | 2020 | 2020-08-15 | 5771 | Exact current official endpoint recovered; archived Day 1 snapshots could bind session state. | OFFICIAL_FIRST_PARTY | YES | HIGH | NO | Precise manifest target only; no broad archive crawl was performed in R2A."
R2A_ARCHIVE_TARGETS,5,3,DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2020_schedule_and_document_link_json | https://indycar.blob.core.windows.net/racecontrol/schedulefeed.json | SCHEDULE_AND_DOCUMENT_LINK_JSON | Session metadata and event-level qualification_order document links | 2020 | 2020-08-15 | 5771 | Exact current official endpoint includes qualification_order links; archived target-year copies could identify Day 1 event documents. | OFFICIAL_FIRST_PARTY | YES | MEDIUM | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
R2A_ARCHIVE_TARGETS,7,3,DAY1_QUALIFYING_CONTEXT|ARCHIVE_OR_TIMING_RELEVANCE,archive_2021_historical_live_page | http://racecontrol.indycar.com/ | HISTORICAL_LIVE_PAGE | Live timing page shell and embedded endpoint configuration | 2021 | 2021-05-22 | 5838 | Timing71 2020/2021 manifests name this upstream first-party URL; exact Day 1 date is known. | OFFICIAL_FIRST_PARTY | YES | HIGH | NO | Precise manifest target only; no broad archive crawl was performed in R2A.
