metric,value
2022_attempt_population,44
broad_object_repeat_groups,10
decision_relevant_repeat_groups,8
excluded_group_count,2
excluded_drivers,Colton Herta|Josef Newgarden
coverage_denominator_to_use,8
post_ilott_fully_covered_groups,4
post_ilott_reporting_fraction,4/8
