year,official_result_row,car_number,driver_name,official_speed_mph,official_status,attempt_id,attempt_key,car_attempt_index,canonical_speed_mph,canonical_result_status,match_score,match_reasons,match_status,canonical_promoted,car_number_v2_original,car_number_literal_repaired,car_number_literal_source,canonical_driver_name,official_pdf_driver_name,driver_identity_verified,official_literal_car_number,official_literal_car_number_matches_canonical,repair_stage
2022,1,21,"VeeKay, Rinus",233.655,,cef4544c-d721-54eb-bf70-ce8535756a5e,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_21|1|1,1,233.655,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,21,False,CANONICAL_ATTEMPT_ID_GROUNDED,Rinus VeeKay,"VeeKay, Rinus",True,21,True,R1G25H
2022,2,5,"O'Ward, Pato",233.037,,e2318f1b-020c-5e41-abb3-2159a17b3a27,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_5|1|1,1,233.037,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,5,False,CANONICAL_ATTEMPT_ID_GROUNDED,Pato O'Ward,"O'Ward, Pato",True,5,True,R1G25H
2022,3,7,"Rosenqvist, Felix",232.775,,8c6dd650-69c2-52af-8840-a92c88cb517e,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_7|1|1,1,232.775,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,7,False,CANONICAL_ATTEMPT_ID_GROUNDED,Felix Rosenqvist,"Rosenqvist, Felix",True,7,True,R1G25H
2022,4,10,"Palou, Alex",232.774,,e10faf3a-59f8-5528-9a9b-1ea63c1322c9,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_10|1|1,1,232.774,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,10,False,CANONICAL_ATTEMPT_ID_GROUNDED,Alex Palou,"Palou, Alex",True,10,True,R1G25H
2022,5,1,"Kanaan, Tony",232.625,,a21e6e46-405e-5d8b-933f-63c35adeec21,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_1|1|1,1,232.625,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,1,False,CANONICAL_ATTEMPT_ID_GROUNDED,Tony Kanaan,"Kanaan, Tony",True,1,True,R1G25H
2022,6,48,"Johnson, Jimmie",232.398,,98dc390f-b38c-5384-b51e-9f479c8859a6,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_48|1|1,1,232.398,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,48,False,CANONICAL_ATTEMPT_ID_GROUNDED,Jimmie Johnson,"Johnson, Jimmie",True,48,True,R1G25H
2022,7,33,"Carpenter, Ed",232.397,,db54aa3f-0c36-5472-94f1-5c4555dd1a53,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_33|1|1,1,232.397,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,33,False,CANONICAL_ATTEMPT_ID_GROUNDED,Ed Carpenter,"Carpenter, Ed",True,33,True,R1G25H
2022,8,8,"Ericsson, Marcus",232.275,,6bdde501-b1fc-5382-8f09-3918fb5aa07e,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_8|1|1,1,232.275,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,8,False,CANONICAL_ATTEMPT_ID_GROUNDED,Marcus Ericsson,"Ericsson, Marcus",True,8,True,R1G25H
2022,9,28,"Grosjean, Romain",232.201,,a49549a1-2253-5bd5-9923-b0b7fdbb20d7,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_28|1|1,1,232.201,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,28,False,CANONICAL_ATTEMPT_ID_GROUNDED,Romain Grosjean,"Grosjean, Romain",True,28,True,R1G25H
2022,10,9,"Dixon, Scott",232.151,,ed8e8f45-6cb1-51cb-a3a7-3aa60a373517,INDY500_DAY1_2022|INDY500_DAY1_2022|CAR_9|1|1,1,232.151,VALID_RETAINED,30,"[""CAR_MATCH"", ""SPEED_MATCH"", ""OFFICIAL_STATUS_EMPTY""]",UNIQUE_MATCH,False,9,False,CANONICAL_ATTEMPT_ID_GROUNDED,Scott Dixon,"Dixon, Scott",True,9,True,R1G25H
