year,html_path,hdnSeries,hdnSeriesName,hdnYear,hdnEvent,hdnSession,hdnActiveTab,status
2020,weather/evidence/rescue/official_results_api_contract/2020_day1_results_page.html,b856a4f1-e85c-4fac-8c36-fd58d962227a,ntt-indycar-series,2020,104th-running-of-the-indianapolis-500,qualifications---day-1,race,SERIES_ID_FOUND
2021,weather/evidence/rescue/official_results_api_contract/2021_day1_results_page.html,b856a4f1-e85c-4fac-8c36-fd58d962227a,ntt-indycar-series,2021,105th-running-of-the-indianapolis-500,qualifications---day-1,race,SERIES_ID_FOUND
2022,weather/evidence/rescue/official_results_api_contract/2022_day1_results_page.html,b856a4f1-e85c-4fac-8c36-fd58d962227a,ntt-indycar-series,2022,106th-running-of-the-indianapolis-500,qualifications---day-1,race,SERIES_ID_FOUND
2023,weather/evidence/rescue/official_results_api_contract/2023_day1_results_page.html,b856a4f1-e85c-4fac-8c36-fd58d962227a,ntt-indycar-series,2023,107th-running-of-the-indianapolis-500,qualifications---day-1,race,SERIES_ID_FOUND
2024,weather/evidence/rescue/official_results_api_contract/2024_day1_results_page.html,b856a4f1-e85c-4fac-8c36-fd58d962227a,ntt-indycar-series,2024,108th-running-of-the-indianapolis-500,qualifications---day-1,race,SERIES_ID_FOUND
