alpha,holdout_year,feature,standardized_coefficient,train_mean,train_std
10.0,2021,delta_forecast_pressure_hpa,0.0290885513,-0.4449527778,0.7334283881
10.0,2021,delta_forecast_cloud_cover_pct,0.0254487067,4.9287222222,5.1347037135
10.0,2021,delta_forecast_shortwave_radiation_wm2,-0.0596363641,-18.1155583333,121.5171268517
10.0,2023,delta_forecast_temp_c,0.0882066385,2.3125710194,1.3953067983
10.0,2023,delta_forecast_dewpoint_c,0.0089965899,-1.3338173600,1.3049450838
10.0,2023,delta_forecast_relative_humidity_pct,-0.0472153919,-10.1020038284,6.6619866249
10.0,2023,delta_forecast_wind_speed_10m_ms,-0.0289951588,0.0787996736,0.4186659850
10.0,2023,delta_forecast_gust_ms,0.0606406063,-0.2767814034,0.5091717370
10.0,2023,delta_forecast_pressure_hpa,-0.0244857983,-1.1303032407,0.9403564846
10.0,2023,delta_forecast_cloud_cover_pct,-0.0312646882,-31.4223842593,37.5781994422
10.0,2023,delta_forecast_shortwave_radiation_wm2,0.0577268675,-2.1616724537,178.8978301563
100.0,2020,delta_forecast_temp_c,0.0184216473,1.8087791534,1.2874269141
100.0,2020,delta_forecast_dewpoint_c,0.0040109089,-0.9861502858,1.4803578140
100.0,2020,delta_forecast_relative_humidity_pct,-0.0084865590,-7.4544888211,6.6555608705
100.0,2020,delta_forecast_wind_speed_10m_ms,0.0253143331,0.4200538303,0.4793518040
100.0,2020,delta_forecast_gust_ms,0.0202469037,0.0603757834,0.7872621442
100.0,2020,delta_forecast_pressure_hpa,0.0099045851,-1.2270170940,0.9553152664
100.0,2020,delta_forecast_cloud_cover_pct,0.0094254207,-25.2139529915,40.2260516323
100.0,2020,delta_forecast_shortwave_radiation_wm2,0.0169562284,-37.6914925214,177.0736988762
100.0,2021,delta_forecast_temp_c,-0.0086655507,2.3881559037,1.4454050445
100.0,2021,delta_forecast_dewpoint_c,0.0107998548,-0.2873464023,0.7054341810
100.0,2021,delta_forecast_relative_humidity_pct,0.0099248674,-8.7472906289,6.7615664968
100.0,2021,delta_forecast_wind_speed_10m_ms,0.0012748210,0.2911821105,0.5192104864
100.0,2021,delta_forecast_gust_ms,0.0072572339,0.3974807503,0.6348865221
100.0,2021,delta_forecast_pressure_hpa,0.0065497295,-0.4449527778,0.7334283881
100.0,2021,delta_forecast_cloud_cover_pct,0.0064186276,4.9287222222,5.1347037135
100.0,2021,delta_forecast_shortwave_radiation_wm2,-0.0166287312,-18.1155583333,121.5171268517
100.0,2023,delta_forecast_temp_c,0.0286912802,2.3125710194,1.3953067983
100.0,2023,delta_forecast_dewpoint_c,-0.0085350325,-1.3338173600,1.3049450838
100.0,2023,delta_forecast_relative_humidity_pct,-0.0235389284,-10.1020038284,6.6619866249
100.0,2023,delta_forecast_wind_speed_10m_ms,0.0033857937,0.0787996736,0.4186659850
100.0,2023,delta_forecast_gust_ms,0.0135756611,-0.2767814034,0.5091717370
100.0,2023,delta_forecast_pressure_hpa,0.0023130397,-1.1303032407,0.9403564846
100.0,2023,delta_forecast_cloud_cover_pct,0.0028761776,-31.4223842593,37.5781994422
100.0,2023,delta_forecast_shortwave_radiation_wm2,0.0206501293,-2.1616724537,178.8978301563
