year,term,hit_count,files_with_hits
2020,lane 1,0,0
2020,lane 2,0,0
2020,lane,0,0
2020,priority,0,0
2020,withdraw,1,1
2020,withdrew,0,0
2020,withdrawn,1,1
2020,queue,0,0
2020,line,0,0
2020,attempt,4,1
2020,requalify,0,0
2020,re-qualify,0,0
2020,requalification,0,0
2020,time,65,3
2020,timestamp,0,0
2020,position,0,0
2020,rank,32,2
2020,bump,0,0
2020,cutoff,0,0
2020,pit,0,0
2020,service,0,0
2020,refuel,0,0
2020,fuel,0,0
2020,cool,0,0
2020,cooling,0,0
2020,waved,13,1
2020,waved off,13,1
2020,canceled,0,0
2020,cancelled,0,0
2020,invalidated,0,0
2020,penalty,0,0
2021,lane 1,0,0
2021,lane 2,0,0
2021,lane,0,0
2021,priority,0,0
2021,withdraw,1,1
2021,withdrew,0,0
2021,withdrawn,1,1
2021,queue,0,0
2021,line,0,0
2021,attempt,11,1
2021,requalify,0,0
2021,re-qualify,0,0
2021,requalification,0,0
2021,time,61,3
2021,timestamp,0,0
2021,position,0,0
2021,rank,30,2
2021,bump,4,1
2021,cutoff,0,0
2021,pit,0,0
2021,service,0,0
2021,refuel,0,0
2021,fuel,0,0
2021,cool,0,0
2021,cooling,0,0
2021,waved,8,1
2021,waved off,8,1
2021,canceled,0,0
2021,cancelled,0,0
2021,invalidated,0,0
2021,penalty,0,0
2022,lane 1,0,0
2022,lane 2,0,0
2022,lane,0,0
2022,priority,0,0
2022,withdraw,5,1
2022,withdrew,0,0
2022,withdrawn,5,1
2022,queue,0,0
2022,line,0,0
2022,attempt,3,1
2022,requalify,0,0
2022,re-qualify,0,0
2022,requalification,0,0
2022,time,62,3
2022,timestamp,0,0
2022,position,0,0
2022,rank,30,2
2022,bump,0,0
2022,cutoff,0,0
2022,pit,0,0
2022,service,0,0
2022,refuel,0,0
2022,fuel,0,0
2022,cool,0,0
2022,cooling,0,0
2022,waved,1,1
2022,waved off,1,1
2022,canceled,0,0
2022,cancelled,0,0
2022,invalidated,0,0
2022,penalty,0,0
2023,lane 1,0,0
2023,lane 2,0,0
2023,lane,0,0
2023,priority,0,0
2023,withdraw,1,1
2023,withdrew,0,0
2023,withdrawn,1,1
2023,queue,0,0
2023,line,0,0
2023,attempt,13,1
2023,requalify,0,0
2023,re-qualify,0,0
2023,requalification,0,0
2023,time,83,5
2023,timestamp,0,0
2023,position,0,0
2023,rank,42,4
2023,bump,8,1
2023,cutoff,0,0
2023,pit,0,0
2023,service,0,0
2023,refuel,0,0
2023,fuel,0,0
2023,cool,0,0
2023,cooling,0,0
2023,waved,15,1
2023,waved off,15,1
2023,canceled,0,0
2023,cancelled,0,0
2023,invalidated,0,0
2023,penalty,0,0
2024,lane 1,0,0
2024,lane 2,0,0
2024,lane,0,0
2024,priority,0,0
2024,withdraw,1,1
2024,withdrew,0,0
2024,withdrawn,1,1
2024,queue,0,0
2024,line,0,0
2024,attempt,10,1
2024,requalify,0,0
2024,re-qualify,0,0
2024,requalification,0,0
2024,time,93,3
2024,timestamp,0,0
2024,position,0,0
2024,rank,46,2
2024,bump,4,1
2024,cutoff,0,0
2024,pit,0,0
2024,service,0,0
2024,refuel,0,0
2024,fuel,0,0
2024,cool,0,0
2024,cooling,0,0
2024,waved,20,1
2024,waved off,20,1
2024,canceled,0,0
2024,cancelled,0,0
2024,invalidated,0,0
2024,penalty,0,0
