attempt_id,driver_name,car_attempt_index,speed_mph,official_status,chronology_covered
619575d3-e7eb-5cce-886f-0a8485b98eba,David Malukas,1,231.233,Retired,False
85c917fa-1c7a-52cb-a47f-468b4bdae9a5,David Malukas,2,231.607,,False
