fold_id,fold_role,test_year,model_name,diagnostic_type,feature_name,value,model_policy_hash
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_relative_humidity_pct,0.05463296312429151,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_wind_speed_10m_ms,0.1359299567364071,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_wind_direction_sin,0.16145183270844524,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_wind_direction_cos,0.21039408181940084,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_pressure_hpa,0.1585853853463524,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_cloud_cover_pct,0.04575528578170275,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_shortwave_radiation_wm2,0.03512305053749889,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,prior_supported_attempt_count,0.0020572419586241163,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,seconds_since_prior_supported_attempt,0.004051307690809885,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,best_prior_supported_average_speed_mph,0.015585181367832676,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
