path,field_name,field_class,nonempty_samples
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,QualLap1,IDENTITY_LIKE,"[""38.7635"", ""38.8512"", ""38.8122"", ""38.8282"", ""38.7626"", ""38.8284"", ""38.8681"", ""38.9438""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,QualLap2,IDENTITY_LIKE,"[""38.8670"", ""38.8759"", ""38.8774"", ""38.8948"", ""38.9061"", ""38.9562"", ""38.9254"", ""38.9820""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,QualLap3,IDENTITY_LIKE,"[""38.9664"", ""38.9241"", ""38.9814"", ""38.9530"", ""38.9957"", ""38.9800"", ""38.9934"", ""39.0050""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,QualLap4,IDENTITY_LIKE,"[""39.0109"", ""38.9705"", ""38.9928"", ""39.0366"", ""39.0752"", ""39.0028"", ""39.0344"", ""39.0333""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,SpeedAvg,IDENTITY_LIKE,"[""231.351"", ""231.33"", ""231.268"", ""231.195"", ""231.155"", ""231.114"", ""231.034"", ""230.822""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,SpeedAvgFormatted,IDENTITY_LIKE,"[""231.351"", ""231.330"", ""231.268"", ""231.195"", ""231.155"", ""231.114"", ""231.034"", ""230.822""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,Status,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,BestLapTime,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,ElapsedTime,TIME_LIKE,"[""02:35.2874"", ""02:35.4081"", ""02:35.4140"", ""02:35.4294"", ""02:35.5192"", ""02:35.7334"", ""02:35.7461"", ""02:35.7501""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,EventsSessionsDetailsID,TIME_LIKE,"[""101198"", ""101199"", ""101200"", ""101201"", ""101202"", ""101203"", ""101204"", ""101205""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,EventsSessionsID,TIME_LIKE,"[""5838""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,PositionStart,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,TimesLed,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,BestLapTime,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,BestSpeed,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,BestSpeedFormatted,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,CarNumber,IDENTITY_LIKE,"[""9"", ""26"", ""48"", ""20"", ""21"", ""06"", ""10"", ""28""]"
