model_name,group_type,group_value,rows,mean_actual_speed_mph,mean_predicted_speed_mph,mean_residual_pred_minus_actual_mph,mae_mph,rmse_mph,diagnostic_policy_hash
RANDOM_FOREST,HAS_PRIOR_SUPPORTED_ATTEMPT,1,39,230.5181025641026,230.65523356371546,0.13713099961288888,1.8471928069973937,2.3535226880990607,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
HIST_GRADIENT_BOOSTING,PRIMARY_OVERALL,ALL,116,230.36865517241378,231.2262497325197,0.8575945601058695,2.0073336153435366,2.4736576656201863,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
HIST_GRADIENT_BOOSTING,TEST_YEAR,2020,39,229.37256410256407,230.9518433931796,1.5792792906154887,1.8012128786908994,2.6327810947987946,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
HIST_GRADIENT_BOOSTING,TEST_YEAR,2021,49,229.98963265306122,231.9795850338913,1.9899523808301038,2.0167252830957763,2.369699512513875,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
HIST_GRADIENT_BOOSTING,TEST_YEAR,2023,28,232.4193571428571,230.29012178491433,-2.129235357942796,2.277994937114719,2.4224671012226575,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
HIST_GRADIENT_BOOSTING,HAS_PRIOR_SUPPORTED_ATTEMPT,0,77,230.29296103896104,231.126006225983,0.8330451870219593,2.024243773789995,2.5451872982436408,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
HIST_GRADIENT_BOOSTING,HAS_PRIOR_SUPPORTED_ATTEMPT,1,39,230.5181025641026,231.42416639927157,0.9060638351689742,1.9739468922569385,2.325982588692998,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car3:Helio Castroneves,2,228.244,,2.6291688311688404,2.6291688311688404,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car5:Pato O'Ward,2,230.0575,,0.8156688311688498,0.8156688311688498,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car8:Marcus Ericsson,2,230.519,,0.35416883116883463,0.35416883116883463,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car9:Scott Dixon,3,231.10066666666668,,-0.22749783549782399,0.22749783549782399,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car20:Ed Carpenter,2,230.01100000000002,,0.8621688311688303,0.8621688311688303,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car47:Conor Daly,2,229.9195,,0.9536688311688408,0.9536688311688408,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
