driver_name,source_path,source_class,source_native,unit_index,classification,drivers_in_unit,live_state_terms,rank_terms,cutoff_terms,temporal_terms,final_result_terms,speed_hits_mph,text,promotion_status
Marco Andretti,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,True,160,LOW_VALUE,Marco Andretti,,,,,,232.201,"8 Huski Chocolate Chip Ganassi Racing Honda, with “500” rookie Romain Grosjean leading Andretti Autosport in ninth at 232.201 in the No.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,True,166,LIKELY_FINAL_RESULT_ONLY,Takuma Sato,,12th,12th,,ended up,231.708,Two-time Indy 500 winner Takuma Sato ended up 12th at 231.708 in the No.,REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,True,168,LOW_VALUE,Takuma Sato,,,,,,232.196,"Sato was forced to make a second attempt after his first run of 232.196 was disallowed after INDYCAR officials penalized Sato for qualifying interference and failure to follow instructions, affecting another competitor.",REVIEW_REQUIRED
David Malukas,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,True,170,CUTOFF_SPEED_CANDIDATE,David Malukas|Takuma Sato,,13th,13th,,,231.607,"Rookie David Malukas just missed the cut to advance to Sunday, ending up 13th and just behind Dale Coyne Racing teammate Sato at 231.607 in the No.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,True,170,CUTOFF_SPEED_CANDIDATE,David Malukas|Takuma Sato,,13th,13th,,,231.607,"Rookie David Malukas just missed the cut to advance to Sunday, ending up 13th and just behind Dale Coyne Racing teammate Sato at 231.607 in the No.",REVIEW_REQUIRED
Alexander Rossi,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_GANASSI.txt,INDYCAR_OFFICIAL_EDITORIAL,True,169,LEADERBOARD_REVIEW,Alexander Rossi|Marco Andretti,,20th|23rd|24th|25th,,,,,"28 DHL Honda, but his fellow Andretti drivers ranked 20th (Alexander Rossi), 23rd (Marco Andretti), 24th (Devlin DeFrancesco) and 25th (Colton Herta).",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_GANASSI.txt,INDYCAR_OFFICIAL_EDITORIAL,True,169,LEADERBOARD_REVIEW,Alexander Rossi|Marco Andretti,,20th|23rd|24th|25th,,,,,"28 DHL Honda, but his fellow Andretti drivers ranked 20th (Alexander Rossi), 23rd (Marco Andretti), 24th (Devlin DeFrancesco) and 25th (Colton Herta).",REVIEW_REQUIRED
Callum Ilott,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_MORNING_PRACTICE.txt,INDYCAR_OFFICIAL_EDITORIAL,True,139,LOW_VALUE,Callum Ilott,,,,,,233.308,Rookie Callum Ilott rounded out the top five at 233.308 in the No.,REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_SATO_BUZZ.txt,INDYCAR_OFFICIAL_EDITORIAL,True,134,LOW_VALUE,Takuma Sato,,,,,,232.196,"After completing his four-lap run of 232.196 mph, Sato failed to exit the backstretch onto the deceleration lane, which surprised the next driver beginning his qualifying run.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_SATO_BUZZ.txt,INDYCAR_OFFICIAL_EDITORIAL,True,138,LEADERBOARD_REVIEW,Takuma Sato,,12th,12th,,,,"Later, Sato snuck his way into the Fast 12 with the 12th-fastest four-lap average despite brushing the Turn 2 SAFER Barrier in the No.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,True,209,LOW_VALUE,Marco Andretti,,,,,,232.201,"8 Huski Chocolate Chip Ganassi Racing Honda, with &ldquo;500&rdquo; rookie Romain Grosjean leading Andretti Autosport in ninth at 232.201 in the No.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,True,215,LIKELY_FINAL_RESULT_ONLY,Takuma Sato,,12th,12th,,ended up,231.708,Two-time Indy 500 winner Takuma Sato ended up 12th at 231.708 in the No.,REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,True,217,LOW_VALUE,Takuma Sato,,,,,,232.196,"Sato was forced to make a second attempt after his first run of 232.196 was disallowed after INDYCAR officials penalized Sato for qualifying interference and failure to follow instructions, affecting another competitor.",REVIEW_REQUIRED
David Malukas,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,True,219,CUTOFF_SPEED_CANDIDATE,David Malukas|Takuma Sato,,13th,13th,,,231.607,"Rookie David Malukas just missed the cut to advance to Sunday, ending up 13th and just behind Dale Coyne Racing teammate Sato at 231.607 in the No.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,True,219,CUTOFF_SPEED_CANDIDATE,David Malukas|Takuma Sato,,13th,13th,,,231.607,"Rookie David Malukas just missed the cut to advance to Sunday, ending up 13th and just behind Dale Coyne Racing teammate Sato at 231.607 in the No.",REVIEW_REQUIRED
Alexander Rossi,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_GANASSI.html,INDYCAR_OFFICIAL_EDITORIAL,True,218,LEADERBOARD_REVIEW,Alexander Rossi|Marco Andretti,,20th|23rd|24th|25th,,,,,"28 DHL Honda, but his fellow Andretti drivers ranked 20th (Alexander Rossi), 23rd (Marco Andretti), 24th (Devlin DeFrancesco) and 25th (Colton Herta).",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_GANASSI.html,INDYCAR_OFFICIAL_EDITORIAL,True,218,LEADERBOARD_REVIEW,Alexander Rossi|Marco Andretti,,20th|23rd|24th|25th,,,,,"28 DHL Honda, but his fellow Andretti drivers ranked 20th (Alexander Rossi), 23rd (Marco Andretti), 24th (Devlin DeFrancesco) and 25th (Colton Herta).",REVIEW_REQUIRED
Callum Ilott,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_MORNING_PRACTICE.html,INDYCAR_OFFICIAL_EDITORIAL,True,188,LOW_VALUE,Callum Ilott,,,,,,233.308,Rookie Callum Ilott rounded out the top five at 233.308 in the No.,REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_SATO_BUZZ.html,INDYCAR_OFFICIAL_EDITORIAL,True,183,LOW_VALUE,Takuma Sato,,,,,,232.196,"After completing his four-lap run of 232.196 mph, Sato failed to exit the backstretch onto the deceleration lane, which surprised the next driver beginning his qualifying run.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_SATO_BUZZ.html,INDYCAR_OFFICIAL_EDITORIAL,True,187,LEADERBOARD_REVIEW,Takuma Sato,,12th,12th,,,,"Later, Sato snuck his way into the Fast 12 with the 12th-fastest four-lap average despite brushing the Turn 2 SAFER Barrier in the No.",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,416,LOW_VALUE,Scott McLaughlin,,,,,,230.154|231.543,"Despite the track being cooler, McLaughlin went much slower (230.154 after a 231.543 earlier) dropped 11 spots to 26",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,432,LEADERBOARD_REVIEW,Marco Andretti,,,top 12,,,,"It was a disappointing outing for Andretti Autosport, which landed only Romain Grosjean in the top 12.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,503,LOW_VALUE,Takuma Sato,,,,,,231.708,"(51) Takuma Sato, Honda, 02:35.3679 (231.708)",REVIEW_REQUIRED
David Malukas,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,505,LOW_VALUE,David Malukas,,,,,,231.607,"(18) David Malukas, Honda, 02:35.4356 (231.607)",REVIEW_REQUIRED
Callum Ilott,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,517,LOW_VALUE,Callum Ilott,,,,,,230.961,"(77) Callum Ilott, Chevrolet, 02:35.8707 (230.961)",REVIEW_REQUIRED
Alexander Rossi,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,519,LOW_VALUE,Alexander Rossi,,,,,,230.812,"(27) Alexander Rossi, Honda, 02:35.9713 (230.812)",REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,523,LOW_VALUE,Sage Karam,,,,,,230.464,"(24) Sage Karam, Chevrolet, 02:36.2064 (230.464)",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,525,LOW_VALUE,Marco Andretti,,,,,,230.345,"(98) Marco Andretti, Honda, 02:36.2875 (230.345)",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,531,LOW_VALUE,Scott McLaughlin,,,,,,230.154,"(3) Scott McLaughlin, Chevrolet, 02:36.4167 (230.154)",REVIEW_REQUIRED
Helio Castroneves,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,True,533,LOW_VALUE,Helio Castroneves,,,,,,229.630,"(06) Helio Castroneves, Honda, 02:36.7741 (229.630)",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,26,LEADERBOARD_REVIEW,Marco Andretti,,place,,,,,"Immediately drama struck as Arrow McLaren SP’s Juan Pablo Montoya lost a favourable ninth-place qualifying draw by failing tech inspection for a broken diffuser strake, Colton Herta had to go back to the garage to change and a Honda engine on his Andretti car and Stefan Wilson had the same issue for Cusick Motorsport.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,55,LEADERBOARD_REVIEW,Takuma Sato,,11th,,,,,"IndyCar points leader Will Power – who was relegated to bump day last year – was 11th and the only Penske driver going through to tomorrow’s pole fight, ahead of Takuma Sato.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,56,LEADERBOARD_REVIEW,Marco Andretti|Takuma Sato,,,top 12,,,,Sato was originally in the top 12 early in the day but was robbed of his time after he didn’t move to the warm-up lane on his cool-down lap and subsequently impeded Marco Andretti.,REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,56,LEADERBOARD_REVIEW,Marco Andretti|Takuma Sato,,,top 12,,,,Sato was originally in the top 12 early in the day but was robbed of his time after he didn’t move to the warm-up lane on his cool-down lap and subsequently impeded Marco Andretti.,REVIEW_REQUIRED
David Malukas,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,74,LEADERBOARD_REVIEW,David Malukas,,12th,12th,,,,"Displaying unbelievable bravery he kept his foot in the throttle and completed a lap good enough for 12th, bumping his star rookie team-mate David Malukas out of the 12.",REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,100,TEMPORAL_RANK_CANDIDATE,Sage Karam|Scott McLaughlin,tumbled down to,15th|26th|place,,When the track re-opened,,,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,100,TEMPORAL_RANK_CANDIDATE,Sage Karam|Scott McLaughlin,tumbled down to,15th|26th|place,,When the track re-opened,,,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Helio Castroneves,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,108,LIKELY_FINAL_RESULT_ONLY,Helio Castroneves,,27th,,,will start,,The 2021 winner Helio Castroneves will start 27th after bailing out of his first run due to the tricky conditions and a poor car balance.,REVIEW_REQUIRED
