driver_name,source_path,source_class,source_native,unit_index,classification,drivers_in_unit,live_state_terms,rank_terms,cutoff_terms,temporal_terms,final_result_terms,speed_hits_mph,text,promotion_status
Alexander Rossi,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,110,LEADERBOARD_REVIEW,Alexander Rossi|Callum Ilott|Marco Andretti,,19th|20th,,,,,"Callum Ilott was a late improver and put Fernando Alonso-beaters Juncos Hollinger Racing in 19th, ahead of the second-best Andretti car of Alexander Rossi in 20th after a nightmare day for the team.",REVIEW_REQUIRED
Callum Ilott,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,110,LEADERBOARD_REVIEW,Alexander Rossi|Callum Ilott|Marco Andretti,,19th|20th,,,,,"Callum Ilott was a late improver and put Fernando Alonso-beaters Juncos Hollinger Racing in 19th, ahead of the second-best Andretti car of Alexander Rossi in 20th after a nightmare day for the team.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,110,LEADERBOARD_REVIEW,Alexander Rossi|Callum Ilott|Marco Andretti,,19th|20th,,,,,"Callum Ilott was a late improver and put Fernando Alonso-beaters Juncos Hollinger Racing in 19th, ahead of the second-best Andretti car of Alexander Rossi in 20th after a nightmare day for the team.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,112,LEADERBOARD_REVIEW,Marco Andretti,,23rd,,,,,"Marco Andretti in 23rd headed rookie Devlin DeFrancesco and Herta, the latter managed to get a late run in after his team changed his engine.",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,586,LOW_VALUE,Scott McLaughlin,,,,,,230.154|231.543,"Despite the track being cooler, McLaughlin went much slower (230.154 after a 231.543 earlier) dropped 11 spots to 26 th in the starting lineup.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,596,LEADERBOARD_REVIEW,Marco Andretti,,,top 12,,,,"It was a disappointing outing for Andretti Autosport, which landed only Romain Grosjean in the top 12.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,634,LOW_VALUE,Takuma Sato,,,,,,231.708,"(51) Takuma Sato, Honda, 02:35.3679 (231.708) 13.",REVIEW_REQUIRED
David Malukas,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,635,LOW_VALUE,David Malukas,,,,,,231.607,"(18) David Malukas, Honda, 02:35.4356 (231.607) 14.",REVIEW_REQUIRED
Callum Ilott,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,641,LOW_VALUE,Callum Ilott,,,,,,230.961,"(77) Callum Ilott, Chevrolet, 02:35.8707 (230.961) 20.",REVIEW_REQUIRED
Alexander Rossi,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,642,LOW_VALUE,Alexander Rossi,,,,,,230.812,"(27) Alexander Rossi, Honda, 02:35.9713 (230.812) 21.",REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,644,LOW_VALUE,Sage Karam,,,,,,230.464,"(24) Sage Karam, Chevrolet, 02:36.2064 (230.464) 23.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,645,LOW_VALUE,Marco Andretti,,,,,,230.345,"(98) Marco Andretti, Honda, 02:36.2875 (230.345) 24.",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,648,LOW_VALUE,Scott McLaughlin,,,,,,230.154,"(3) Scott McLaughlin, Chevrolet, 02:36.4167 (230.154) 27.",REVIEW_REQUIRED
Helio Castroneves,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,True,649,LOW_VALUE,Helio Castroneves,,,,,,229.630,"(06) Helio Castroneves, Honda, 02:36.7741 (229.630) 28.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,283,LEADERBOARD_REVIEW,Marco Andretti,,place,,,,,"Immediately drama struck as Arrow McLaren SP’s Juan Pablo Montoya lost a favourable ninth-place qualifying draw by failing tech inspection for a broken diffuser strake, Colton Herta had to go back to the garage to change and a Honda engine on his Andretti car and Stefan Wilson had the same issue for Cusick Motorsport.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,307,LEADERBOARD_REVIEW,Takuma Sato,,11th,,,,,"IndyCar points leader Will Power &#8211; who was relegated to bump day last year &#8211; was 11th and the only Penske driver going through to tomorrow’s pole fight, ahead of Takuma Sato.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,308,LEADERBOARD_REVIEW,Marco Andretti|Takuma Sato,,,top 12,,,,Sato was originally in the top 12 early in the day but was robbed of his time after he didn’t move to the warm-up lane on his cool-down lap and subsequently impeded Marco Andretti.,REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,308,LEADERBOARD_REVIEW,Marco Andretti|Takuma Sato,,,top 12,,,,Sato was originally in the top 12 early in the day but was robbed of his time after he didn’t move to the warm-up lane on his cool-down lap and subsequently impeded Marco Andretti.,REVIEW_REQUIRED
David Malukas,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,315,LEADERBOARD_REVIEW,David Malukas,,12th,12th,,,,"Displaying unbelievable bravery he kept his foot in the throttle and completed a lap good enough for 12th, bumping his star rookie team-mate David Malukas out of the 12.",REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,341,TEMPORAL_RANK_CANDIDATE,Sage Karam|Scott McLaughlin,tumbled down to,15th|26th|place,,When the track re-opened,,,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin &#8211; who gave his 15th place time to jump to the front of the Lane 1 queue &#8211; tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,341,TEMPORAL_RANK_CANDIDATE,Sage Karam|Scott McLaughlin,tumbled down to,15th|26th|place,,When the track re-opened,,,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin &#8211; who gave his 15th place time to jump to the front of the Lane 1 queue &#8211; tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Helio Castroneves,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,346,LIKELY_FINAL_RESULT_ONLY,Helio Castroneves,,27th,,,will start,,The 2021 winner Helio Castroneves will start 27th after bailing out of his first run due to the tricky conditions and a poor car balance.,REVIEW_REQUIRED
Alexander Rossi,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,348,LEADERBOARD_REVIEW,Alexander Rossi|Callum Ilott|Marco Andretti,,19th|20th,,,,,"Callum Ilott was a late improver and put Fernando Alonso-beaters Juncos Hollinger Racing in 19th, ahead of the second-best Andretti car of Alexander Rossi in 20th after a nightmare day for the team.",REVIEW_REQUIRED
Callum Ilott,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,348,LEADERBOARD_REVIEW,Alexander Rossi|Callum Ilott|Marco Andretti,,19th|20th,,,,,"Callum Ilott was a late improver and put Fernando Alonso-beaters Juncos Hollinger Racing in 19th, ahead of the second-best Andretti car of Alexander Rossi in 20th after a nightmare day for the team.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,348,LEADERBOARD_REVIEW,Alexander Rossi|Callum Ilott|Marco Andretti,,19th|20th,,,,,"Callum Ilott was a late improver and put Fernando Alonso-beaters Juncos Hollinger Racing in 19th, ahead of the second-best Andretti car of Alexander Rossi in 20th after a nightmare day for the team.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,350,LEADERBOARD_REVIEW,Marco Andretti,,23rd,,,,,"Marco Andretti in 23rd headed rookie Devlin DeFrancesco and Herta, the latter managed to get a late run in after his team changed his engine.",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,6,NON_SOURCE_NATIVE,Marco Andretti,,,,,,231.351,"1 98 Andretti, Marco D/H/F 38.7635 38.8670 38.9664 39.0109 02:35.6078 231.351 Day 1",REVIEW_REQUIRED
Alexander Rossi,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,8,NON_SOURCE_NATIVE,Alexander Rossi,,,,,,231.268,"3 27 Rossi, Alexander D/H/F 38.8122 38.8774 38.9814 38.9928 02:35.6638 231.268 Day 1",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,14,NON_SOURCE_NATIVE,Takuma Sato,,,,,,230.792,"9 30 Sato, Takuma D/H/F 38.9200 39.0011 39.0100 39.0533 02:35.9844 230.792 Day 1",REVIEW_REQUIRED
Helio Castroneves,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,33,NON_SOURCE_NATIVE,Helio Castroneves,,,,,,228.373,"28 3 Castroneves, Helio D/C/F 39.1851 39.4148 39.4799 39.5570 02:37.6368 228.373 Day 1",REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,36,NON_SOURCE_NATIVE,Sage Karam,,,,,,227.099,"31 24 Karam, Sage D/C/F 39.5415 39.6010 39.6580 39.7205 02:38.5210 227.099 Day 1",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,45,NON_SOURCE_NATIVE,Takuma Sato,,,,,,230.307,"40 30 Sato, Takuma D/H/F 38.9882 39.0783 39.0934 39.1535 02:36.3134 230.307 Day 1 Failed Attempt",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,48,NON_SOURCE_NATIVE,Takuma Sato,,,,,,229.852,"43 30 Sato, Takuma D/H/F 39.0670 39.1406 39.1826 39.2323 02:36.6225 229.852 Day 1 Failed Attempt",REVIEW_REQUIRED
Helio Castroneves,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,59,NON_SOURCE_NATIVE,Helio Castroneves,,,,,,228.115,"54 3 Castroneves, Helio D/C/F 39.3612 39.4444 39.4754 39.5341 02:37.8151 228.115 Day 1 Retired",REVIEW_REQUIRED
Marco Andretti,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_03_Top_Section_Times.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,9,NON_SOURCE_NATIVE,Marco Andretti,,,,,,232.177,"2 98 Andretti, Marco D/H/F 00:38.7635 232.177 0",REVIEW_REQUIRED
Alexander Rossi,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_03_Top_Section_Times.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,10,NON_SOURCE_NATIVE,Alexander Rossi,,,,,,231.886,"3 27 Rossi, Alexander D/H/F 00:38.8122 231.886 0",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_03_Top_Section_Times.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,False,19,NON_SOURCE_NATIVE,Takuma Sato,,,,,,231.244,"12 30 Sato, Takuma D/H/F 00:38.9200 231.244 0",REVIEW_REQUIRED
