metric,value
chronology_rows_before,158
chronology_rows_after,159
2022_chronology_before,15
2022_chronology_after,16
coverage_before_pct,34.09
coverage_after_pct,36.36
repeat_coverage_before,5/8
repeat_coverage_after,5/8
marco_first_added,1
marco_second_added,0
lane_rows_before,1
lane_rows_after,1
