metric,value
chronology_v4_rows,155
chronology_v5_rows,157
action_v2_rows,2
action_v3_rows,3
new_chronology_rows,2
new_action_rows,1
2022_unique_chronology_attempts_before,12
2022_unique_chronology_attempts_after,14
fully_covered_repeat_pairs_before,0
fully_covered_repeat_pairs_after,0
