column_name,category,v1_decision,reason,nonnull_rows,missing_rows,missing_pct,unique_nonnull_values,numeric_convertible_fraction,numeric_nonnull_rows,constant_numeric,abs_correlation_with_target
attempt_id,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,136,0.0,0,False,
session_id,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,4,0.0,0,False,
entry_key,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,83,0.0,0,False,
attempt_key,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,132,4,2.941176470588235,132,0.0,0,False,
car_number,STRUCTURAL,REVIEW,Potentially useful but may encode car/driver/year identity.,136,0,0.0,45,1.0,136,False,0.3224016005313149
driver_name,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,47,0.0,0,False,
car_attempt_index,STRUCTURAL,REVIEW,Potentially useful but may encode car/driver/year identity.,132,4,2.941176470588235,4,1.0,132,False,0.08449722027200678
performance_time_utc,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,136,0.0,0,False,
performance_time_semantic,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,1,0.0,0,False,
performance_timing_source,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,2,0.0,0,False,
timing_class,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,3,0.0,0,False,
timing_basis,METADATA_PROVENANCE,EXCLUDE,Identity/provenance/bookkeeping field.,136,0,0.0,3,0.0,0,False,
attempt_class,POST_OUTCOME_LEAKAGE,EXCLUDE,Current-attempt outcome or derivative of current outcome.,136,0,0.0,2,0.0,0,False,
result_status,POST_OUTCOME_LEAKAGE,EXCLUDE,Current-attempt outcome or derivative of current outcome.,136,0,0.0,6,0.0,0,False,
result_counted_at_session_end,POST_OUTCOME_LEAKAGE,EXCLUDE,Current-attempt outcome or derivative of current outcome.,123,13,9.558823529411764,2,1.0,123,False,0.2526767385316948
four_lap_total_seconds,POST_OUTCOME_LEAKAGE,EXCLUDE,Current-attempt outcome or derivative of current outcome.,123,13,9.558823529411764,122,1.0,123,False,0.999829280627344
four_lap_average_speed_mph,TARGET,EXCLUDE,Current-attempt prediction target.,123,13,9.558823529411764,122,1.0,123,False,
