script_path,script_name,referenced_version,referenced_filename,line_numbers,classification,recommended_action,notes
weather/scripts/adjudicate_2022_castroneves_first_run_action_v1.py,adjudicate_2022_castroneves_first_run_action_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,15,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/adjudicate_2022_karam_two_event_chronology_v1.py,adjudicate_2022_karam_two_event_chronology_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,11,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/adjudicate_2022_secondary_chronology_evidence_v1.py,adjudicate_2022_secondary_chronology_evidence_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,16,LEGACY_PRESERVE,PRESERVE_EXISTING_REFERENCE,Completed historical rescue stage. Keep its original V2-era provenance.
weather/scripts/audit_2022_castroneves_canonical_identity_v1.py,audit_2022_castroneves_canonical_identity_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,23,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/audit_2022_castroneves_repeat_pair_evidence_v1.py,audit_2022_castroneves_repeat_pair_evidence_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,12,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/audit_2022_chronology_action_coverage_v2.py,audit_2022_chronology_action_coverage_v2.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,17,LEGACY_PRESERVE,PRESERVE_EXISTING_REFERENCE,Completed historical rescue stage. Keep its original V2-era provenance.
weather/scripts/audit_2022_chronology_coverage_gaps_v1.py,audit_2022_chronology_coverage_gaps_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,21,LEGACY_PRESERVE,PRESERVE_EXISTING_REFERENCE,Completed historical rescue stage. Keep its original V2-era provenance.
weather/scripts/audit_2022_karam_attempt_identity_rescue_v1.py,audit_2022_karam_attempt_identity_rescue_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,24,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/audit_2022_result_match_v3_adoption_dependencies_v1.py,audit_2022_result_match_v3_adoption_dependencies_v1.py,V1,chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,26,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
weather/scripts/audit_2022_result_match_v3_adoption_dependencies_v1.py,audit_2022_result_match_v3_adoption_dependencies_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,30,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
