metric,value
chronology_rows_before,157
chronology_rows_after,158
action_rows_before,3
action_rows_after,4
2022_chronology_before,14
2022_chronology_after,15
coverage_before_pct,31.82
coverage_after_pct,34.09
repeat_coverage_before,4/8
repeat_coverage_after,5/8
lane_rows_before,1
lane_rows_after,1
