year,session_date,seed_url,discovered_url,host,resource_type,resource_keywords,official_indycar_host,priority_score,source_of_discovery,manual_review_status,notes
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/icon-leaderboard,www.indycar.com,LEADERBOARD_CANDIDATE,leaderboard;result;results,True,19,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/>Session Reports</p>                                <div class=,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results;session,True,18,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,www.indycar.com,SEED_PAGE_TEXT_HIT,detailed report;line;position;queue;rank;session report,True,16,VISIBLE_PAGE_TEXT,UNREVIEWED,Seed page itself contains high-value action/lane/leaderboard terminology.
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/></use>                                                    </svg>                                                    <p>Final Reports</p>                                                </a>                                            </div>                                        </div>                                    </section>                                </div>                            </div>                        </div>                        <div class=,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/>Detailed Reports</span>                                            <div class=,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/>Summary Reports</span>                                            <div class=,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/INDYCAR Officiating Final Reports,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/detail-reports,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/final-reports-btn,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/officiating-reports,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/reports-content,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/summary-reports,www.indycar.com,REPORT_CANDIDATE,report;reports;result;results,True,13,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/404.html?aspxerrorpath=/schedule/2020/indianapolis-500,https://www.indycar.com/404.html?aspxerrorpath=/schedule/2020/indianapolis-500,www.indycar.com,SEED_PAGE_TEXT_HIT,line;position,True,12,VISIBLE_PAGE_TEXT,UNREVIEWED,Seed page itself contains high-value action/lane/leaderboard terminology.
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,"https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/Race results, qualifying results, practice results and standings for the 2024 NTT INDYCAR SERIES season.",www.indycar.com,RESULTS_CANDIDATE,qualifying;result;results;standings,True,12,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/hdnSession,www.indycar.com,SESSION_CANDIDATE,result;results;session,True,11,HTML_LINK_OR_SOURCE,UNREVIEWED,
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,http://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,www.indycar.com,RESULTS_CANDIDATE,qualification;result;results,True,10,HTML_LINK_OR_SOURCE,UNREVIEWED,
