scope,rows,mean_seconds,median_seconds,q10_seconds,q25_seconds,q75_seconds,q90_seconds,q95_seconds,min_seconds,max_seconds,semantic_role,queue_wait_component,cutoff_feasibility_component,interpretation,policy_hash
ALL_COMPLETE_FOUR_LAP_ATTEMPTS,260,155.95604884615386,155.77885,154.6986,155.150225,156.500225,157.36603,158.1034,153.881,162.936,TIMED_RUN_DURATION_REFERENCE,False,True,RUN_TIME_IS_ONLY_ONE_COMPONENT_OF_WITHDRAW_TO_COMPLETION_TIME,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
YEAR_2020,46,156.92300652173913,156.56305,155.7535,156.0315,157.31050000000002,158.44995,159.32765,155.6078,162.936,TIMED_RUN_DURATION_REFERENCE,False,True,RUN_TIME_IS_ONLY_ONE_COMPONENT_OF_WITHDRAW_TO_COMPLETION_TIME,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
YEAR_2021,51,156.5287294117647,156.4735,155.7334,155.94975,156.84595000000002,157.6214,157.83044999999998,155.2874,159.6482,TIMED_RUN_DURATION_REFERENCE,False,True,RUN_TIME_IS_ONLY_ONE_COMPONENT_OF_WITHDRAW_TO_COMPLETION_TIME,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
YEAR_2022,40,156.01499,155.72765,154.74560000000002,155.064025,156.38729999999998,157.57425999999998,158.720485,154.073,159.6583,TIMED_RUN_DURATION_REFERENCE,False,True,RUN_TIME_IS_ONLY_ONE_COMPONENT_OF_WITHDRAW_TO_COMPLETION_TIME,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
YEAR_2023,69,155.25390724637685,155.1185,154.33016,154.7128,155.7212,156.18266,156.51352,153.881,158.0889,TIMED_RUN_DURATION_REFERENCE,False,True,RUN_TIME_IS_ONLY_ONE_COMPONENT_OF_WITHDRAW_TO_COMPLETION_TIME,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
YEAR_2024,54,155.44500000000002,155.28660000000002,154.70333,154.96325000000002,155.76715000000002,156.28002,156.45696,154.0053,158.8554,TIMED_RUN_DURATION_REFERENCE,False,True,RUN_TIME_IS_ONLY_ONE_COMPONENT_OF_WITHDRAW_TO_COMPLETION_TIME,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
