year,car_number,driver_name,baseline_attempt_id,current_attempt_id,baseline_speed_mph,current_speed_mph,delta_speed_mph,baseline_below_year_median,seconds_since_baseline_attempt,baseline_result_status,current_result_status,baseline_attempt_class,current_attempt_class,baseline_result_counted_at_session_end,current_result_counted_at_session_end,baseline_status_suspicious,baseline_class_suspicious,baseline_lap_rows,current_lap_rows,comparable_lap_speed_rows,positive_lap_gain_count,negative_lap_gain_count,mean_lap_speed_gain_mph,min_lap_speed_gain_mph,max_lap_speed_gain_mph,std_lap_speed_gain_mph,lap_improvement_morphology,preliminary_evidence_interpretation,baseline_attempt_metadata_json,current_attempt_metadata_json,baseline_performance_context_json,current_performance_context_json,policy_version,policy_hash
2020,81,Ben Hanley,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,220.946,222.917,1.9710000000000036,True,10455.0,VALID_RETAINED,VALID_RETAINED,A_COMPLETE,A_COMPLETE,True,True,False,False,4,4,4,4,0,1.9660000000000082,0.7980000000000018,3.576999999999998,1.2166185378608443,BROAD_BASED_ALL_AVAILABLE_LAPS_FASTER,CONSISTENT_WITH_LOW_BASELINE_RECOVERY,"{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""a3016f3b-449e-576c-bf0f-284c71eddb34"", ""car_attempt_index"": 1.0, ""car_number"": 81, ""driver_name"": ""Ben Hanley"", ""entry_key"": ""INDY500_DAY1_2020|CAR_81|1"", ""four_lap_average_speed_mph"": 220.946, ""four_lap_total_seconds"": 162.936, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""session_id"": ""INDY500_DAY1_2020"", ""start_time_utc"": null}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""b58b5c13-1a21-50cf-ab5b-8962cc4486f0"", ""car_attempt_index"": 2.0, ""car_number"": 81, ""driver_name"": ""Ben Hanley"", ""entry_key"": ""INDY500_DAY1_2020|CAR_81|1"", ""four_lap_average_speed_mph"": 222.917, ""four_lap_total_seconds"": 161.4948, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""session_id"": ""INDY500_DAY1_2020"", ""start_time_utc"": null}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""a3016f3b-449e-576c-bf0f-284c71eddb34"", ""best_prior_supported_average_speed_mph"": null, ""car_attempt_index"": 1.0, ""car_number"": 81, ""decision_state_usable"": ""False"", ""driver_name"": ""Ben Hanley"", ""four_lap_average_speed_mph"": 220.946, ""four_lap_total_seconds"": 162.936, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2020-08-15T16:36:35Z"", ""prior_supported_attempt_average_speed_mph"": null, ""prior_supported_attempt_count"": 0, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""seconds_since_prior_supported_attempt"": null, ""session_id"": ""INDY500_DAY1_2020"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""b58b5c13-1a21-50cf-ab5b-8962cc4486f0"", ""best_prior_supported_average_speed_mph"": 220.946, ""car_attempt_index"": 2.0, ""car_number"": 81, ""decision_state_usable"": ""False"", ""driver_name"": ""Ben Hanley"", ""four_lap_average_speed_mph"": 222.917, ""four_lap_total_seconds"": 161.4948, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2020-08-15T19:30:50Z"", ""prior_supported_attempt_average_speed_mph"": 220.946, ""prior_supported_attempt_count"": 1, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""seconds_since_prior_supported_attempt"": 10455.0, ""session_id"": ""INDY500_DAY1_2020"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}",LARGE_GAIN_EVENT_EVIDENCE_AUDIT_V1,d7a07153cd6d6ff404bf746e92f4bcf0a486e2021888015fe9d4c9ba797db055
2020,59,Max Chilton,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,225.819,227.303,1.4840000000000089,True,9655.0,VALID_RETAINED,VALID_RETAINED,A_COMPLETE,A_COMPLETE,True,True,False,False,4,4,4,4,0,1.4807500000000005,0.825000000000017,2.330999999999989,0.6270727629230809,BROAD_BASED_ALL_AVAILABLE_LAPS_FASTER,CONSISTENT_WITH_LOW_BASELINE_RECOVERY,"{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""75519828-93ba-5485-a4bf-a06b93f7cec3"", ""car_attempt_index"": 1.0, ""car_number"": 59, ""driver_name"": ""Max Chilton"", ""entry_key"": ""INDY500_DAY1_2020|CAR_59|1"", ""four_lap_average_speed_mph"": 225.819, ""four_lap_total_seconds"": 159.4196, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""session_id"": ""INDY500_DAY1_2020"", ""start_time_utc"": null}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""fb65c8cf-d1c6-583e-9563-6c22e29bb081"", ""car_attempt_index"": 2.0, ""car_number"": 59, ""driver_name"": ""Max Chilton"", ""entry_key"": ""INDY500_DAY1_2020|CAR_59|1"", ""four_lap_average_speed_mph"": 227.303, ""four_lap_total_seconds"": 158.3789, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""session_id"": ""INDY500_DAY1_2020"", ""start_time_utc"": null}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""75519828-93ba-5485-a4bf-a06b93f7cec3"", ""best_prior_supported_average_speed_mph"": null, ""car_attempt_index"": 1.0, ""car_number"": 59, ""decision_state_usable"": ""False"", ""driver_name"": ""Max Chilton"", ""four_lap_average_speed_mph"": 225.819, ""four_lap_total_seconds"": 159.4196, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2020-08-15T17:29:05Z"", ""prior_supported_attempt_average_speed_mph"": null, ""prior_supported_attempt_count"": 0, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""seconds_since_prior_supported_attempt"": null, ""session_id"": ""INDY500_DAY1_2020"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""fb65c8cf-d1c6-583e-9563-6c22e29bb081"", ""best_prior_supported_average_speed_mph"": 225.819, ""car_attempt_index"": 2.0, ""car_number"": 59, ""decision_state_usable"": ""False"", ""driver_name"": ""Max Chilton"", ""four_lap_average_speed_mph"": 227.303, ""four_lap_total_seconds"": 158.3789, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2020-08-15T20:10:00Z"", ""prior_supported_attempt_average_speed_mph"": 225.819, ""prior_supported_attempt_count"": 1, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""seconds_since_prior_supported_attempt"": 9655.0, ""session_id"": ""INDY500_DAY1_2020"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}",LARGE_GAIN_EVENT_EVIDENCE_AUDIT_V1,d7a07153cd6d6ff404bf746e92f4bcf0a486e2021888015fe9d4c9ba797db055
2021,60,Jack Harvey,7d5d82b7-9765-51c9-b149-cb7de00d3905,8ff02437-bce9-5d86-b3c7-906d93963538,225.496,230.191,4.694999999999993,True,3848.0,VALID_RETAINED,VALID_RETAINED,A_COMPLETE,A_COMPLETE,True,True,False,False,4,4,4,4,0,4.669249999999998,1.391999999999996,7.705999999999989,2.5872960628166726,BROAD_BASED_ALL_AVAILABLE_LAPS_FASTER,CONSISTENT_WITH_LOW_BASELINE_RECOVERY,"{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""7d5d82b7-9765-51c9-b149-cb7de00d3905"", ""car_attempt_index"": 1.0, ""car_number"": 60, ""driver_name"": ""Jack Harvey"", ""entry_key"": ""INDY500_DAY1_2021|CAR_60|1"", ""four_lap_average_speed_mph"": 225.496, ""four_lap_total_seconds"": 159.6482, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""session_id"": ""INDY500_DAY1_2021"", ""start_time_utc"": ""2021-05-22T17:58:16Z""}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""8ff02437-bce9-5d86-b3c7-906d93963538"", ""car_attempt_index"": 2.0, ""car_number"": 60, ""driver_name"": ""Jack Harvey"", ""entry_key"": ""INDY500_DAY1_2021|CAR_60|1"", ""four_lap_average_speed_mph"": 230.191, ""four_lap_total_seconds"": 156.3922, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""session_id"": ""INDY500_DAY1_2021"", ""start_time_utc"": ""2021-05-22T19:02:24Z""}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""7d5d82b7-9765-51c9-b149-cb7de00d3905"", ""best_prior_supported_average_speed_mph"": null, ""car_attempt_index"": 1.0, ""car_number"": 60, ""decision_state_usable"": ""False"", ""driver_name"": ""Jack Harvey"", ""four_lap_average_speed_mph"": 225.496, ""four_lap_total_seconds"": 159.6482, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2021-05-22T17:58:16Z"", ""prior_supported_attempt_average_speed_mph"": null, ""prior_supported_attempt_count"": 0, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""seconds_since_prior_supported_attempt"": null, ""session_id"": ""INDY500_DAY1_2021"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""8ff02437-bce9-5d86-b3c7-906d93963538"", ""best_prior_supported_average_speed_mph"": 225.496, ""car_attempt_index"": 2.0, ""car_number"": 60, ""decision_state_usable"": ""False"", ""driver_name"": ""Jack Harvey"", ""four_lap_average_speed_mph"": 230.191, ""four_lap_total_seconds"": 156.3922, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2021-05-22T19:02:24Z"", ""prior_supported_attempt_average_speed_mph"": 225.496, ""prior_supported_attempt_count"": 1, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""seconds_since_prior_supported_attempt"": 3848.0, ""session_id"": ""INDY500_DAY1_2021"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}",LARGE_GAIN_EVENT_EVIDENCE_AUDIT_V1,d7a07153cd6d6ff404bf746e92f4bcf0a486e2021888015fe9d4c9ba797db055
2023,77,Callum Ilott,f7e8b948-2fd0-5183-971b-aaea5c66c226,333cf68d-54d9-5559-ac70-c73c27086892,227.72,231.182,3.461999999999989,True,7398.0,VALID_SUPERSEDED,VALID_RETAINED,A_COMPLETE,A_COMPLETE,False,True,False,False,4,4,4,4,0,3.458749999999995,2.5109999999999957,4.157999999999987,0.7188311693297657,BROAD_BASED_ALL_AVAILABLE_LAPS_FASTER,CONSISTENT_WITH_LOW_BASELINE_RECOVERY,"{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""f7e8b948-2fd0-5183-971b-aaea5c66c226"", ""car_attempt_index"": 1.0, ""car_number"": 77, ""driver_name"": ""Callum Ilott"", ""entry_key"": ""INDY500_DAY1_2023|CAR_77|1"", ""four_lap_average_speed_mph"": 227.72, ""four_lap_total_seconds"": 158.0889, ""result_counted_at_session_end"": false, ""result_status"": ""VALID_SUPERSEDED"", ""session_id"": ""INDY500_DAY1_2023"", ""start_time_utc"": null}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""333cf68d-54d9-5559-ac70-c73c27086892"", ""car_attempt_index"": 2.0, ""car_number"": 77, ""driver_name"": ""Callum Ilott"", ""entry_key"": ""INDY500_DAY1_2023|CAR_77|1"", ""four_lap_average_speed_mph"": 231.182, ""four_lap_total_seconds"": 155.7212, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""session_id"": ""INDY500_DAY1_2023"", ""start_time_utc"": null}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""f7e8b948-2fd0-5183-971b-aaea5c66c226"", ""best_prior_supported_average_speed_mph"": null, ""car_attempt_index"": 1.0, ""car_number"": 77, ""decision_state_usable"": ""False"", ""driver_name"": ""Callum Ilott"", ""four_lap_average_speed_mph"": 227.72, ""four_lap_total_seconds"": 158.0889, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2023-05-20T16:41:46Z"", ""prior_supported_attempt_average_speed_mph"": null, ""prior_supported_attempt_count"": 0, ""result_counted_at_session_end"": false, ""result_status"": ""VALID_SUPERSEDED"", ""seconds_since_prior_supported_attempt"": null, ""session_id"": ""INDY500_DAY1_2023"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}","{""attempt_class"": ""A_COMPLETE"", ""attempt_id"": ""333cf68d-54d9-5559-ac70-c73c27086892"", ""best_prior_supported_average_speed_mph"": 227.72, ""car_attempt_index"": 2.0, ""car_number"": 77, ""decision_state_usable"": ""False"", ""driver_name"": ""Callum Ilott"", ""four_lap_average_speed_mph"": 231.182, ""four_lap_total_seconds"": 155.7212, ""performance_alignment_usable"": ""True"", ""performance_time_utc"": ""2023-05-20T18:45:04Z"", ""prior_supported_attempt_average_speed_mph"": 227.72, ""prior_supported_attempt_count"": 1, ""result_counted_at_session_end"": true, ""result_status"": ""VALID_RETAINED"", ""seconds_since_prior_supported_attempt"": 7398.0, ""session_id"": ""INDY500_DAY1_2023"", ""timing_basis"": ""WITHIN_CAR_SEQUENCE_COUNT_MATCH"", ""timing_class"": ""PERFORMANCE_GRADE_SEQUENCE_MATCH""}",LARGE_GAIN_EVENT_EVIDENCE_AUDIT_V1,d7a07153cd6d6ff404bf746e92f4bcf0a486e2021888015fe9d4c9ba797db055
